q,d,t1,t2,t3,t4,t5,t6,t7
Q1,d1,540,445,270,270,304,221,
Q2,d1,366,305,183,183,244,183,
Q3,d1,918,765,458,453,603,455,
Q4,d1,366,305,183,183,244,183,
Q5,d1,20,18,20,19,20,19,14
