tech,fuel,HourlyVariation,RETechnology,FuelIndex
CHP,Gas,0,0,1
CCGT,Gas,0,0,1
ST,Coal,0,0,7
CHP,Coal_KAZ_S,0,0,15
CHP,Coal,0,0,7
ICE,HFO,0,0,2
ST,Gas,0,0,1
ST,HFO,0,0,2
CHP,HFO,0,0,2
CCGT,HFO,0,0,2
HY,Water,0,0,9
ST,LNG,0,0,6
CCGT,LNG,0,0,6
GT,Gas,0,0,1
GT,LNG,0,0,6
ST,UR,0,0,14
PV,Solar,1,1,11
ICE,LNG,0,0,6
WT,Wind,1,1,12
ST,Coal_KAZ_S,0,0,15
INT,Import,1,1,8
CSPPlant,CSP,0,0,13
PVwSTO,Solar,0,0,11
STOPV,Solar,0,0,11
Storage,Battery,0,0,16
ROR,Water,0,0,9
