tech,f,Life,UnitSize,BuildLimitperYear,DescreteCap,Efficiency,Capex,FOMperMW,VOM,ReserveCost,CapexMWh,FixedOMMWh,VOMMWh,MinGenShareAllHours,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,MinGenCommitment
Storage,Battery,20,,0,0,0.9,0.3,0,0,0,180,0,0,,1,1,0,,0,0,0,0,0,0,0
Storage,Water,50,,0,0,0.8,3.3,50000,0,0,150,0,0,,1,1,0,0.45,0,0,0,0,0,0,0
