y,value
2025,59
2026,60
2027,61
2028,62
2029,64
2030,65
2031,66
2032,68
2033,69
2034,72
2035,73
2036,74
2037,76
2038,78
2039,79
2040,82
2041,83
2042,85
2043,87
2044,89
2045,91
2046,92
2047,95
2048,98
2049,99
2050,102
