tech,fuel,value
ST,Coal,0.65
ST,Lignite,0.65
OCGT,Gas,0.85
CCGT,Gas,0.85
OCGT,Diesel,0.85
OCGT,HFO,0.85
BiomassPlant,Biomass,0.85
PV,Solar,1
CSPPlant,CSP,1
OnshoreWind,Wind,1
OffshoreWind,Wind,1
Storage,Battery,1
Storage,Water,0.85
ReservoirHydro,Water,0.85
ROR,Water,1
ICE,Diesel,0.85
ICE,HFO,0.85
ICE,Gas,0.85
OCGT,LNG,0.85
CCGT,LNG,0.85
CCGT,ALC,0.85
CCGT,Diesel,0.85
CCGT,HFO,0.85
GT,Gas,0.85
GT,ALC,0.85
GT,Diesel,0.85
GT,HFO,0.85
HY,Water,0.85
PV,PV,1
CSP,CSP,1
Wind,Wind,1
Biogas,Biogas,0.85
ST,Gas,0.65
ST,HFO,0.65
ST,Diesel,0.65
ST,ALC,0.65
ST,Shale,0.65
ST,Uranium,0.85
ST,Waste,0.65
STO HY,Water,0.85

