Geojson,EPM,region,country,division
Angola,Angola,,,
Democratic Republic of the Congo - North,DRC,north,Democratic Republic of the Congo,NSE
Democratic Republic of the Congo - South,DRC_South,south,Democratic Republic of the Congo,NSE
Democratic Republic of the Congo - East,DRC_East,east,Democratic Republic of the Congo,NSE
Democratic Republic of the Congo,DRC,,,
Namibia,Namibia,,,
Mozambique,Mozambique,,,
Mozambique - South,Mozal,south,Mozambique,NS
South Africa,South_Africa,,,
Malawi,Malawi,,,
Zambia,Zambia,,,
Zimbabwe,Zimbabwe,,,
Botswana,Botswana,,,
Swaziland,Eswatini,,,
Lesotho,Lesotho,,,
United Republic of Tanzania,Tanzania,,,
