tech,fuel,HourlyVariation,RETechnology,FuelIndex
Nuclear,Uranium,0,0,9
CCGT,Gas,0,0,2
CCGT,LNG,0,0,15
ST,Coal,0,0,1
ST,Lignite,0,0,16
OCGT,Diesel,0,0,12
OCGT,Gas,0,0,2
OCGT,LNG,0,0,15
OCGT,HFO,0,0,7
ST,Geothermal,0,1,14
ICE,Diesel,0,0,12
ICE,HFO,0,0,7
BiomassPlant,Biomass,0,1,13
ST,Biomass,0,1,13
ReservoirHydro,Water,0,1,3
ROR,Water,1,1,3
CSPPlant,CSP,0,1,10
OffshoreWind,Wind,1,1,5
OnshoreWind,Wind,1,1,5
PV,Solar,1,1,4
PVwSTO,Solar,1,1,4
STOPV,Solar,0,1,4
Storage,Battery,0,0,11
Storage,Water,0,0,3
ImportTransmission,Import,0,0,6
ST,Uranium,0,0,9
ICE,Gas,0,0,2
