Fuel,value
1.Uranium,0
2.Coal_Dom_Ex,0.1031
3.Coal_80In_20Au_Ex,0.1031
4.Coal_50In_50Au_Ex,0.1031
5.Coal_100In_Ex,0.1031
6.Coal_Dom,0.1031
7.Coal_80In_20Au,0.1031
8.Coal_50In_50Au,0.1031
9.Coal_100In,0.1031
10.Coal_CCS,0.01031
11.Biomass,0
12.Gas_Ex,0.053
13.Gas,0.053
14.LNG_Ex,0.053
15.LNG,0.053
16.GasCCS,0.0053
17.HSD_Ex,0.07325
18.HSD,0.07325
19.HFO_Ex,0.075
20.HFO,0.075
21.Hydrogen,0
22.Hydro,0
23.Wind,0
24.Solar,0
25.Import,0
26.BESS1H,0
27.BESS2H,0
28.BESS3H,0
29.BESS4H,0
30.BESS5H,0
31.BESS6H,0
