From,To,EarliestEntry,MaximumNumOfLines,CapacityPerLine,CostPerLine,Life,Status
Angola_South,Namibia,2029,2,210,103,50,2
Botswana,Zimbabwe,2030,1,549,305.731,50,3
DRC,Angola_North,2033,2,375,246.8046,50,3
Angola_North,Angola_East,2035,1,200,150,50,3
Angola_Central,Angola_South,2035,2,250,200,50,3
DRC_South,Zambia,2030,1,700,250,50,3
Malawi,Zambia,2032,1,400,134.11,50,2
Malawi,Mozambique_Central,2026,2,300,167.52,50,2
Mozambique_Central,Mozambique_South,2030,1,400,180,50,3
Mozambique_Central,Zimbabwe,2035,1,300,107.184,50,3
Mozambique_North,Mozambique_Central,2030,1,400,180,50,3
Namibia,South_Africa,2028,1,925,142.6,50,2
Namibia,Botswana,2035,1,300,344.52,50,3
South_Africa,Botswana,2032,1,300,128.515,50,3
Tanzania,Mozambique_North,2035,1,300,150.02,50,3
Tanzania,Malawi,2035,1,300,150.02,50,3
Zambia,Zimbabwe,2031,1,410,68.352,50,3
Zambia,Tanzania,2030,1,500,315,50,2
Mozambique_Central,Zambia,2033,2,300,230,50,3
Zambia,Botswana,2033,2,300,131.731,50,3
Zambia,Namibia,2033,1,400,340,50,0
DRC,DRC_South,2030,2,300,885.2,50,0
DRC,South_Africa,2035,1,3000,2100,50,0
Mozal,Mozambique,2030,1,1000,500,50,0
Zambia,Angola_East,2035,1,300,170,50,0
Mozambique_South,South_Africa,2030,2,0,206,50,3
Mozambique_South,Eswatini,2030,2,0,182.9484902,50,3
South_Africa,Zimbabwe,2030,2,0,150.394,50,3
Eswatini,South_Africa,2030,2,0,45,50,3
Lesotho,South_Africa,2030,2,0,17,50,3
DRC,Angola_East,2038,2,200,150,50,0
Angola,Namibia,2029,2,210,103,50,0
DRC,Angola,2033,2,375,246.8046,50,0
Zambia,Angola,2035,1,300,170,50,0
