zone,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Rwanda,Peak,224,246,271,298,328,361,397,437,481,529,582,640,704,774,851,936,1030,1133,1246,1371,1508,1659,1825,2008,2209,2430,2673
Rwanda,Energy,1368,1505,1656,1822,2004,2204,2424,2666,2933,3226,3549,3904,4294,4723,5195,5715,6287,6916,7608,8369,9206,10127,11140,12254,13479,14827,16310
