c,f,y,value
Kenya,Diesel,2030,0.0035416731368894
Kenya,Diesel,2036,0.0051702614155288
Kenya,Gas,2030,0.0406922264387041
Kenya,Gas,2036,0.1649507108873592
Kenya,Solar,2024,0.0105184962025832
Kenya,Solar,2030,32.00984874951765
Kenya,Solar,2036,30.00878122338205
Kenya,Water,2030,228.02470285650747
Kenya,Water,2036,6.397188929729869
Kenya,HFO,2030,0.0096441704254238
Kenya,HFO,2036,0.0391670909344269
Kenya,Battery,2030,0.0526342758557723
Kenya,Battery,2036,0.902311958217448
Kenya,Geothermal,2024,380.01363847393424
Kenya,Geothermal,2030,63.66250242258347
Kenya,Geothermal,2036,100.00512852344345
Kenya,Uranium,2036,0.0012372959451228
Kenya,Biomass,2024,19.650185557860205
Kenya,Biomass,2030,242.0643257958202
Kenya,Biomass,2036,20.00146223991529
Kenya,Coal,2030,0.0029963598206361
Kenya,Coal,2036,0.0025322911138672
Kenya,Pumped,2036,0.0039210625394198
Burundi,Diesel,2030,0.0046499264504419
Burundi,Diesel,2036,7.82697064436241e-05
Burundi,Gas,2030,291.303730444603
Burundi,Gas,2036,584.6402239214003
Burundi,Solar,2030,0.0030910277543109
Burundi,Solar,2036,0.0064812476269759
Burundi,Water,2024,16.000203300955036
Burundi,Water,2030,0.0257871879972379
Burundi,Water,2036,0.0227822399583504
Burundi,Peat,2030,0.0027650691066899
Burundi,Peat,2036,0.0006276965667995
Burundi,Waste,2030,0.0019853738977723
Burundi,Waste,2036,0.0010072345571637
Burundi,HFO,2030,0.0053215977881137
Burundi,HFO,2036,8.386292007965097e-05
Burundi,Biomass,2030,0.0011955616702213
Burundi,Biomass,2036,0.0012281606960939
Djibouti,Diesel,2030,0.0058661013218877
Djibouti,Diesel,2036,0.0027262640158761
Djibouti,Gas,2030,0.0113659911676077
Djibouti,Gas,2036,0.2918128245922634
Djibouti,Solar,2030,50.00127754790381
Djibouti,Solar,2036,0.0074155691841373
Djibouti,HFO,2030,60.00709522137993
Djibouti,HFO,2036,40.00355409806799
Djibouti,Battery,2030,16.15429653458398
Djibouti,Battery,2036,29.337399141391007
Djibouti,Geothermal,2024,0.0029976567594321
Djibouti,Geothermal,2030,6.903371196303732e-06
Djibouti,Geothermal,2036,1.3805119275392278e-05
Djibouti,Biomass,2030,0.0170821071970775
Djibouti,Biomass,2036,2.1012446273377588e-05
DRC,Diesel,2030,0.0058506963817211
DRC,Diesel,2036,0.0027020514037111
DRC,Solar,2030,0.001680452391332
DRC,Solar,2036,0.0006898646406526
DRC,Water,2024,54.80526211010473
DRC,Water,2030,18.960885473075365
DRC,Water,2036,0.070656772630784
DRC,HFO,2030,0.006983013113146
DRC,HFO,2036,0.0035575936413871
DRC,Battery,2030,0.070861385457752
DRC,Battery,2036,0.3866101476042917
DRC,Biomass,2030,27.867469404256997
DRC,Biomass,2036,7.236942656860834e-05
Egypt,Diesel,2030,0.0026562554106995
Egypt,Diesel,2036,0.0052318402931425
Egypt,Gas,2030,0.0241009842731211
Egypt,Gas,2036,4695.645608423132
Egypt,Solar,2030,0.0056721923504344
Egypt,Solar,2036,0.0099632846971013
Egypt,Water,2030,0.0045409553816648
Egypt,Water,2036,2800.002745483453
Egypt,HFO,2030,0.0029385112757586
Egypt,HFO,2036,0.0065841246285542
Egypt,Battery,2030,0.0098191597309068
Egypt,Battery,2036,0.105191898107355
Egypt,Uranium,2030,2400.0
Egypt,Uranium,2036,2400.0
Egypt,Biomass,2030,0.0067554050294221
Egypt,Biomass,2036,0.1116605524275031
Ethiopia,Diesel,2030,82.00576282685591
Ethiopia,Diesel,2036,0.0033470228817272
Ethiopia,Solar,2024,0.0161582493039391
Ethiopia,Solar,2030,0.0087643422849688
Ethiopia,Solar,2036,0.0934935074683969
Ethiopia,Water,2024,0.0143898883899274
Ethiopia,Water,2030,6840.125108293713
Ethiopia,Water,2036,3069.7716439432725
Ethiopia,HFO,2030,0.0028913444628635
Ethiopia,HFO,2036,0.0016329213135387
Ethiopia,Wind,2030,720.0
Ethiopia,Battery,2030,0.0114308432941983
Ethiopia,Battery,2036,0.004540622728573
Ethiopia,Geothermal,2030,395.00378881875486
Ethiopia,Geothermal,2036,0.0098595326270525
Ethiopia,Biomass,2024,0.0020483719553552
Ethiopia,Biomass,2030,280.00156734194906
Ethiopia,Biomass,2036,0.0064207861822133
Libya,Diesel,2030,0.0044338465567649
Libya,Diesel,2036,0.0043010596687923
Libya,Gas,2030,7520.00027388193
Libya,Gas,2036,4899.424536834936
Libya,Solar,2030,0.0200805883613113
Libya,Solar,2036,0.0235241983560818
Libya,HFO,2030,0.0050988234346911
Libya,HFO,2036,0.0057196018171713
Libya,Battery,2030,0.0272189326691977
Libya,Battery,2036,0.1966846570033497
Rwanda,Diesel,2030,0.0056843290684895
Rwanda,Diesel,2036,0.0030092155679527
Rwanda,Gas,2024,0.0146089252519623
Rwanda,Gas,2030,0.1807485758576203
Rwanda,Gas,2036,0.0320043770872245
Rwanda,Solar,2030,0.0319731968385014
Rwanda,Solar,2036,0.0008169901973422
Rwanda,Water,2024,0.1534080458181838
Rwanda,Water,2030,2.054994345458414
Rwanda,Water,2036,121.42852868227658
Rwanda,Peat,2030,35.00335682134582
Rwanda,Peat,2036,0.0015456429612005
Rwanda,HFO,2030,0.0067702053982303
Rwanda,HFO,2036,0.0039514863383173
Rwanda,Battery,2030,0.0633968139835707
Rwanda,Battery,2036,0.3515911599562499
Rwanda,Biomass,2030,25.3190665132817
Rwanda,Biomass,2036,0.0001396402081448
Rwanda,Methane,2024,0.0070603156572526
Rwanda,Methane,2030,1.0347776132061597e-05
Rwanda,Methane,2036,0.0002227303252868
Somalia,Diesel,2030,0.0260610992144703
Somalia,Diesel,2036,0.027566710752547
Somalia,Gas,2030,177.04739376857574
Somalia,Gas,2036,452.091531946714
Somalia,Solar,2030,0.0085912827753614
Somalia,Solar,2036,85.6180900704769
Somalia,Water,2030,0.0037786138391526
Somalia,Water,2036,35.00228172527776
Somalia,HFO,2030,0.0207058784245125
Somalia,HFO,2036,11.511722457938204
Somalia,Battery,2030,45.1068339999425
Somalia,Battery,2036,172.76805238011448
SouthSudan,Diesel,2030,0.0508839767155951
SouthSudan,Diesel,2036,0.0014974200592964
SouthSudan,Solar,2030,20.00770315046056
SouthSudan,Solar,2036,8.608222779287212e-06
SouthSudan,Water,2030,561.002540337935
SouthSudan,Water,2036,0.041564049666288
SouthSudan,HFO,2030,70.13253919345277
SouthSudan,HFO,2036,2.9136665410794035e-05
SouthSudan,Battery,2030,92.45843058170084
SouthSudan,Battery,2036,127.50418825755092
Sudan,Diesel,2030,0.0175342814799614
Sudan,Diesel,2036,1.6429044720153055e-05
Sudan,Solar,2030,0.0033728531532721
Sudan,Solar,2036,1.4626776627337964e-05
Sudan,Water,2030,790.0004053410888
Sudan,Water,2036,1822.2602481833137
Sudan,HFO,2030,141.05935634528626
Sudan,HFO,2036,2.0522748277391127e-05
Sudan,Battery,2030,867.4351974590561
Sudan,Battery,2036,87.36154523489265
Sudan,Biomass,2030,247.92019519553253
Sudan,Biomass,2036,6.867715602839565e-05
Sudan,Coal,2030,20.0
Sudan,LFO,2030,1824.0595706405595
Sudan,LFO,2036,4.97353282124476e-05
Tanzania,Diesel,2030,2.002628285265894
Tanzania,Diesel,2036,0.0053206019325005
Tanzania,Gas,2030,0.1075827664299221
Tanzania,Gas,2036,287.7808216534434
Tanzania,Solar,2030,291.49394400074056
Tanzania,Solar,2036,0.0073672480185953
Tanzania,Water,2024,0.0306796785025326
Tanzania,Water,2030,3726.155421394525
Tanzania,Water,2036,3017.9189046783044
Tanzania,HFO,2030,0.0029212965669054
Tanzania,HFO,2036,0.0067239350797437
Tanzania,Battery,2030,0.009866756949318
Tanzania,Battery,2036,0.1195752033021377
Tanzania,Geothermal,2030,0.0020886881939835
Tanzania,Geothermal,2036,0.0006909111072736
Tanzania,Biomass,2030,88.01324411331815
Tanzania,Biomass,2036,0.0001185396078024
Tanzania,Coal,2030,0.0156074894803763
Tanzania,Coal,2036,0.0178065823851975
Uganda,Diesel,2030,0.0057362607609414
Uganda,Diesel,2036,0.0028840945194117
Uganda,Gas,2030,0.1500162712062323
Uganda,Gas,2036,0.0586519583200672
Uganda,Solar,2030,10.00166175411445
Uganda,Solar,2036,0.0007815825571708
Uganda,Water,2030,42.58838234687336
Uganda,Water,2036,464.87606895579273
Uganda,HFO,2030,0.0068310667814754
Uganda,HFO,2036,0.0037890430354433
Uganda,Battery,2030,0.0588084560437641
Uganda,Battery,2036,0.2398540065602636
Uganda,Geothermal,2030,10.00343578851035
Uganda,Geothermal,2036,0.0001292868116528
Uganda,Biomass,2024,8.000194140939355
Uganda,Biomass,2030,182.72627793913327
Uganda,Biomass,2036,0.0009616543337134
