z,q,d,t,y,value
Kenya,Q1,d1,t1,2024,53.72591387921116
Kenya,Q1,d1,t1,2030,50.07374976891564
Kenya,Q1,d1,t1,2036,25.574526326304994
Kenya,Q1,d1,t2,2024,53.71761859703883
Kenya,Q1,d1,t2,2030,50.073357709698165
Kenya,Q1,d1,t2,2036,25.573753301550635
Kenya,Q1,d1,t3,2024,53.71389140084426
Kenya,Q1,d1,t3,2030,50.07317967365429
Kenya,Q1,d1,t3,2036,25.57343221649532
Kenya,Q1,d1,t4,2024,53.71268875813543
Kenya,Q1,d1,t4,2030,50.07308139966258
Kenya,Q1,d1,t4,2036,25.573272030166084
Kenya,Q1,d1,t5,2024,53.712410439905824
Kenya,Q1,d1,t5,2030,50.07309512341081
Kenya,Q1,d1,t5,2036,25.57328531607523
Kenya,Q1,d1,t6,2024,53.72462695574628
Kenya,Q1,d1,t6,2030,50.07425815132371
Kenya,Q1,d1,t6,2036,25.574888505459143
Kenya,Q1,d1,t7,2024,53.7421412483685
Kenya,Q1,d1,t7,2030,50.07647033013597
Kenya,Q1,d1,t7,2036,25.57851026797753
Kenya,Q1,d1,t8,2024,53.74050691399913
Kenya,Q1,d1,t8,2030,50.07572467922203
Kenya,Q1,d1,t8,2036,25.577492643044888
Kenya,Q1,d1,t9,2024,53.76873880779608
Kenya,Q1,d1,t9,2030,50.07835229974909
Kenya,Q1,d1,t9,2036,25.58290329052437
Kenya,Q1,d1,t10,2024,53.78960890823717
Kenya,Q1,d1,t10,2030,50.07943615758936
Kenya,Q1,d1,t10,2036,25.5860115493468
Kenya,Q1,d1,t11,2024,53.79451769870836
Kenya,Q1,d1,t11,2030,50.07962986617105
Kenya,Q1,d1,t11,2036,25.58717497023397
Kenya,Q1,d1,t12,2024,53.781182098039885
Kenya,Q1,d1,t12,2030,50.07830599798145
Kenya,Q1,d1,t12,2036,25.584315682699323
Kenya,Q1,d1,t13,2024,53.78089003450519
Kenya,Q1,d1,t13,2030,50.07809398791945
Kenya,Q1,d1,t13,2036,25.584271692081384
Kenya,Q1,d1,t14,2024,53.78720189739921
Kenya,Q1,d1,t14,2030,50.07900373863206
Kenya,Q1,d1,t14,2036,25.585772062553406
Kenya,Q1,d1,t15,2024,53.7742708848275
Kenya,Q1,d1,t15,2030,50.0783240599391
Kenya,Q1,d1,t15,2036,25.583269663413716
Kenya,Q1,d1,t16,2024,53.79098320288616
Kenya,Q1,d1,t16,2030,50.08003836184671
Kenya,Q1,d1,t16,2036,25.586728208975
Kenya,Q1,d1,t17,2024,53.776469509377904
Kenya,Q1,d1,t17,2030,50.0807440316529
Kenya,Q1,d1,t17,2036,25.587580529626432
Kenya,Q1,d1,t18,2024,53.78438052438484
Kenya,Q1,d1,t18,2030,50.079769924822216
Kenya,Q1,d1,t18,2036,25.58552728379317
Kenya,Q1,d1,t19,2024,53.78347694513427
Kenya,Q1,d1,t19,2030,50.08057949209161
Kenya,Q1,d1,t19,2036,25.587226916657865
Kenya,Q1,d1,t20,2024,54.75244683651914
Kenya,Q1,d1,t20,2030,52.517798604892846
Kenya,Q1,d1,t20,2036,26.44842055696792
Kenya,Q1,d1,t21,2024,63.11168612946648
Kenya,Q1,d1,t21,2030,50.303349828825695
Kenya,Q1,d1,t21,2036,28.20123864342341
Kenya,Q1,d1,t22,2024,54.2504235631535
Kenya,Q1,d1,t22,2030,50.11865719308411
Kenya,Q1,d1,t22,2036,26.87134996602556
Kenya,Q1,d1,t23,2024,53.81637578457752
Kenya,Q1,d1,t23,2030,50.08505985645368
Kenya,Q1,d1,t23,2036,25.600520364403824
Kenya,Q1,d1,t24,2024,53.74050085901095
Kenya,Q1,d1,t24,2030,50.07558526164115
Kenya,Q1,d1,t24,2036,25.57712691494328
Kenya,Q1,d2,t1,2024,53.72223972228579
Kenya,Q1,d2,t1,2030,50.07435432604777
Kenya,Q1,d2,t1,2036,25.57511054487664
Kenya,Q1,d2,t2,2024,53.7227200762953
Kenya,Q1,d2,t2,2030,50.074774962174814
Kenya,Q1,d2,t2,2036,25.575628949214348
Kenya,Q1,d2,t3,2024,53.71608292140859
Kenya,Q1,d2,t3,2030,50.07370350375652
Kenya,Q1,d2,t3,2036,25.574036724651865
Kenya,Q1,d2,t4,2024,53.714482300595705
Kenya,Q1,d2,t4,2030,50.073549923861016
Kenya,Q1,d2,t4,2036,25.57381780769549
Kenya,Q1,d2,t5,2024,53.71575289371104
Kenya,Q1,d2,t5,2030,50.073801918283216
Kenya,Q1,d2,t5,2036,25.57414909136368
Kenya,Q1,d2,t6,2024,53.72278340116614
Kenya,Q1,d2,t6,2030,50.07471419658331
Kenya,Q1,d2,t6,2036,25.57547006731471
Kenya,Q1,d2,t7,2024,53.73281910275835
Kenya,Q1,d2,t7,2030,50.075744518044445
Kenya,Q1,d2,t7,2036,25.57737187600198
Kenya,Q1,d2,t8,2024,53.74141356121383
Kenya,Q1,d2,t8,2030,50.077098342194994
Kenya,Q1,d2,t8,2036,25.58037416064607
Kenya,Q1,d2,t9,2024,53.760694491793714
Kenya,Q1,d2,t9,2030,50.07731195795456
Kenya,Q1,d2,t9,2036,25.58148482972925
Kenya,Q1,d2,t10,2024,53.78280111753901
Kenya,Q1,d2,t10,2030,50.07874764833804
Kenya,Q1,d2,t10,2036,25.58568681336384
Kenya,Q1,d2,t11,2024,53.77061621770006
Kenya,Q1,d2,t11,2030,50.07754486682381
Kenya,Q1,d2,t11,2036,25.582758242091085
Kenya,Q1,d2,t12,2024,53.76976084599245
Kenya,Q1,d2,t12,2030,50.07725547632739
Kenya,Q1,d2,t12,2036,25.58213705821821
Kenya,Q1,d2,t13,2024,53.75803088433835
Kenya,Q1,d2,t13,2030,50.07728198807777
Kenya,Q1,d2,t13,2036,25.581824779885736
Kenya,Q1,d2,t14,2024,53.74721825209629
