c,tech,f,y,value
Kenya,Storage,Battery,2024,0.0052907424059445
Kenya,Storage,Battery,2030,9.207609051322924e-05
Kenya,Storage,Battery,2036,0.0025426493372852
Kenya,Storage,Pumped,2036,0.3441113903960043
Kenya,ROR,Water,2024,0.557803061954506
Kenya,ROR,Water,2030,0.5561436424074556
Kenya,ROR,Water,2036,0.5561435337105463
Kenya,ICE,Diesel,2030,0.0188523237424247
Kenya,ICE,Diesel,2036,0.0112627931843345
Kenya,ICE,HFO,2024,1.1363951493552511e-05
Kenya,ICE,HFO,2030,2.459682957135761e-06
Kenya,ICE,HFO,2036,3.506471649448088e-06
Kenya,OCGT,Gas,2030,0.0245434862400883
Kenya,OCGT,Gas,2036,0.0061822405495047
Kenya,OCGT,HFO,2024,1.2625870653105288e-05
Kenya,OCGT,HFO,2030,2.3670889632267724e-06
Kenya,CCGT,Gas,2030,0.0429368410079656
Kenya,CCGT,Gas,2036,0.0188998318844661
Kenya,PV,Solar,2024,0.2363512218427568
Kenya,PV,Solar,2030,0.2363542356477115
Kenya,PV,Solar,2036,0.2363507059067036
Kenya,ReservoirHydro,Water,2030,0.9799806730878968
Kenya,ReservoirHydro,Water,2036,0.9802829508263992
Kenya,ST,Coal,2030,0.4002682183126136
Kenya,ST,Coal,2036,0.2784060599083717
Kenya,Geothermal,Geothermal,2024,0.94198825311537
Kenya,Geothermal,Geothermal,2030,0.8647208387419906
Kenya,Geothermal,Geothermal,2036,0.7664553907717409
Kenya,CCGT_CCS,Gas,2036,0.0803562977537955
Kenya,Nuclear,Uranium,2036,0.5850036163036428
Kenya,BiomassPlant,Biomass,2024,0.8151728848313174
Kenya,BiomassPlant,Biomass,2030,0.6762233808117828
Kenya,BiomassPlant,Biomass,2036,0.69271794672866
Kenya,OCGT_CCS,Gas,2036,0.0412161979622595
Burundi,ROR,Water,2024,0.4549282910577673
Burundi,ROR,Water,2030,0.4549186594941156
Burundi,ROR,Water,2036,0.4549422486789465
Burundi,ICE,Diesel,2024,0.9000545894061495
Burundi,ICE,Diesel,2030,6.618958524317206e-06
Burundi,ICE,Diesel,2036,1.0138027077017898e-05
Burundi,ICE,HFO,2030,0.015546116039789
Burundi,ICE,HFO,2036,0.0237545329478642
Burundi,OCGT,Gas,2030,0.7708469757852507
Burundi,OCGT,Gas,2036,0.7999544899195008
Burundi,CCGT,Gas,2030,0.8495928726946604
Burundi,CCGT,Gas,2036,0.8500002185001443
Burundi,PV,Solar,2024,0.23094144883694
Burundi,PV,Solar,2030,0.2307044825592232
Burundi,PV,Solar,2036,0.2307827039293943
Burundi,ReservoirHydro,Water,2024,0.6561023866372825
Burundi,ReservoirHydro,Water,2030,0.656084671087402
Burundi,ReservoirHydro,Water,2036,0.6561035556081909
Burundi,ST,Peat,2030,0.1163161674977933
Burundi,ST,Peat,2036,0.1864327240473093
Burundi,ST,Waste,2030,0.5019385748192704
Burundi,ST,Waste,2036,0.515273611419723
Burundi,BiomassPlant,Biomass,2030,0.5693430886057745
Burundi,BiomassPlant,Biomass,2036,0.7540241056902374
Djibouti,Storage,Battery,2030,0.3096873565548284
Djibouti,Storage,Battery,2036,0.0191055443244796
Djibouti,ICE,Diesel,2024,6.932338291195883e-05
Djibouti,ICE,Diesel,2030,1.648767278648176e-05
Djibouti,ICE,Diesel,2036,2.1497443788246627e-05
Djibouti,ICE,HFO,2024,0.0882377717129562
Djibouti,ICE,HFO,2030,0.0165597951466681
Djibouti,ICE,HFO,2036,0.0007286216165527
Djibouti,OCGT,Gas,2036,0.002424839403107
Djibouti,CCGT,Gas,2030,0.1524882249595539
Djibouti,CCGT,Gas,2036,0.0351855524645057
Djibouti,PV,Solar,2030,0.0410552074319509
Djibouti,PV,Solar,2036,0.0073392755236849
Djibouti,Geothermal,Geothermal,2024,0.4046235595250338
Djibouti,Geothermal,Geothermal,2030,0.182646688177158
Djibouti,Geothermal,Geothermal,2036,0.0826524487205731
Djibouti,BiomassPlant,Biomass,2030,0.3957317053426066
Djibouti,BiomassPlant,Biomass,2036,0.8544824984586882
DRC,Storage,Battery,2030,0.0714776851385281
DRC,Storage,Battery,2036,0.0393173603908953
DRC,ROR,Water,2024,0.6518298758119484
DRC,ROR,Water,2030,0.6570063678600905
DRC,ROR,Water,2036,0.6569923799360396
DRC,ICE,Diesel,2030,0.0107306213422572
DRC,ICE,Diesel,2036,0.0104444725833255
DRC,ICE,HFO,2030,0.0153350024404931
DRC,ICE,HFO,2036,0.0139691852505258
DRC,PV,Solar,2030,0.2305917456021555
DRC,PV,Solar,2036,0.1993525244534141
DRC,ReservoirHydro,Water,2036,0.978713719045344
DRC,BiomassPlant,Biomass,2030,0.8500031041908963
DRC,BiomassPlant,Biomass,2036,0.8500029028716952
Egypt,Storage,Battery,2030,0.2221303565267855
Egypt,Storage,Battery,2036,0.0597310932324873
Egypt,ROR,Water,2024,0.755715228127576
Egypt,ROR,Water,2030,0.7557099482440423
Egypt,ROR,Water,2036,0.7557036671679327
Egypt,ICE,Diesel,2030,0.0254921384419656
Egypt,ICE,Diesel,2036,0.0141547556389025
Egypt,ICE,Gas,2030,0.2141719360593287
Egypt,ICE,Gas,2036,0.136276590170917
Egypt,ICE,HFO,2030,0.0352340276841695
Egypt,ICE,HFO,2036,0.0184599223204366
Egypt,OCGT,Gas,2024,7.242453301251483e-06
Egypt,OCGT,Gas,2030,2.125161195786455e-06
Egypt,OCGT,Gas,2036,2.4355586113796423e-05
Egypt,OCGT,HFO,2024,4.0194068702731e-06
Egypt,OCGT,HFO,2030,7.780887765499889e-07
Egypt,OCGT,HFO,2036,1.165011011323579e-06
Egypt,CCGT,Gas,2024,0.6336197632300559
Egypt,CCGT,Gas,2030,0.7652635180665719
Egypt,CCGT,Gas,2036,0.7766644214886713
Egypt,PV,Solar,2024,0.1819994071523763
Egypt,PV,Solar,2030,0.1819996597500354
