z,y,value
Kenya,2024,3.467231621700278e-06
Kenya,2030,1.457864174161792e-06
Kenya,2036,1.934107273879284e-06
Burundi,2024,0.2592061597024923
Burundi,2030,0.498880864263627
Burundi,2036,0.5305901818925408
Djibouti,2024,0.7370183321368026
Djibouti,2030,0.1692183535577703
Djibouti,2036,0.0571643992872312
Drc_E,2030,1.449378880055328e-06
Drc_E,2036,1.99485311495936e-06
Egypt,2024,0.314460545565162
Egypt,2030,0.3007867868683933
Egypt,2036,0.2615255588385694
Ethiopia,2024,2.8340854127047204e-07
Ethiopia,2030,8.65113081719837e-08
Ethiopia,2036,4.0566753086718696e-08
Libya,2024,0.435350202239435
Libya,2030,0.4559717023995395
Libya,2036,0.4523780561465304
Rwanda,2024,0.0037812612424283
Rwanda,2030,0.0359000818011373
Rwanda,2036,7.867383840737793e-05
Somaliland,2030,1.4894082779947072e-05
Somaliland,2036,0.0110122113189829
Mogadishu,2030,0.6278164979413858
Mogadishu,2036,0.6279978709578793
SomaliaROC,2030,0.6271651481062746
SomaliaROC,2036,0.6279277224023904
SouthSudan,2024,0.6611307282898323
SouthSudan,2030,0.0545321083291519
SouthSudan,2036,1.133689535399444e-05
Sudan,2024,0.3982321617508299
Sudan,2030,0.3296371735024042
Sudan,2036,0.1478498702727269
Tanzania,2024,0.2773425303084194
Tanzania,2030,0.0252205497936617
Tanzania,2036,0.004440013641713
Uganda,2024,1.1858524859884384e-06
Uganda,2030,1.4704022484313838e-05
Uganda,2036,5.494773996915454e-06
