z,g,uni,y,value
Kenya,Cummins_Cogeneration_Kenya_Limited,Annuity Cost in MUSD,2030,19.17870255514113
Kenya,Cummins_Cogeneration_Kenya_Limited,Annuity Cost in MUSD,2036,19.17875540781313
Kenya,Cummins_Cogeneration_Kenya_Limited,Fixed Cost in MUSD,2030,17.599440158410427
Kenya,Cummins_Cogeneration_Kenya_Limited,Fixed Cost in MUSD,2036,17.599488658950836
Kenya,Cummins_Cogeneration_Kenya_Limited,Variable Cost in MUSD,2030,2.50528185086794
Kenya,Cummins_Cogeneration_Kenya_Limited,Variable Cost in MUSD,2036,2.505288731142025
Kenya,Cummins_Cogeneration_Kenya_Limited,Spinning Reserve Cost in MUSD,2030,0.2007135284750277
Kenya,Cummins_Cogeneration_Kenya_Limited,Spinning Reserve Cost in MUSD,2036,0.200520396948145
Kenya,Cummins_Cogeneration_Kenya_Limited,Capacity Factor,2030,0.6500004006764585
Kenya,Cummins_Cogeneration_Kenya_Limited,Capacity Factor,2036,0.6500003945061628
Kenya,Municipal_Waste_to_Energy_,Annuity Cost in MUSD,2030,4.11191237082751
Kenya,Municipal_Waste_to_Energy_,Annuity Cost in MUSD,2036,4.111940489215387
Kenya,Municipal_Waste_to_Energy_,Fixed Cost in MUSD,2030,3.773318632944084
Kenya,Municipal_Waste_to_Energy_,Fixed Cost in MUSD,2036,3.773344435934842
Kenya,Municipal_Waste_to_Energy_,Variable Cost in MUSD,2030,0.5371335567401727
Kenya,Municipal_Waste_to_Energy_,Variable Cost in MUSD,2036,0.5371371516297969
Kenya,Municipal_Waste_to_Energy_,Spinning Reserve Cost in MUSD,2030,0.0406568260067576
Kenya,Municipal_Waste_to_Energy_,Spinning Reserve Cost in MUSD,2036,0.0407449796696261
Kenya,Municipal_Waste_to_Energy_,Capacity Factor,2030,0.6500019959182535
Kenya,Municipal_Waste_to_Energy_,Capacity Factor,2036,0.6500019013140139
Kenya,Roadtech_Solutions,Annuity Cost in MUSD,2030,1.0884038016868725
Kenya,Roadtech_Solutions,Annuity Cost in MUSD,2036,1.0883959669533
Kenya,Roadtech_Solutions,Fixed Cost in MUSD,2030,0.9987796369905988
Kenya,Roadtech_Solutions,Fixed Cost in MUSD,2036,0.9987724474049494
Kenya,Roadtech_Solutions,Variable Cost in MUSD,2030,0.1421779493779204
Kenya,Roadtech_Solutions,Variable Cost in MUSD,2036,0.1421768318448514
Kenya,Roadtech_Solutions,Spinning Reserve Cost in MUSD,2030,0.0105775211257416
Kenya,Roadtech_Solutions,Spinning Reserve Cost in MUSD,2036,0.0106075934757269
Kenya,Roadtech_Solutions,Capacity Factor,2030,0.6500076259836763
Kenya,Roadtech_Solutions,Capacity Factor,2036,0.6500071958504394
Kenya,Small_Biomass_Thika_Way,Annuity Cost in MUSD,2024,2.141346887033985
Kenya,Small_Biomass_Thika_Way,Annuity Cost in MUSD,2030,2.1770677944060326
Kenya,Small_Biomass_Thika_Way,Annuity Cost in MUSD,2036,2.177060224536118
Kenya,Small_Biomass_Thika_Way,Fixed Cost in MUSD,2024,1.96501855578602
Kenya,Small_Biomass_Thika_Way,Fixed Cost in MUSD,2030,1.9977980396896355
Kenya,Small_Biomass_Thika_Way,Fixed Cost in MUSD,2036,1.9977910931575549
Kenya,Small_Biomass_Thika_Way,Variable Cost in MUSD,2024,0.279721929026425
Kenya,Small_Biomass_Thika_Way,Variable Cost in MUSD,2030,0.2843882155670295
Kenya,Small_Biomass_Thika_Way,Variable Cost in MUSD,2036,0.2843871397088588
Kenya,Small_Biomass_Thika_Way,Spinning Reserve Cost in MUSD,2024,0.0209912867031971
Kenya,Small_Biomass_Thika_Way,Spinning Reserve Cost in MUSD,2030,0.0213003455340615
Kenya,Small_Biomass_Thika_Way,Spinning Reserve Cost in MUSD,2036,0.0213519128324112
Kenya,Small_Biomass_Thika_Way,Capacity Factor,2024,0.6500035730204727
Kenya,Small_Biomass_Thika_Way,Capacity Factor,2030,0.6500038046847956
Kenya,Small_Biomass_Thika_Way,Capacity Factor,2036,0.6500036058040887
Kenya,Tana_Biomass_Limited_Biogas,Annuity Cost in MUSD,2036,2.1794885084135176
Kenya,Tana_Biomass_Limited_Biogas,Fixed Cost in MUSD,2036,2.000019420994908
Kenya,Tana_Biomass_Limited_Biogas,Variable Cost in MUSD,2036,0.4073455347556394
Kenya,Tana_Biomass_Limited_Biogas,Spinning Reserve Cost in MUSD,2036,0.0167187259657956
Kenya,Tana_Biomass_Limited_Biogas,Capacity Factor,2036,0.930003605630754
Kenya,Dongo_Kundu,Annuity Cost in MUSD,2030,0.0002580100570655
Kenya,Dongo_Kundu,Annuity Cost in MUSD,2036,0.0006729469891148
Kenya,Dongo_Kundu,Fixed Cost in MUSD,2030,0.0001000815382631
Kenya,Dongo_Kundu,Fixed Cost in MUSD,2036,0.000261266076387
Kenya,Dongo_Kundu,Variable Cost in MUSD,2030,0.0001368728150659
Kenya,Dongo_Kundu,Variable Cost in MUSD,2036,0.0001879865854994
Kenya,Dongo_Kundu,Spinning Reserve Cost in MUSD,2030,1.0542352527496674e-05
Kenya,Dongo_Kundu,Spinning Reserve Cost in MUSD,2036,2.117235110314462e-05
Kenya,Dongo_Kundu,Capacity Factor,2030,0.0538852683609535
Kenya,Dongo_Kundu,Capacity Factor,2036,0.0286607711971466
Kenya,Generic_GENC_Natural_Gas_-_CCGT,Annuity Cost in MUSD,2030,0.0002796095521576
Kenya,Generic_GENC_Natural_Gas_-_CCGT,Annuity Cost in MUSD,2036,0.0010125007748977
Kenya,Generic_GENC_Natural_Gas_-_CCGT,Fixed Cost in MUSD,2030,0.0001501752950143
Kenya,Generic_GENC_Natural_Gas_-_CCGT,Fixed Cost in MUSD,2036,0.0005494626127172
Kenya,Generic_GENC_Natural_Gas_-_CCGT,Variable Cost in MUSD,2030,0.0001599174841359
Kenya,Generic_GENC_Natural_Gas_-_CCGT,Variable Cost in MUSD,2036,0.0002213648122885
Kenya,Generic_GENC_Natural_Gas_-_CCGT,Spinning Reserve Cost in MUSD,2030,1.4672677356429275e-05
Kenya,Generic_GENC_Natural_Gas_-_CCGT,Spinning Reserve Cost in MUSD,2036,4.3168089646221074e-05
Kenya,Generic_GENC_Natural_Gas_-_CCGT,Capacity Factor,2030,0.0440643446005513
Kenya,Generic_GENC_Natural_Gas_-_CCGT,Capacity Factor,2036,0.0168792875476415
Kenya,CCGT_GENC_CCS,Annuity Cost in MUSD,2036,0.0003219734638749
