c_0,uni_1,uni_2,value
Ethiopia,Average Transmission additions: $m,Summary,19.205069015323897
Ethiopia,Average Spinning Reserve costs: $m,Summary,0.00031377917518122026
Ethiopia,Average Unmet demand costs: $m,Summary,0.00020556585695399786
Ethiopia,Average Spinning Reserve violation: $m,Summary,0.0009818468659588547
Ethiopia,Average Total Annual Cost: $m,Summary,1241.5837440341352
Libya,Average Capex: $m,Summary,589.4284148048606
Libya,Average Annualized capex: $m,Summary,288.71635787584654
Libya,Average Fixed O&M: $m,Summary,257.6351857553227
Libya,Average Variable O&M: $m,Summary,2008.002855091785
Libya,Average Total fuel Costs: $m,Summary,0.3170344844809659
Libya,Average Transmission additions: $m,Summary,40.12087406518126
Libya,Average Spinning Reserve costs: $m,Summary,19.804997876218152
Libya,Average Unmet demand costs: $m,Summary,0.00013730419373753257
Libya,Average Spinning Reserve violation: $m,Summary,2.5958576845100594
Libya,Average Planning Reserve violation: $m,Summary,9.026044761351189
Libya,Average Total Annual Cost: $m,Summary,3376.9498162756277
Rwanda,Average Capex: $m,Summary,0.023916232164910692
Rwanda,Average Annualized capex: $m,Summary,22.788654586533863
Rwanda,Average Fixed O&M: $m,Summary,1.6015919089685966
Rwanda,Average Variable O&M: $m,Summary,11.250629744841135
Rwanda,Average Total fuel Costs: $m,Summary,0.24535274350839714
Rwanda,Average Transmission additions: $m,Summary,3.0842609607834928
Rwanda,Average Spinning Reserve costs: $m,Summary,0.0003048357880036569
Rwanda,Average Unmet demand costs: $m,Summary,0.00014964687247818128
Rwanda,Average Spinning Reserve violation: $m,Summary,0.00022022044880863978
Rwanda,Average Planning Reserve violation: $m,Summary,9.669161524173044
Rwanda,Average Total Annual Cost: $m,Summary,114.53914564698694
Somalia,Average Capex: $m,Summary,35.87104159734018
Somalia,Average Annualized capex: $m,Summary,13.290455178921329
Somalia,Average Fixed O&M: $m,Summary,6.067078800511765
Somalia,Average Variable O&M: $m,Summary,0.3226340577158198
Somalia,Average Total fuel Costs: $m,Summary,0.8870732100196442
Somalia,Average Transmission additions: $m,Summary,0.9669272769372859
Somalia,Average Spinning Reserve costs: $m,Summary,29.809364123770088
Somalia,Average Unmet demand costs: $m,Summary,0.00037047316644266273
Somalia,Average Spinning Reserve violation: $m,Summary,0.9632057920147371
Somalia,Average Planning Reserve violation: $m,Summary,0.34016190498981624
Somalia,Average Total Annual Cost: $m,Summary,75.70137814531365
SouthSudan,Average Capex: $m,Summary,11.154781948048258
SouthSudan,Average Annualized capex: $m,Summary,12.476482023907042
SouthSudan,Average Fixed O&M: $m,Summary,19.625061157545165
SouthSudan,Average Variable O&M: $m,Summary,23.1466303216419
SouthSudan,Average Total fuel Costs: $m,Summary,0.7371812269884157
SouthSudan,Average Transmission additions: $m,Summary,0.5527543984625197
SouthSudan,Average Spinning Reserve costs: $m,Summary,167.70744580209652
SouthSudan,Average Unmet demand costs: $m,Summary,0.00010401265023368525
SouthSudan,Average Spinning Reserve violation: $m,Summary,0.012494025087870219
SouthSudan,Average Planning Reserve violation: $m,Summary,10.940374850445192
SouthSudan,Average Total Annual Cost: $m,Summary,328.78831893413434
Sudan,Average Capex: $m,Summary,34.02015554096446
Sudan,Average Annualized capex: $m,Summary,208.24913544958414
Sudan,Average Fixed O&M: $m,Summary,64.27868703907991
Sudan,Average Variable O&M: $m,Summary,303.993645593835
Sudan,Average Total fuel Costs: $m,Summary,16.517425279939054
Sudan,Average Transmission additions: $m,Summary,30.588259570275554
Sudan,Average Spinning Reserve costs: $m,Summary,22.45595454166716
Sudan,Average Unmet demand costs: $m,Summary,0.00012337885232228572
Sudan,Average Spinning Reserve violation: $m,Summary,11.375447548970019
Sudan,Average Planning Reserve violation: $m,Summary,95.33685002522736
Sudan,Average Total Annual Cost: $m,Summary,1240.4637524873785
Tanzania,Average Capex: $m,Summary,30.656516346680093
Tanzania,Average Annualized capex: $m,Summary,371.0865897014561
Tanzania,Average Fixed O&M: $m,Summary,21.9018253250916
Tanzania,Average Variable O&M: $m,Summary,49.46910008065254
Tanzania,Average Total fuel Costs: $m,Summary,0.2044637017736489
Tanzania,Average Transmission additions: $m,Summary,14.879107670193257
Tanzania,Average Spinning Reserve costs: $m,Summary,0.0003809658984891535
Tanzania,Average Unmet demand costs: $m,Summary,0.0001543173515911015
Tanzania,Average Spinning Reserve violation: $m,Summary,0.00019538531039341308
Tanzania,Average Planning Reserve violation: $m,Summary,0.7890084288493459
Tanzania,Average Total Annual Cost: $m,Summary,1083.506342180752
Uganda,Average Capex: $m,Summary,0.5111665354417388
Uganda,Average Annualized capex: $m,Summary,105.15817833210727
Uganda,Average Fixed O&M: $m,Summary,15.55255924056653
Uganda,Average Variable O&M: $m,Summary,0.009198257319134113
Uganda,Average Total fuel Costs: $m,Summary,0.272663529173368
Uganda,Average Transmission additions: $m,Summary,2.287486924649137
Uganda,Average Spinning Reserve costs: $m,Summary,0.0003206805358700871
Uganda,Average Unmet demand costs: $m,Summary,0.00015340999091827915
Uganda,Average Spinning Reserve violation: $m,Summary,0.00018818098494203825
Uganda,Average Planning Reserve violation: $m,Summary,10.607214092141824
Uganda,Average Total Annual Cost: $m,Summary,376.6714837604738
