z,y,value
Kenya,2024,42.93920248440225
Kenya,2030,38.76950704606137
Kenya,2036,35.222265285421706
Burundi,2024,98.1718120350798
Burundi,2030,22.8709926066854
Burundi,2036,17.38068572354768
Djibouti,2024,15.699371740929084
Djibouti,2030,10.769296334960586
Djibouti,2036,29.096932096379398
Drc_E,2024,29.514442791559382
Drc_E,2030,30.674859490780413
Drc_E,2036,23.59207577137109
Egypt,2024,41.92567813301578
Egypt,2030,36.041531028719234
Egypt,2036,37.63413369229701
Ethiopia,2024,13.487593516188436
Ethiopia,2030,27.5163228775396
Ethiopia,2036,17.310150574476758
Libya,2024,53.93577480220215
Libya,2030,56.07852552242019
Libya,2036,54.40028390590093
Rwanda,2024,63.40848509942547
Rwanda,2030,51.05645966816564
Rwanda,2036,36.19945078593853
Somaliland,2030,4.936657910959535
Somaliland,2036,33.24471269545218
Mogadishu,2030,15.725813165547622
Mogadishu,2036,14.63338551677394
SomaliaROC,2030,25.919947157411716
SomaliaROC,2036,16.51005198472498
SouthSudan,2024,196.05700715519703
SouthSudan,2030,37.86008510926112
SouthSudan,2036,28.20459381293113
Sudan,2024,26.106087620291053
Sudan,2030,37.31326814512592
Sudan,2036,26.78688271418941
Tanzania,2024,42.92957597858402
Tanzania,2030,30.65691173042918
Tanzania,2036,30.985932849242232
Uganda,2024,29.78568466986489
Uganda,2030,30.997170087817224
Uganda,2036,31.5997426829068
