z,g,y,value
Kenya,Cummins_Cogeneration_Kenya_Limited,2030,0.6500004006764585
Kenya,Cummins_Cogeneration_Kenya_Limited,2036,0.6500003945061628
Kenya,Municipal_Waste_to_Energy_,2030,0.6500019959182535
Kenya,Municipal_Waste_to_Energy_,2036,0.6500019013140139
Kenya,Roadtech_Solutions,2030,0.6500076259836763
Kenya,Roadtech_Solutions,2036,0.6500071958504394
Kenya,Small_Biomass_Thika_Way,2024,0.6500035730204727
Kenya,Small_Biomass_Thika_Way,2030,0.6500038046847956
Kenya,Small_Biomass_Thika_Way,2036,0.6500036058040887
Kenya,Tana_Biomass_Limited_Biogas,2036,0.930003605630754
Kenya,Dongo_Kundu,2030,0.0538852683609535
Kenya,Dongo_Kundu,2036,0.0286607711971466
Kenya,Generic_GENC_Natural_Gas_-_CCGT,2030,0.0440643446005513
Kenya,Generic_GENC_Natural_Gas_-_CCGT,2036,0.0168792875476415
Kenya,CCGT_GENC_CCS,2036,0.0803562977537955
Kenya,Kitui,2030,0.3808608851544325
Kenya,Kitui,2036,0.2602652557948816
Kenya,Lamu_Coal_Power_Station,2030,0.438101127440887
Kenya,Lamu_Coal_Power_Station,2036,0.3005669009624814
Kenya,AGIL_Longonot_Stage_1,2024,0.8864360454991029
Kenya,AGIL_Longonot_Stage_1,2030,0.9590093864293948
Kenya,AGIL_Longonot_Stage_1,2036,0.9177674864557968
Kenya,AGIL_Longonot_Stage_2,2024,0.8864360454991029
Kenya,AGIL_Longonot_Stage_2,2030,0.9590093864293948
Kenya,AGIL_Longonot_Stage_2,2036,0.9177674864557968
Kenya,AGIL_Longonot_Stage_3,2024,0.8872726457525901
Kenya,AGIL_Longonot_Stage_3,2030,0.9587807239212108
Kenya,AGIL_Longonot_Stage_3,2036,0.9182000332506594
Kenya,AGIL_Longonot_Stage_4,2024,0.8872726457525901
Kenya,AGIL_Longonot_Stage_4,2030,0.9587807239212108
Kenya,AGIL_Longonot_Stage_4,2036,0.9182000332506594
Kenya,Baringo_Silali__-_Korosi_I,2030,0.8306588583217408
Kenya,Baringo_Silali__-_Korosi_I,2036,0.8280407143062457
Kenya,Baringo_Silali__-_Paka_I,2030,0.8306588583217408
Kenya,Baringo_Silali__-_Paka_I,2036,0.8280407143062457
Kenya,Baringo_Silali__-_Silali_I,2030,0.8306588583217408
Kenya,Baringo_Silali__-_Silali_I,2036,0.8280407143062457
Kenya,Eburru_2,2030,0.9114719788116776
Kenya,Eburru_2,2036,0.8363791389868277
Kenya,Generic_GENC_Geothermal,2030,0.8237279193098089
Kenya,Generic_GENC_Geothermal,2036,0.7657999706495889
Kenya,Marine_Power_Akiira___Stage_1,2030,0.9227124802546088
Kenya,Marine_Power_Akiira___Stage_1,2036,0.861787143579839
Kenya,Menengai_I_Phase_I_Stage_I_-_Orpower22,2030,0.7673998803575842
Kenya,Menengai_I_Phase_I_Stage_I_-_Orpower22,2036,0.774580817442193
Kenya,Menengai_III_,2030,0.926085295406342
Kenya,Menengai_III_,2036,0.8713032494508894
Kenya,Menengai_Istage2,2030,0.9261551237255178
Kenya,Menengai_Istage2,2036,0.8711475439780918
Kenya,MenengaiV,2036,0.8636104552498061
Kenya,Olkaria_7,2024,0.9400005227569448
Kenya,Olkaria_7,2030,0.898117004867807
