z,uni,y,value
Djibouti,Transmission additions: $m,2036,0.8557496678413566
Djibouti,Spinning Reserve costs: $m,2024,0.5873979375294381
Djibouti,Spinning Reserve costs: $m,2030,0.6006390894272532
Djibouti,Spinning Reserve costs: $m,2036,0.5896366312195354
Djibouti,Unmet demand costs: $m,2024,0.0006898983942209
Djibouti,Unmet demand costs: $m,2030,0.0001672136492237
Djibouti,Unmet demand costs: $m,2036,0.000227517370632
Djibouti,Excess generation: $m,2024,0.0004066948038535
Djibouti,Excess generation: $m,2030,0.0001008001225974
Djibouti,Excess generation: $m,2036,0.0001452317761543
Djibouti,Capex: $m,2024,1e-11
Djibouti,Capex: $m,2030,99.18078011258189
Djibouti,Capex: $m,2036,46.49605586321051
Djibouti,Unmet reserve costs: $m,2024,3.24774746638021
Djibouti,Unmet reserve costs: $m,2030,4.691077452474336
Djibouti,Unmet reserve costs: $m,2036,10.21069536467304
Djibouti,Unmet system reserve costs: $m,2024,3.8986134561924966e-05
Djibouti,Unmet system reserve costs: $m,2030,8.086619297656136e-06
Djibouti,Unmet system reserve costs: $m,2036,1.3683493434124516e-05
Djibouti,Import costs with internal zones: $m,2024,44.73733321581573
Djibouti,Import costs with internal zones: $m,2030,36.90664546076668
Djibouti,Import costs with internal zones: $m,2036,43.78960343226712
Djibouti,Export revenues with internal zones: $m,2024,-0.0033695345582086
Djibouti,Export revenues with internal zones: $m,2030,-0.0001426824356591
Djibouti,Export revenues with internal zones: $m,2036,-0.0020844540814868
Djibouti,Trade shared benefits: $m,2024,-20.89258335549746
Djibouti,Trade shared benefits: $m,2030,-18.45329253766151
Djibouti,Trade shared benefits: $m,2036,-4.475075288788297
Djibouti,Trade Costs: $m,2024,23.841380325760053
Djibouti,Trade Costs: $m,2030,18.453210240669502
Djibouti,Trade Costs: $m,2036,39.31244368939734
Djibouti,Total Annual Cost by Zone: $m,2024,9.198334553293854
Djibouti,Total Annual Cost by Zone: $m,2030,14.545117268642784
Djibouti,Total Annual Cost by Zone: $m,2036,18.292188698192813
Djibouti,Total Annual Cost by Zone with trade: $m,2024,33.0397148790539
Djibouti,Total Annual Cost by Zone with trade: $m,2030,32.99832750931228
Djibouti,Total Annual Cost by Zone with trade: $m,2036,57.60463238759016
Drc_E,Annualized capex: $m,2024,9.90756931684711
Drc_E,Annualized capex: $m,2030,18.25588108266632
Drc_E,Annualized capex: $m,2036,18.278590906727768
Drc_E,Fixed O&M: $m,2024,1.6024710633038637
Drc_E,Fixed O&M: $m,2030,4.676138748790357
Drc_E,Fixed O&M: $m,2036,4.697983956048886
Drc_E,Variable O&M: $m,2024,1.3235458236759496
Drc_E,Variable O&M: $m,2030,2.143943587939726
Drc_E,Variable O&M: $m,2036,2.1443751526840487
Drc_E,Total fuel Costs: $m,2030,0.0002579686203556
Drc_E,Total fuel Costs: $m,2036,0.0003406365334471
Drc_E,Transmission additions: $m,2036,1.7058747817642606
Drc_E,Spinning Reserve costs: $m,2024,1.1704449224726137
Drc_E,Spinning Reserve costs: $m,2030,1.3141332296530803
Drc_E,Spinning Reserve costs: $m,2036,1.3141822654361262
Drc_E,Unmet demand costs: $m,2024,1.9489631564967345
Drc_E,Unmet demand costs: $m,2030,0.0001338653107168
Drc_E,Unmet demand costs: $m,2036,0.0001823379777483
Drc_E,Excess generation: $m,2024,0.0002673856940977
Drc_E,Excess generation: $m,2030,9.197021850174497e-05
Drc_E,Excess generation: $m,2036,0.0001368799114395
Drc_E,Capex: $m,2024,1e-11
Drc_E,Capex: $m,2030,0.0313514925493153
Drc_E,Capex: $m,2036,0.1058065238867827
Drc_E,Unmet reserve costs: $m,2024,4.740003855001146
Drc_E,Unmet reserve costs: $m,2030,2.777326670131259
Drc_E,Unmet reserve costs: $m,2036,4.972315348392842
Drc_E,Unmet system reserve costs: $m,2024,3.8986134561924966e-05
Drc_E,Unmet system reserve costs: $m,2030,8.086619297656136e-06
Drc_E,Unmet system reserve costs: $m,2036,1.3683493434124516e-05
Drc_E,Import costs with internal zones: $m,2024,29.617780605883716
Drc_E,Import costs with internal zones: $m,2030,0.4614526560350381
Drc_E,Import costs with internal zones: $m,2036,22.58960157253621
Drc_E,Export revenues with internal zones: $m,2024,-0.0036285274574178
Drc_E,Export revenues with internal zones: $m,2030,-1.1197768466112128
Drc_E,Export revenues with internal zones: $m,2036,-17.190143168523676
Drc_E,Trade shared benefits: $m,2024,-12.463727251349129
Drc_E,Trade shared benefits: $m,2030,-0.0240974954428977
Drc_E,Trade shared benefits: $m,2036,-4.015830583500751
Drc_E,Trade Costs: $m,2024,17.150424827077167
Drc_E,Trade Costs: $m,2030,-0.6824216860190724
Drc_E,Trade Costs: $m,2036,1.3836278205117838
Drc_E,Total Annual Cost by Zone: $m,2024,15.95326166849037
Drc_E,Total Annual Cost by Zone: $m,2030,26.390580453199053
Drc_E,Total Annual Cost by Zone: $m,2036,28.14166691708373
Drc_E,Total Annual Cost by Zone with trade: $m,2024,33.10368649556754
Drc_E,Total Annual Cost by Zone with trade: $m,2030,25.708158767179984
Drc_E,Total Annual Cost by Zone with trade: $m,2036,29.525294737595512
Egypt,Annualized capex: $m,2030,837.4689156157264
Egypt,Annualized capex: $m,2036,2339.0338001712016
Egypt,Fixed O&M: $m,2024,1542.24974
Egypt,Fixed O&M: $m,2030,1662.6087575695826
Egypt,Fixed O&M: $m,2036,2129.7608874680736
Egypt,Variable O&M: $m,2024,585.1795188681775
Egypt,Variable O&M: $m,2030,739.6576650235644
Egypt,Variable O&M: $m,2036,791.2857109590966
Egypt,Total fuel Costs: $m,2024,6639.354758355869
Egypt,Total fuel Costs: $m,2030,6166.650732191093
Egypt,Total fuel Costs: $m,2036,6107.575722626175
Egypt,Transmission additions: $m,2036,27.951123261601087
Egypt,Spinning Reserve costs: $m,2024,35.46658595277093
Egypt,Spinning Reserve costs: $m,2030,35.465770333711
Egypt,Spinning Reserve costs: $m,2036,35.46583101660162
Egypt,Unmet demand costs: $m,2024,0.000742667071893
Egypt,Unmet demand costs: $m,2030,0.0002470866766656
Egypt,Unmet demand costs: $m,2036,0.0003060417215588
Egypt,Excess generation: $m,2024,0.0005095530171712
Egypt,Excess generation: $m,2030,0.0001040805076616
Egypt,Excess generation: $m,2036,0.0001378247967918
Egypt,Capex: $m,2024,1e-11
Egypt,Capex: $m,2030,0.0239911289561218
Egypt,Capex: $m,2036,1805.194509662056
Egypt,Unmet reserve costs: $m,2024,0.0006303629003183
Egypt,Unmet reserve costs: $m,2030,0.0001326268488502
Egypt,Unmet reserve costs: $m,2036,0.0025008544900935
Egypt,Unmet system reserve costs: $m,2024,3.8986134561924966e-05
Egypt,Unmet system reserve costs: $m,2030,8.086619297656136e-06
Egypt,Unmet system reserve costs: $m,2036,1.3683493434124516e-05
Egypt,Import costs with internal zones: $m,2024,23.89255253493438
Egypt,Import costs with internal zones: $m,2030,28.91674312669185
Egypt,Import costs with internal zones: $m,2036,324.1123020759801
Egypt,Export revenues with internal zones: $m,2024,-152.26601983400562
Egypt,Export revenues with internal zones: $m,2030,-106.50357699769484
Egypt,Export revenues with internal zones: $m,2036,-119.24099460464306
Egypt,Trade shared benefits: $m,2024,-206.44937401491444
Egypt,Trade shared benefits: $m,2030,-86.29367376563367
Egypt,Trade shared benefits: $m,2036,-77.04574388170796
Egypt,Trade Costs: $m,2024,-334.8228413139857
Egypt,Trade Costs: $m,2030,-163.88050763663668
Egypt,Trade Costs: $m,2036,127.82556358962913
Egypt,Total Annual Cost by Zone: $m,2024,8802.251855396906
Egypt,Total Annual Cost by Zone: $m,2030,9441.852191900864
Egypt,Total Annual Cost by Zone: $m,2036,11431.073519369267
Egypt,Total Annual Cost by Zone with trade: $m,2024,8467.429014082922
Egypt,Total Annual Cost by Zone with trade: $m,2030,9277.971684264226
Egypt,Total Annual Cost by Zone with trade: $m,2036,11558.899082958897
Ethiopia,Annualized capex: $m,2024,133.8052443864461
Ethiopia,Annualized capex: $m,2030,773.907564080033
Ethiopia,Annualized capex: $m,2036,1069.494637954215
Ethiopia,Fixed O&M: $m,2024,134.35442210130938
Ethiopia,Fixed O&M: $m,2030,333.6340068748661
Ethiopia,Fixed O&M: $m,2036,383.9736547394792
Ethiopia,Variable O&M: $m,2024,0.9662687788348738
Ethiopia,Variable O&M: $m,2030,0.0009780734597471
Ethiopia,Variable O&M: $m,2036,30.44311446691196
Ethiopia,Total fuel Costs: $m,2024,0.0016558495054138
Ethiopia,Total fuel Costs: $m,2030,0.0008039248174307
Ethiopia,Total fuel Costs: $m,2036,0.0007502872647455
Ethiopia,Transmission additions: $m,2036,12.173767704581882
Ethiopia,Spinning Reserve costs: $m,2024,19.56552871237221
Ethiopia,Spinning Reserve costs: $m,2030,18.396616348685093
Ethiopia,Spinning Reserve costs: $m,2036,19.953445065787985
Ethiopia,Unmet demand costs: $m,2024,0.0005993060934011
Ethiopia,Unmet demand costs: $m,2030,0.0002499664593455
Ethiopia,Unmet demand costs: $m,2036,0.0003300040713136
Ethiopia,Excess generation: $m,2024,0.0005674562571418
Ethiopia,Excess generation: $m,2030,0.0001891450587113
Ethiopia,Excess generation: $m,2036,0.0001616715884986
Ethiopia,Capex: $m,2024,0.0118924714976992
Ethiopia,Capex: $m,2030,922.4737737750328
Ethiopia,Capex: $m,2036,0.0553406087280623
Ethiopia,Unmet reserve costs: $m,2024,0.0109439717758486
Ethiopia,Unmet reserve costs: $m,2030,0.0001258814627868
Ethiopia,Unmet reserve costs: $m,2036,0.0001774581174825
Ethiopia,Unmet system reserve costs: $m,2024,3.8986134561924966e-05
Ethiopia,Unmet system reserve costs: $m,2030,8.086619297656136e-06
Ethiopia,Unmet system reserve costs: $m,2036,1.3683493434124516e-05
Ethiopia,Import costs with internal zones: $m,2024,0.0156193097285401
Ethiopia,Import costs with internal zones: $m,2030,-2.371936360990889e-05
Ethiopia,Import costs with internal zones: $m,2036,0.0096159871836645
Ethiopia,Export revenues with internal zones: $m,2024,-14.640632250731429
Ethiopia,Export revenues with internal zones: $m,2030,0.0005030689203957
Ethiopia,Export revenues with internal zones: $m,2036,-628.694664753838
Ethiopia,Trade shared benefits: $m,2024,-196.14379825384844
Ethiopia,Trade shared benefits: $m,2030,-151.7811952861318
Ethiopia,Trade shared benefits: $m,2036,-99.48810957806072
Ethiopia,Trade Costs: $m,2024,-210.7688111948513
Ethiopia,Trade Costs: $m,2030,-151.780715936575
Ethiopia,Trade Costs: $m,2036,-728.1731583447149
Ethiopia,Total Annual Cost by Zone: $m,2024,288.69428659081854
Ethiopia,Total Annual Cost by Zone: $m,2030,1125.9404084133794
Ethiopia,Total Annual Cost by Zone: $m,2036,1516.0398618939007
Ethiopia,Total Annual Cost by Zone with trade: $m,2024,77.92547539596721
Ethiopia,Total Annual Cost by Zone with trade: $m,2030,974.1596924768046
Ethiopia,Total Annual Cost by Zone with trade: $m,2036,787.8667035491857
Libya,Annualized capex: $m,2030,663.0696896121353
Libya,Annualized capex: $m,2036,963.5129983707976
Libya,Fixed O&M: $m,2024,89.13086
Libya,Fixed O&M: $m,2030,231.85222026344627
Libya,Fixed O&M: $m,2036,378.8447451342212
Libya,Variable O&M: $m,2024,261.6090420857217
Libya,Variable O&M: $m,2030,267.4656045816346
Libya,Variable O&M: $m,2036,247.1424575406109
Libya,Total fuel Costs: $m,2024,1618.9509572448362
Libya,Total fuel Costs: $m,2030,1815.434588179196
Libya,Total fuel Costs: $m,2036,2265.413104978865
Libya,Transmission additions: $m,2036,0.6869080497087594
Libya,Spinning Reserve costs: $m,2024,37.525282663770575
Libya,Spinning Reserve costs: $m,2030,40.3371200389081
Libya,Spinning Reserve costs: $m,2036,40.3372266583562
Libya,Unmet demand costs: $m,2024,257.4628884077689
Libya,Unmet demand costs: $m,2030,0.0001354765299887
Libya,Unmet demand costs: $m,2036,0.0002118539811922
Libya,Excess generation: $m,2024,0.0004037311899228
Libya,Excess generation: $m,2030,0.0001003878633614
Libya,Excess generation: $m,2036,0.0001298160247494
Libya,Capex: $m,2024,1e-11
Libya,Capex: $m,2030,3527.034316542861
Libya,Capex: $m,2036,4135.535075920317
Libya,Unmet reserve costs: $m,2024,151.07955203747974
Libya,Unmet reserve costs: $m,2030,0.0001785679247133
Libya,Unmet reserve costs: $m,2036,0.0006847251946955
Libya,Unmet system reserve costs: $m,2024,3.8986134561924966e-05
Libya,Unmet system reserve costs: $m,2030,8.086619297656136e-06
Libya,Unmet system reserve costs: $m,2036,1.3683493434124516e-05
Libya,Import costs with internal zones: $m,2024,168.31268434894756
Libya,Import costs with internal zones: $m,2030,66.31491133764025
Libya,Import costs with internal zones: $m,2036,101.68695873727997
Libya,Export revenues with internal zones: $m,2024,-0.0037472451155618
Libya,Export revenues with internal zones: $m,2030,-0.0289308080420482
Libya,Export revenues with internal zones: $m,2036,-2.0347181178306584
Libya,Trade shared benefits: $m,2024,-50.111195765640936
Libya,Trade shared benefits: $m,2030,-7.374666338109674
Libya,Trade shared benefits: $m,2036,-8.99382026093472
Libya,Trade Costs: $m,2024,118.19774133819104
Libya,Trade Costs: $m,2030,58.911314191488536
Libya,Trade Costs: $m,2036,90.65842035851456
Libya,Total Annual Cost by Zone: $m,2024,2264.6794341332875
Libya,Total Annual Cost by Zone: $m,2030,3018.159458539714
Libya,Total Annual Cost by Zone: $m,2036,3895.9377824025646
Libya,Total Annual Cost by Zone with trade: $m,2024,2382.8771754714785
Libya,Total Annual Cost by Zone with trade: $m,2030,3077.070772731202
Libya,Total Annual Cost by Zone with trade: $m,2036,3986.59620276108
Rwanda,Annualized capex: $m,2024,46.38747078741569
Rwanda,Annualized capex: $m,2030,56.45194857885746
Rwanda,Annualized capex: $m,2036,78.597581819223
Rwanda,Fixed O&M: $m,2024,13.409952735367035
Rwanda,Fixed O&M: $m,2030,18.13273082582308
Rwanda,Fixed O&M: $m,2036,29.00769532243912
Rwanda,Variable O&M: $m,2024,0.3627620893717139
Rwanda,Variable O&M: $m,2030,1.9438185077829844
Rwanda,Variable O&M: $m,2036,1.4658369467536885
Rwanda,Total fuel Costs: $m,2024,0.258977010914423
Rwanda,Total fuel Costs: $m,2030,21.943348025495283
Rwanda,Total fuel Costs: $m,2036,2.3898535865081
Rwanda,Transmission additions: $m,2036,0.5315976109348605
Rwanda,Spinning Reserve costs: $m,2024,3.0845065860191987
Rwanda,Spinning Reserve costs: $m,2030,3.0844354400560703
Rwanda,Spinning Reserve costs: $m,2036,3.0840455439716306
Rwanda,Unmet demand costs: $m,2024,0.0006482545628515
Rwanda,Unmet demand costs: $m,2030,0.0002504275307072
Rwanda,Unmet demand costs: $m,2036,0.0003020075828254
Rwanda,Excess generation: $m,2024,0.0004052072456045
Rwanda,Excess generation: $m,2030,0.0001066125686369
Rwanda,Excess generation: $m,2036,0.0001500877807983
Rwanda,Capex: $m,2024,1e-11
Rwanda,Capex: $m,2030,0.1927016536281661
Rwanda,Capex: $m,2036,0.1182093645056728
Rwanda,Unmet reserve costs: $m,2024,0.0009178655098886
Rwanda,Unmet reserve costs: $m,2030,3.758597740990726
Rwanda,Unmet reserve costs: $m,2036,17.191576394771637
Rwanda,Unmet system reserve costs: $m,2024,3.8986134561924966e-05
Rwanda,Unmet system reserve costs: $m,2030,8.086619297656136e-06
Rwanda,Unmet system reserve costs: $m,2036,1.3683493434124516e-05
Rwanda,Import costs with internal zones: $m,2024,60.78065270990253
Rwanda,Import costs with internal zones: $m,2030,33.21976371305707
Rwanda,Import costs with internal zones: $m,2036,61.85246880143582
Rwanda,Export revenues with internal zones: $m,2024,-26.69646354787162
Rwanda,Export revenues with internal zones: $m,2030,-0.4518805734004812
Rwanda,Export revenues with internal zones: $m,2036,-3.0937920751797394
Rwanda,Trade shared benefits: $m,2024,-105.21840557974876
Rwanda,Trade shared benefits: $m,2030,-4.370342580760028
Rwanda,Trade shared benefits: $m,2036,-7.37133508509071
Rwanda,Trade Costs: $m,2024,-71.13421641771784
Rwanda,Trade Costs: $m,2030,28.39754055889656
Rwanda,Trade Costs: $m,2036,51.38734164116536
Rwanda,Total Annual Cost by Zone: $m,2024,63.50472267089651
Rwanda,Total Annual Cost by Zone: $m,2030,101.5566384181142
Rwanda,Total Annual Cost by Zone: $m,2036,115.077062925194
Rwanda,Total Annual Cost by Zone with trade: $m,2024,-7.629493746821325
Rwanda,Total Annual Cost by Zone with trade: $m,2030,129.95417897701077
Rwanda,Total Annual Cost by Zone with trade: $m,2036,166.46440456635938
Somaliland,Annualized capex: $m,2030,1.2401852327107608
Somaliland,Annualized capex: $m,2036,16.935825002659683
