c,g,y,value
Kenya,Cummins_Cogeneration_Kenya_Limited,2030,0.2007135284750277
Kenya,Cummins_Cogeneration_Kenya_Limited,2036,0.200520396948145
Kenya,Municipal_Waste_to_Energy_,2030,0.0406568260067576
Kenya,Municipal_Waste_to_Energy_,2036,0.0407449796696261
Kenya,Roadtech_Solutions,2030,0.0105775211257416
Kenya,Roadtech_Solutions,2036,0.0106075934757269
Kenya,Small_Biomass_Thika_Way,2024,0.0209912867031971
Kenya,Small_Biomass_Thika_Way,2030,0.0213003455340615
Kenya,Small_Biomass_Thika_Way,2036,0.0213519128324112
Kenya,Tana_Biomass_Limited_Biogas,2036,0.0167187259657956
Kenya,Dongo_Kundu,2030,1.0542352527496674e-05
Kenya,Dongo_Kundu,2036,2.117235110314462e-05
Kenya,Generic_GENC_Natural_Gas_-_CCGT,2030,1.4672677356429275e-05
Kenya,Generic_GENC_Natural_Gas_-_CCGT,2036,4.3168089646221074e-05
Kenya,CCGT_GENC_CCS,2036,7.558853885309979e-06
Kenya,Kitui,2030,5.086352893770924e-06
Kenya,Kitui,2036,6.159816203692712e-06
Kenya,Lamu_Coal_Power_Station,2030,5.104868356066471e-06
Kenya,Lamu_Coal_Power_Station,2036,6.179860506572168e-06
Kenya,AGIL_Longonot_Stage_1,2024,5.199428776219697e-06
Kenya,AGIL_Longonot_Stage_1,2030,3.994983274121672e-06
Kenya,AGIL_Longonot_Stage_1,2036,4.539660703605108e-06
Kenya,AGIL_Longonot_Stage_2,2024,5.199428776219697e-06
Kenya,AGIL_Longonot_Stage_2,2030,3.994983274121672e-06
Kenya,AGIL_Longonot_Stage_2,2036,4.539660703605108e-06
Kenya,AGIL_Longonot_Stage_3,2024,5.220603791762546e-06
Kenya,AGIL_Longonot_Stage_3,2030,4.016994636185737e-06
Kenya,AGIL_Longonot_Stage_3,2036,4.559502097783492e-06
Kenya,AGIL_Longonot_Stage_4,2024,5.220603791762546e-06
Kenya,AGIL_Longonot_Stage_4,2030,4.016994636185737e-06
Kenya,AGIL_Longonot_Stage_4,2036,4.559502097783492e-06
Kenya,Baringo_Silali__-_Korosi_I,2030,5.871385179883284e-05
Kenya,Baringo_Silali__-_Korosi_I,2036,5.931730025641111e-05
Kenya,Baringo_Silali__-_Paka_I,2030,5.871385179883284e-05
Kenya,Baringo_Silali__-_Paka_I,2036,5.931730025641111e-05
Kenya,Baringo_Silali__-_Silali_I,2030,5.871385179883284e-05
Kenya,Baringo_Silali__-_Silali_I,2036,5.931730025641111e-05
Kenya,Eburru_2,2030,4.491769946222539e-06
Kenya,Eburru_2,2036,5.277934139223836e-06
Kenya,Generic_GENC_Geothermal,2030,6.614690450938652e-06
Kenya,Generic_GENC_Geothermal,2036,7.791725433862172e-06
Kenya,Marine_Power_Akiira___Stage_1,2030,5.108134208967979e-06
Kenya,Marine_Power_Akiira___Stage_1,2036,5.995739742022698e-06
Kenya,Menengai_I_Phase_I_Stage_I_-_Orpower22,2030,2.1008499696250645e-05
Kenya,Menengai_I_Phase_I_Stage_I_-_Orpower22,2036,2.163011281157209e-05
Kenya,Menengai_III_,2030,5.390857445979002e-06
Kenya,Menengai_III_,2036,6.330561133389854e-06
Kenya,Menengai_Istage2,2030,5.356274747454553e-06
Kenya,Menengai_Istage2,2036,6.282238696143212e-06
Kenya,MenengaiV,2036,6.078927769159498e-06
Kenya,Olkaria_7,2024,0.1266938747349648
Kenya,Olkaria_7,2030,0.1326968715166626
Kenya,Olkaria_7,2036,0.1352145613685633
Kenya,Olkaria_8,2030,8.778369341167183e-05
Kenya,Olkaria_8,2036,8.870050494060673e-05
Kenya,Olkaria_9_&_other_fields,2030,8.778369341167183e-05
Kenya,Olkaria_9_&_other_fields,2036,8.870050494060673e-05
Kenya,Olkaria_Brine,2024,0.0827309993637402
Kenya,Olkaria_Brine,2030,0.0882124510467127
Kenya,Olkaria_Brine,2036,0.0905718877846834
Kenya,Olkaria_Topping,2030,0.0001739145155756
Kenya,Olkaria_Topping,2036,0.0001754834669317
Kenya,Olkaria_VI,2024,0.1266938747349648
Kenya,Olkaria_VI,2030,0.1326968715166626
Kenya,Olkaria_VI,2036,0.1352145613685633
Kenya,Olsuswa_Unit_1,2024,8.36862840932186e-06
Kenya,Olsuswa_Unit_1,2030,6.580153022702946e-06
Kenya,Olsuswa_Unit_1,2036,7.488207489386151e-06
Kenya,Suswa_I,2030,5.0456587934733616e-06
Kenya,Suswa_I,2036,5.923635448884343e-06
Kenya,Suswa_II,2030,5.403391083591298e-06
Kenya,Suswa_II,2036,6.344828653822865e-06
Kenya,Suswa_III,2036,0.0998074644849984
Kenya,Generic_GENC_Natural_Gas_-_OGCT,2030,3.42974653654102e-05
Kenya,Generic_GENC_Natural_Gas_-_OGCT,2036,0.0002264661684505
Kenya,Generic_LNG_Gas_Turbine,2030,3.192249738490397e-05
Kenya,Generic_LNG_Gas_Turbine,2036,0.0001503571862343
Kenya,LNG_Gas_Turbine,2030,3.162009229785943e-05
Kenya,LNG_Gas_Turbine,2036,0.0001496452548971
Kenya,GenericHFO,2030,1.0343255603713504e-05
Kenya,GenericHFO,2036,4.541548646487245e-05
Kenya,Nuclear_Kenya,2036,5.053069392615862e-06
Kenya,OCGT_GENC_CCS,2036,1.4541471370224754e-05
Kenya,Generic_Small_Hydro,2030,3.672650642743811e-05
Kenya,Generic_Small_Hydro,2036,3.853617008038819e-05
Kenya,Karura,2030,4.808406531529253e-05
