uni,value
Annualized capex: $m,45700.563556714435
Fixed O&M: $m,32222.665957753485
Variable O&M: $m,12232.402595362251
Spinning Reserve costs: $m,1520.4926065115674
NPV of system cost: $m,179937.98955914952
Additional transmission costs: $m,617.4226849603308
Fuel cost: $m,82604.68040932325
Unmet demand cost: $m,3149.9500991337277
Sys Spinning Reserve violation: $m,0.00180220275925686
Sys Planning Reserve violation: $m,0.00012259208043313791
Zonal Spinning Reserve violation: $m,189.40005163728057
Zonal Planning Reserve violation: $m,1700.3892524583766
Excess Generation Costs: $m,1.0108674055232285e-18
Total Generation: GWh,6568815.965777209
Total Demand: GWh,6554168.741972902
Total Capacity Added: MW,54383.490983996286
Total Investment Undiscounted: $m,98351.89373863363
Total Trade: GWh,83279.03012990895
Total USE: GWh,3150.212378066312
Total Emission: mt,1511.5477926910635
Total Demand for H2 production: GWh,1e-06
Total Demand including demand for H2 production: GWh,1e-06
Total H2 produced: mmBTU,1e-06
Total External Demand of H2: mmBTU,1e-06
Total Unmet External Demand of H2: mmBTU,1e-06
Total H2 for power production: mmBTU,1e-06
