z,f,y,value
Kenya,Diesel,2030,0.0036453463631495
Kenya,Diesel,2036,0.0078540528329403
Kenya,Gas,2030,0.0355861943445073
Kenya,Gas,2036,0.166527395274117
Kenya,Water,2024,1285.533401240874
Kenya,Water,2030,1326.2812028976791
Kenya,Water,2036,1327.838939515222
Kenya,HFO,2024,204.8078406139342
Kenya,HFO,2030,196.86789195953136
Kenya,HFO,2036,139.33124682078946
Kenya,Battery,2024,111.87727776111002
Kenya,Battery,2030,0.9853436859902622
Kenya,Battery,2036,54.68494790594623
Kenya,Geothermal,2024,223.98102558818985
Kenya,Geothermal,2030,251.5411979117416
Kenya,Geothermal,2036,250.35169748690495
Kenya,Uranium,2036,0.0010106138785231
Kenya,Biomass,2024,4.19825734063943
Kenya,Biomass,2030,54.65446847822291
Kenya,Biomass,2036,57.99358197668608
Kenya,Coal,2030,0.0032990276706598
Kenya,Coal,2036,0.0042212628617614
Kenya,Pumped,2036,0.0076047794100356
Burundi,Diesel,2024,12.80312759358818
Burundi,Diesel,2030,26.91038469509427
Burundi,Diesel,2036,23.34160742792731
Burundi,Gas,2030,48.75335581421954
Burundi,Gas,2036,66.62103367540011
Burundi,Water,2024,160.65010392194972
Burundi,Water,2030,102.00341551339363
Burundi,Water,2036,87.72081097404357
Burundi,Peat,2030,0.0036545225755382
Burundi,Peat,2036,0.0039628254268226
Burundi,Waste,2030,0.0021661826037326
Burundi,Waste,2036,0.0028415501416906
Burundi,HFO,2030,0.00513232682748
Burundi,HFO,2036,0.0050778617066636
Burundi,Biomass,2030,0.0010216199272297
Burundi,Biomass,2036,0.0011933193918825
Djibouti,Diesel,2024,29.693204741592485
Djibouti,Diesel,2030,24.468010163232808
Djibouti,Diesel,2036,24.827278224838643
Djibouti,Gas,2030,0.0039982933590653
Djibouti,Gas,2036,0.234546462687316
Djibouti,HFO,2024,87.78495451021372
Djibouti,HFO,2030,79.19536599624645
Djibouti,HFO,2036,85.17824941311204
Djibouti,Battery,2030,16.45557826290563
Djibouti,Battery,2036,7.681889994866225
Djibouti,Geothermal,2024,0.0014282540812107
Djibouti,Geothermal,2030,0.0014106989376211
Djibouti,Geothermal,2036,0.0014346098859403
Djibouti,Biomass,2030,0.0034544707692306
Djibouti,Biomass,2036,0.0039275385172463
Drc_E,Diesel,2030,0.0057544350102355
Drc_E,Diesel,2036,0.007868217937769
Drc_E,Water,2024,234.08898449452275
Drc_E,Water,2030,254.18626758733876
Drc_E,Water,2036,253.5004937381645
Drc_E,HFO,2030,0.0067561250743417
Drc_E,HFO,2036,0.0095797364065369
Drc_E,Battery,2030,0.1491381532822532
Drc_E,Battery,2036,1.1690721187548496
Drc_E,Biomass,2030,8.478729629910672
Drc_E,Biomass,2036,8.149439275962136
Egypt,Diesel,2030,0.0029062323173099
Egypt,Diesel,2036,0.0071446749259775
Egypt,Gas,2024,5905.120975526192
Egypt,Gas,2030,5854.045963983562
Egypt,Gas,2036,5518.191042917047
Egypt,Solar,2024,68.3256221108635
Egypt,Solar,2030,70.80239237596864
Egypt,Solar,2036,72.51900453753716
Egypt,Water,2024,712.2259886795708
Egypt,Water,2030,772.7163948868542
Egypt,Water,2036,937.460284388288
Egypt,HFO,2024,407.64460423752695
Egypt,HFO,2030,221.9075529650021
Egypt,HFO,2036,234.6066294289848
Egypt,Battery,2030,0.0147263996321969
Egypt,Battery,2036,0.1378155257059277
Egypt,Uranium,2030,173.66214301168517
Egypt,Uranium,2036,330.2207330474149
Egypt,Biomass,2030,0.0019868871976332
Egypt,Biomass,2036,0.0235488003802131
Ethiopia,Diesel,2024,68.45597904026891
Ethiopia,Diesel,2030,124.67056715552528
Ethiopia,Diesel,2036,61.11522106792694
Ethiopia,Water,2024,3796.350447590187
Ethiopia,Water,2030,3367.624299585617
Ethiopia,Water,2036,3791.15914370615
Ethiopia,HFO,2030,0.00309632890508
Ethiopia,HFO,2036,0.0043606453076129
Ethiopia,Battery,2030,0.0161808548735421
Ethiopia,Battery,2036,0.0236292793060746
Ethiopia,Geothermal,2024,43.78531046342181
Ethiopia,Geothermal,2030,125.11758039697824
Ethiopia,Geothermal,2036,90.06559734905396
Ethiopia,Biomass,2024,4.51400538057888
Ethiopia,Biomass,2030,61.89154541511979
Ethiopia,Biomass,2036,48.32106110985976
Libya,Diesel,2030,0.0044424100151032
Libya,Diesel,2036,0.0079239228099817
Libya,Gas,2024,7505.056532754124
Libya,Gas,2030,8067.376755260111
Libya,Gas,2036,8067.180036966715
Libya,HFO,2030,0.005004816584632
Libya,HFO,2036,0.0096651821364106
Libya,Battery,2030,0.0378052948997499
Libya,Battery,2036,0.2477055995786635
Rwanda,Diesel,2024,62.55972269255468
Rwanda,Diesel,2030,61.430677417928834
Rwanda,Diesel,2036,48.28985469229224
Rwanda,Gas,2024,50.5861050212099
Rwanda,Gas,2030,44.21511645279854
Rwanda,Gas,2036,48.55949029802269
Rwanda,Water,2024,326.1181521428114
Rwanda,Water,2030,323.5352101861243
Rwanda,Water,2036,284.82861326815106
Rwanda,Peat,2024,144.67637261229527
Rwanda,Peat,2030,146.33694841449665
Rwanda,Peat,2036,197.04048757691453
Rwanda,HFO,2024,32.95428579302595
Rwanda,HFO,2030,32.23860068268979
Rwanda,HFO,2036,31.16495819011746
Rwanda,Battery,2030,0.1268311925411687
Rwanda,Battery,2036,0.9829225117115926
Rwanda,Biomass,2030,8.997059297561364
Rwanda,Biomass,2036,5.936149978090091
Rwanda,Methane,2024,0.0066789419439233
Rwanda,Methane,2030,0.0066443670736323
Rwanda,Methane,2036,0.0066322790252448
Somaliland,Diesel,2030,0.0060898152512747
Somaliland,Diesel,2036,0.0102180387684228
Somaliland,Water,2030,0.0032344872432237
Somaliland,Water,2036,8.09732493660884
Somaliland,HFO,2030,0.0072177276099198
Somaliland,HFO,2036,10.057388382293963
Somaliland,Battery,2030,191.9264772526983
Somaliland,Battery,2036,197.2175334154573
Mogadishu,Diesel,2030,0.0060870108261756
Mogadishu,Diesel,2036,0.0077703266993028
Mogadishu,HFO,2030,0.0072151117152617
Mogadishu,HFO,2036,0.0093998445654267
Mogadishu,Battery,2030,2.769308581869481
Mogadishu,Battery,2036,3.0319124011687104
SomaliaROC,Diesel,2030,0.0060856521081828
SomaliaROC,Diesel,2036,0.0077708722689931
SomaliaROC,Water,2030,0.0032384527821443
SomaliaROC,Water,2036,0.0083828292008188
SomaliaROC,HFO,2030,0.0072128289009712
SomaliaROC,HFO,2036,0.0094013278423224
SomaliaROC,Battery,2030,2.7704973976468503
SomaliaROC,Battery,2036,3.032053312631081
SouthSudan,Diesel,2024,105.1942054864436
SouthSudan,Diesel,2030,39.46250561484822
SouthSudan,Diesel,2036,41.08144441507408
SouthSudan,Water,2030,39.52421129646238
SouthSudan,Water,2036,34.385090293460564
SouthSudan,HFO,2030,18.750823731413195
SouthSudan,HFO,2036,27.28456682841292
SouthSudan,Battery,2030,13.03023579025538
SouthSudan,Battery,2036,8.475660449424616
Sudan,Diesel,2030,0.0170981049961656
Sudan,Diesel,2036,0.0160799529449245
Sudan,Gas,2024,116.33712429886464
Sudan,Gas,2030,67.27296547634793
Sudan,Gas,2036,59.6476052606661
Sudan,Water,2024,3262.481478596152
Sudan,Water,2030,2572.754098822294
Sudan,Water,2036,2043.9589568247436
Sudan,HFO,2024,555.1380118785729
Sudan,HFO,2030,568.4687456374509
Sudan,HFO,2036,357.27393754480096
Sudan,Battery,2030,1613.680503314036
Sudan,Battery,2036,2465.553980395177
Sudan,Biomass,2030,42.01021561212041
Sudan,Biomass,2036,36.68451923184737
Sudan,Coal,2024,276.8569470697729
Sudan,Coal,2030,149.81567056244452
Sudan,Coal,2036,127.02777643907608
Sudan,LFO,2024,319.4200940559399
Sudan,LFO,2030,1178.6118511772563
Sudan,LFO,2036,1217.0795334466504
Tanzania,Diesel,2024,37.86162083334949
