z,y,value
Kenya,2024,5.592973183456762e-05
Kenya,2030,2.754621111912088e-05
Kenya,2036,3.376669045161878e-05
Burundi,2024,0.2189957343257888
Burundi,2030,1.2691819017660566
Burundi,2036,3.6311111446134143
Djibouti,2024,0.0473059731644809
Djibouti,2030,0.0135907240220792
Djibouti,2036,0.0006792961455181
Drc_E,2030,1.2498222330102978e-06
Drc_E,2036,1.7215802090145008e-06
Egypt,2024,65.89402896642693
Egypt,2030,78.60904925515732
Egypt,2036,78.03104690949824
Ethiopia,2024,6.061338167727583e-06
Ethiopia,2030,3.5131029241054474e-06
Ethiopia,2036,3.524343504137809e-06
Libya,2024,16.067708293445083
Libya,2030,24.25023525193657
Libya,2036,31.90250094002289
Rwanda,2024,0.002770387283085
Rwanda,2030,0.0503940063112355
Rwanda,2036,0.0001604208510243
Somaliland,2030,1.6088639044986897e-06
Somaliland,2036,0.005658789402406
Mogadishu,2030,0.3292450500027033
Mogadishu,2036,1.1347242768553616
SomaliaROC,2030,0.1062606112596753
SomaliaROC,2036,0.7552823019948726
SouthSudan,2024,0.4430549329515426
SouthSudan,2030,0.2341495996498129
SouthSudan,2036,4.808747196309888e-05
Sudan,2024,8.011889024422874
Sudan,2030,9.74877102227128
Sudan,2036,5.50852468786816
Tanzania,2024,2.261374405760132
Tanzania,2030,0.6281012449804801
Tanzania,2036,0.2244210690074891
Uganda,2024,9.930292469468026e-06
Uganda,2030,0.0001463287999533
Uganda,2036,7.632481742857544e-05
