c,f,y,value
Kenya,Diesel,2030,0.000118426794544
Kenya,Diesel,2036,0.0001695166578518
Kenya,Gas,2030,0.0009907146592861
Kenya,Gas,2036,0.0016281696827961
Kenya,HFO,2024,0.0086379328330659
Kenya,HFO,2030,0.001719267165514
Kenya,HFO,2036,0.0017942901121723
Kenya,Uranium,2036,0.0001086612382008
Kenya,Coal,2030,0.0004860541141182
Kenya,Coal,2036,0.0005649112751879
Burundi,Diesel,2024,63.59832036617118
Burundi,Diesel,2030,0.000450526377891
Burundi,Diesel,2036,0.0006581775070491
Burundi,Peat,2030,0.000135485608713
Burundi,Peat,2036,0.0002395064285063
Burundi,HFO,2030,0.0001022113539726
Burundi,HFO,2036,0.000148710624786
Djibouti,Diesel,2024,0.0045471793524515
Djibouti,Diesel,2030,0.0009745474279964
Djibouti,Diesel,2036,0.0012550992255627
Djibouti,Gas,2030,0.0012488777966338
Djibouti,Gas,2036,0.0011237252275606
Djibouti,HFO,2024,7.303486447038372
Djibouti,HFO,2030,1.914089885865382
Djibouti,HFO,2036,0.092989153606743
DRC,Diesel,2030,0.0001256679952231
DRC,Diesel,2036,0.0001684943297283
DRC,HFO,2030,0.0001323006251324
DRC,HFO,2036,0.0001721422037188
Egypt,Diesel,2030,0.0001134892647354
Egypt,Diesel,2036,0.000175769204434
Egypt,Gas,2024,6639.352197829152
Egypt,Gas,2030,5884.8735925677465
Egypt,Gas,2036,5541.024087051161
Egypt,HFO,2024,0.0025605267099066
Egypt,HFO,2030,0.0004085480299232
Egypt,HFO,2036,0.0006023593236377
Egypt,Uranium,2030,281.77661758607525
Egypt,Uranium,2036,566.5508574465068
Ethiopia,Diesel,2024,0.0016558495054138
Ethiopia,Diesel,2030,0.0007158650802786
Ethiopia,Diesel,2036,0.0006040233520266
Ethiopia,HFO,2030,8.805973715211943e-05
Ethiopia,HFO,2036,0.0001462639127188
Libya,Diesel,2030,0.0001268104653498
Libya,Diesel,2036,0.0001955817015503
Libya,Gas,2024,1618.9509572448362
Libya,Gas,2030,1815.4343264718173
Libya,Gas,2036,2265.412696251697
Libya,HFO,2030,0.0001348969155875
Libya,HFO,2036,0.0002131454577259
Rwanda,Diesel,2024,0.0013413907722161
Rwanda,Diesel,2030,0.0003913315316289
Rwanda,Diesel,2036,0.0003498423276813
Rwanda,Gas,2024,0.2535547581624601
Rwanda,Gas,2030,4.289856867841684
Rwanda,Gas,2036,0.013353017354398
Rwanda,Peat,2024,0.0025169320518385
Rwanda,Peat,2030,17.652483039408263
Rwanda,Peat,2036,2.375580323355157
Rwanda,HFO,2024,0.0007693771808692
Rwanda,HFO,2030,0.0002787946039663
Rwanda,HFO,2036,0.0003633017260379
Rwanda,Methane,2024,0.0007945527470389
Rwanda,Methane,2030,0.000337992109752
Rwanda,Methane,2036,0.0002071017448256
Somalia,Diesel,2030,0.0006036832238284
Somalia,Diesel,2036,0.0022853461961899
Somalia,HFO,2030,0.0002994277441718
Somalia,HFO,2036,0.6958520012200858
SouthSudan,Diesel,2024,108.6817061574585
SouthSudan,Diesel,2030,3.939972394723468
SouthSudan,Diesel,2036,0.0020808383397642
SouthSudan,HFO,2030,28.090583041726266
SouthSudan,HFO,2036,0.004778395858196
Sudan,Diesel,2030,0.000897725721917
Sudan,Diesel,2036,0.0001841039746656
Sudan,HFO,2024,212.3173441618024
Sudan,HFO,2030,163.0848514653729
Sudan,HFO,2036,0.0006388707010121
Sudan,LFO,2024,182.26875744970116
Sudan,LFO,2030,429.8017359016533
Sudan,LFO,2036,0.0002404506337626
Tanzania,Diesel,2024,0.0053672997027355
Tanzania,Diesel,2030,0.0011718244156774
Tanzania,Diesel,2036,0.001402771998645
Tanzania,Gas,2024,207.64169255998848
Tanzania,Gas,2030,53.46726181161154
Tanzania,Gas,2036,19.10034416155432
Tanzania,HFO,2024,0.0008529754193368
Tanzania,HFO,2030,0.000266519287965
Tanzania,HFO,2036,0.0003691722325363
Tanzania,Coal,2030,0.0019307915615564
Tanzania,Coal,2036,0.0023176495662574
Uganda,Diesel,2030,0.0001244021436224
Uganda,Diesel,2036,0.0001695646028672
Uganda,Gas,2030,0.0121866445336051
Uganda,Gas,2036,0.0061276152124353
Uganda,HFO,2024,0.0017013915441444
Uganda,HFO,2030,0.0004516998934335
Uganda,HFO,2036,0.0005860658814694
