z,f,y,value
Rwanda,Water,2030,139.70747599255355
Rwanda,Water,2036,261.1342548105756
Rwanda,Peat,2024,85.0
Rwanda,Peat,2030,120.00335682134582
Rwanda,Peat,2036,120.00469659792412
Rwanda,HFO,2024,20.0
Rwanda,HFO,2030,20.00677020539823
Rwanda,HFO,2036,20.0106187585451
Rwanda,Battery,2030,0.0633968139835707
Rwanda,Battery,2036,0.4148850407483739
Rwanda,Biomass,2030,25.3190665132817
Rwanda,Biomass,2036,25.3191032202984
Rwanda,Methane,2024,0.0070603156572526
Rwanda,Methane,2030,0.0069677302419376
Rwanda,Methane,2036,0.0070875273757774
Somaliland,Diesel,2030,0.0086917818545487
Somaliland,Diesel,2036,0.0283026729415313
Somaliland,Solar,2030,0.0027944177697805
Somaliland,Solar,2036,85.61526307406844
Somaliland,Water,2030,0.001840292338054
Somaliland,Water,2036,35.00036244181374
Somaliland,HFO,2030,0.006904681185163
Somaliland,HFO,2036,11.511921335192792
Somaliland,Battery,2030,43.82636819539088
Somaliland,Battery,2036,213.87485849395944
Mogadishu,Diesel,2030,0.0086864204199122
Mogadishu,Diesel,2036,0.0123529447561213
Mogadishu,Gas,2030,111.44830554126064
Mogadishu,Gas,2036,354.0255012122279
Mogadishu,Solar,2030,0.0029096194894988
Mogadishu,Solar,2036,0.0054121614698582
Mogadishu,HFO,2030,0.0069020141905547
Mogadishu,HFO,2036,0.0100980975281603
Mogadishu,Battery,2030,0.6400873589196446
Mogadishu,Battery,2036,1.999851234599988
SomaliaROC,Diesel,2030,0.0086828969400093
SomaliaROC,Diesel,2036,0.0123545931206823
SomaliaROC,Gas,2030,65.59908822731511
SomaliaROC,Gas,2036,275.11321863665006
SomaliaROC,Solar,2030,0.0028872455160821
SomaliaROC,Solar,2036,0.005388518562434
SomaliaROC,Water,2030,0.0019383215010985
SomaliaROC,Water,2036,0.0054920309202784
SomaliaROC,HFO,2030,0.0068991830487947
SomaliaROC,HFO,2036,0.0101001040675533
SomaliaROC,Battery,2030,0.6403784456319768
SomaliaROC,Battery,2036,1.999867851914996
SouthSudan,Diesel,2024,91.0
SouthSudan,Diesel,2030,91.0508839767156
SouthSudan,Diesel,2036,91.05166086443477
SouthSudan,Solar,2030,20.00770315046056
SouthSudan,Solar,2036,20.007608825491893
SouthSudan,Water,2030,561.002540337935
SouthSudan,Water,2036,561.0436926548356
SouthSudan,HFO,2030,70.13253919345277
SouthSudan,HFO,2036,70.13246539692675
SouthSudan,Battery,2030,92.45843058170084
SouthSudan,Battery,2036,219.96251590606025
Sudan,Diesel,2030,0.0175342814799614
Sudan,Diesel,2036,0.0174477773332345
Sudan,Gas,2024,212.0
Sudan,Gas,2030,212.0
Sudan,Gas,2036,212.0
Sudan,Solar,2030,0.0033728531532721
Sudan,Solar,2036,0.0032845467384524
Sudan,Water,2024,1648.0
Sudan,Water,2030,2438.000405341089
Sudan,Water,2036,3947.260447658019
Sudan,HFO,2024,757.0
Sudan,HFO,2030,898.0593563452862
Sudan,HFO,2036,461.0591710016516
Sudan,Battery,2030,867.4351974590561
Sudan,Battery,2036,954.7966397607572
Sudan,Biomass,2030,247.92019519553253
Sudan,Biomass,2036,247.92016093949707
Sudan,Coal,2024,480.0
Sudan,Coal,2030,500.0
Sudan,Coal,2036,500.0
Sudan,LFO,2024,458.0
Sudan,LFO,2030,1824.0595706405595
Sudan,LFO,2036,1824.059517442696
Tanzania,Diesel,2024,43.3
Tanzania,Diesel,2030,45.30262828526589
Tanzania,Diesel,2036,37.30784595400694
Tanzania,Gas,2024,1304.0
Tanzania,Gas,2030,1304.10758276643
Tanzania,Gas,2036,1591.8868604220445
Tanzania,Solar,2030,291.49394400074056
Tanzania,Solar,2036,291.5003848500361
Tanzania,Water,2024,780.3306796785025
Tanzania,Water,2030,4506.485998139836
Tanzania,Water,2036,7524.401711889204
Tanzania,HFO,2024,63.0
Tanzania,HFO,2030,63.0029212965669
Tanzania,HFO,2036,63.0095422984552
Tanzania,Battery,2030,0.009866756949318
Tanzania,Battery,2036,0.1293390270600086
Tanzania,Geothermal,2030,0.0020886881939835
Tanzania,Geothermal,2036,0.0026766661098101
Tanzania,Biomass,2024,20.0
Tanzania,Biomass,2030,108.01324411331817
Tanzania,Biomass,2036,108.0132597197345
Tanzania,Coal,2030,0.0156074894803763
Tanzania,Coal,2036,0.0319730071853151
Uganda,Diesel,2030,0.0057362607609414
Uganda,Diesel,2036,0.0085174220889061
Uganda,Gas,2030,0.1500162712062323
Uganda,Gas,2036,0.2081535635690644
Uganda,Solar,2024,50.0
Uganda,Solar,2030,60.00166175411445
Uganda,Solar,2036,60.002237470288726
Uganda,Water,2024,1731.2999999999995
Uganda,Water,2030,1773.8883823468732
Uganda,Water,2036,2238.7621867724542
Uganda,HFO,2024,100.0
Uganda,HFO,2030,100.00683106678149
Uganda,HFO,2036,100.01051717662548
Uganda,Wind,2024,20.0
Uganda,Wind,2030,20.0
Uganda,Wind,2036,20.0
Uganda,Battery,2030,0.0588084560437641
Uganda,Battery,2036,0.2985595294125813
Uganda,Geothermal,2030,10.00343578851035
Uganda,Geothermal,2036,10.003359208939107
Uganda,Biomass,2024,96.00019414093936
Uganda,Biomass,2030,278.7263691468812
Uganda,Biomass,2036,278.7267132020662
