c,value
Benin,0.1
Burkina,0.1
Gambia,0.1
Ghana,0.1
Guinea,0.1
GuineaBissau,0.1
IvoryCoast,0.1
Liberia,0.1
Mali,0.1
Niger,0.1
Nigeria,0.1
Senegal,0.1
SierraLeone,0.1
Togo,0.1
Mauritania,0.1
