y,value
2018,683.5076085
2019,1833.969907
2020,3179.044663
2021,4661.537982
2022,6281.117924
2023,8122.974865
2024,10081.90088
2025,12262.05191
2026,14573.61632
2027,17083.48302
2028,19814.10858
2029,22779.90966
2030,25972.08775
2031,29281.47159
2032,32786.30127
2033,36571.90569
2034,40537.39764
2035,44792.46257
2036,48998.62388
2037,53457.96778
2038,58156.87626
2039,63122.73703
2040,68368.6686
2041,73676.56204
2042,79257.49606
2043,85123.79273
2044,91288.51339
2045,97765.40432
2046,5338.920928
2047,5507.512425
2048,5681.427674
2049,5860.834788
2050,6045.907188
