g,tech,f,value
Acacia_TH_ZAF,OCGT,HFO,1.0
Afrochine_PV_ZWE,PV,Solar,1.0
Aggreko_IPP_ICE_MWI,ICE,Diesel,1.0
AH_Cambambe_C1,ReservoirHydro,Water,1.0
AH_Cambambe_C2,ReservoirHydro,Water,1.0
AH_Capanda,ReservoirHydro,Water,1.0
AH_Lauca,ReservoirHydro,Water,1.0
Ah_Lauca_ECO,ReservoirHydro,Water,1.0
AH_Matala,ReservoirHydro,Water,1.0
Anixas_TH_NAM,ICE,HFO,1.0
AnixasII_TH_NAM,ICE,HFO,1.0
Ankerlig(Atlantis)_TH_ZAF,OCGT,HFO,1.0
Arnot1_TH_ZAF,ST,Coal,1.0
Arnot2_TH_ZAF,ST,Coal,1.0
Athlone_TH_ZAF,ST,Coal,1.0
Avon_TH_ZAF,OCGT,HFO,1.0
Bagasse_co-generation_BM_MWI,ST,Biomass,1.0
BatokaGorgeNorth_HY_ZMB,ReservoirHydro,Water,1.0
BatokaGorgeSouth_HY_ZWE,ReservoirHydro,Water,1.0
Baynes(Angola)_HY_AGO,ReservoirHydro,Water,1.0
Baynes(Namibia)_HY_NAM,ReservoirHydro,Water,1.0
Bloemfontein_TH_ZAF,ST,Coal,1.0
Bulawayo_TH_ZWE,ST,Coal,1.0
Busanga_HY_DRC,ReservoirHydro,Water,1.0
CaculoCabaca_HY_AGO,ReservoirHydro,Water,1.0
CahoraBassa1_HY_MOZ,ReservoirHydro,Water,1.0
Camden_TH_ZAF,ST,Coal,1.0
CandidateHydro_HY_ZMB,ReservoirHydro,Water,1.0
Cedar_Muloza,ReservoirHydro,Water,1.0
CF_Bafia_Farta,PV,Solar,1.0
CF_Biopio,PV,Solar,1.0
Chasombo_HY_MWI,ReservoirHydro,Water,1.0
ChishimbaFalls_HY_ZMB,ReservoirHydro,Water,1.0
ChishimbaFallsExt_HY_ZMB,ReservoirHydro,Water,1.0
Chisumbanje_BIO_ZWE,ST,Biomass,1.0
Chitipa_WIND_MWI,OnshoreWind,Wind,1.0
Chiweta_GT_MWI,ST,Geothermal,1.0
Chizuma_HY_MWI,ReservoirHydro,Water,1.0
CIF_TH_AGO,OCGT,Gas,1.0
Committed_PV1-1_BWA,PV,Solar,1.0
Committed_PV1-2_BWA,PV,Solar,1.0
Committed_PV1-3_BWA,PV,Solar,1.0
Committed_Wind1-1_BWA,OnshoreWind,Wind,1.0
Committed_Wind1-2_BWA,OnshoreWind,Wind,1.0
Committed_Wind1-3_BWA,OnshoreWind,Wind,1.0
Committed_Wind1-4_BWA,OnshoreWind,Wind,1.0
Committed_Wind1-5_BWA,OnshoreWind,Wind,1.0
Committed1_PV_AGO,PV,Solar,1.0
Committed2_PV_AGO,PV,Solar,1.0
Committed3_PV_AGO,PV,Solar,1.0
CommittedSolar_REN_DRC,PV,Solar,1.0
CommittedWind1-5_NAM,OnshoreWind,Wind,1.0
CT_Biocom,ST,Biomass,1.0
CT_Malembo,OCGT,Gas,1.0
CT_OffGrid_Diesel,ICE,Diesel,1.0
CT_OnGrid_Diesel,ICE,Diesel,1.0
CT_PV_Diesel_Hybrid,PV,Solar,1.0
CT_Soyo,CCGT,Gas,1.0
CTMJICA1_TH_MOZ,OCGT,Gas,1.0
CTMJICA2_TH_MOZ,OCGT,Gas,1.0
Dedisa_TH_ZAF,OCGT,HFO,1.0
Dedza_WIND_MWI,OnshoreWind,Wind,1.0
DemaEmergency_TH_ZWE,ICE,HFO,1.0
Devil'sGorgeNorth_HY_ZMB,ReservoirHydro,Water,1.0
Devil'sGorgeSouth_HY_ZWE,ReservoirHydro,Water,1.0
Diaz_Wind_NAM,OnshoreWind,Wind,1.0
DrakensbergPH_HY_ZAF,Storage,Water,1.0
Duvha_TH_ZAF,ST,Coal,1.0
Duynefontein_NU_ZAF,ST,Uranium,1.0
Edwaleni1_HY_SWZ,ReservoirHydro,Water,1.0
Edwaleni2_HY_SWZ,ReservoirHydro,Water,1.0
EdwaleniThermal_TH_SWZ,ICE,HFO,1.0
EEC_Solar_PV,PV,Solar,1.0
Ethanol_project_BM_MWI,ST,Biomass,1.0
Existing _PV_NAM,PV,Solar,1.0
Existing _PV_ZIM,PV,Solar,1.0
Existing_AusWind_NAM,OnshoreWind,Wind,1.0
Existing_HY_MOZ,ReservoirHydro,Water,1.0
ExistingCSP(CSP)_REN_ZAF,CSPPlant,CSP,1.0
ExistingHydro1985_HY_ZAF,ReservoirHydro,Water,1.0
ExistingHydro2015_HY_ZAF,ReservoirHydro,Water,1.0
ExistingSmallHydro2000_HY_AGO,ReservoirHydro,Water,1.0
ExistingSmallHydro2012_HY_AGO,ReservoirHydro,Water,1.0
ExistingSolar_REN_MOZ,PV,Solar,1.0
ExistingSolarPV(PV)_REN_ZAF,PV,Solar,1.0
ExistingWind_REN_ZAF,OnshoreWind,Wind,1.0
Ezulwini_HY_SWZ,ReservoirHydro,Water,1.0
Francistown_TH_BWA,ICE,HFO,1.0
Gairezi_HY_ZWE,ROR,Water,1.0
Gariep_HY_ZAF,ReservoirHydro,Water,1.0
GasTurbine_TH_LSO,OCGT,LNG,1.0
GasTurbine_TH_SWL,OCGT,LNG,1.0
GecaminesCoal(100)_TH_AGO,ST,Coal,1.0
GenericDieselCan_DRC,ICE,HFO,1.0
GenericDieselCan_LSO,ICE,HFO,1.0
GenericDieselCan_SWL,ICE,HFO,1.0
GenericDieselCan_ZAF,ICE,HFO,1.0
GenericDieselCan_ZMB,ICE,HFO,1.0
Golomoti_BESS,Storage,Battery,1.0
Golomoti_PV_MWI,PV,Solar,1.0
Gourikwa_TH_ZAF,OCGT,HFO,1.0
GowkeNorth_TH_ZWE,ST,Coal,1.0
Grootvlei_TH_ZAF,ST,Coal,1.0
Hamilton_Falls_HY_MWI,ReservoirHydro,Water,1.0
Harare1_TH_ZWE,ST,Coal,1.0
Harare2_TH_ZWE,ST,Coal,1.0
Harare3_TH_ZWE,ST,Coal,1.0
Hendrina_TH_ZAF,ST,Coal,1.0
Hwange3Extension_TH_ZWE,ST,Coal,1.0
HwangeI_TH_ZWE,ST,Coal,1.0
HwangeII_TH_ZWE,ST,Coal,1.0
IndolaHFO_TH_ZMB,ICE,HFO,1.0
Inga1_HY_DRC,ReservoirHydro,Water,1.0
Inga2_HY_DRC,ReservoirHydro,Water,1.0
Inga3BC_HY_DRC,ReservoirHydro,Water,1.0
Ingula_HY_ZAF,Storage,Water,1.0
IPP_Luderitz_Wind_NAM,OnshoreWind,Wind,1.0
ItheziThezi_HY_ZMB,ReservoirHydro,Water,1.0
JohannesburgLandfillGas_TH_ZAF,OCGT,Gas,1.0
KafueGorge_HY_ZMB,ReservoirHydro,Water,1.0
KafueGorgeLower_HY_ZMB,ReservoirHydro,Water,1.0
KalungwishiI_HY_ZMB,ReservoirHydro,Water,1.0
Kam'mwamba_C_MWI,ST,Coal,1.0
Kanengo,ICE,Diesel,1.0
Kapichira_HY_MWI,ReservoirHydro,Water,1.0
Kapichira_parts_HY_MWI,ReservoirHydro,Water,1.0
KaribaNB_HY_ZMB,ReservoirHydro,Water,1.0
KaribaNBE_HY_ZMB,ReservoirHydro,Water,1.0
KaribaSouth1_HY_ZWE,ReservoirHydro,Water,1.0
KaribaSouthExtension_HY_ZWE,ReservoirHydro,Water,1.0
Kasitu_GT_MWI,ST,Geothermal,1.0
KelvinA_TH_ZAF,ST,Coal,1.0
KelvinB_TH_ZAF,ST,Coal,1.0
Kendal_TH_ZAF,ST,Coal,1.0
Khan_PV_NAM,PV,Solar,1.0
Kholombizo_HY_MWI,ReservoirHydro,Water,1.0
Kilubi_HY_DRCSouth,ReservoirHydro,Water,1.0
Kiwaba_Nzogi,OnshoreWind,Wind,1.0
Koeberg_NU_ZAF,ST,Uranium,1.0
New_BESS_2029_ZAF,Storage,Battery,1.0
New_BESS_2028_ZAF,Storage,Battery,1.0
Komati_BESS,Storage,Battery,1.0
KomatiI_TH_ZAF,ST,Coal,1.0
KomatiII_TH_ZAF,ST,Coal,1.0
Koni_HY_DRCSouth,ReservoirHydro,Water,1.0
Kriel_TH_ZAF,ST,Coal,1.0
Kusile_I_TH_ZAF,ST,Coal,1.0
Kusile_II_TH_ZAF,ST,Coal,1.0
Kusile_III_TH_ZAF,ST,Coal,1.0
Kuvaninga_TH_MOZ,OCGT,Gas,1.0
LesothoLetsengWind_REN_LSO,OnshoreWind,Wind,1.0
LesothoSolar_REN_LSO,PV,Solar,1.0
Lethabo_TH_ZAF,ST,Coal,1.0
Li-ion_storage_A_MWI,Storage,Battery,1.0
Li-ion_storage_C_MWI,Storage,Battery,1.0
Lilongwe,ICE,Diesel,1.0
Lithops_BESS_NAM,Storage,Battery,1.0
LobitoI_TH_AGO,CCGT,Gas,1.0
Lower_Fufu_HY_MWI,ReservoirHydro,Water,1.0
Lower_Songwe_HY_MWI,ReservoirHydro,Water,1.0
LowerMaguduza_HY_SWZ,ReservoirHydro,Water,1.0
LuandaOCGT_TH_AGO,OCGT,Gas,1.0
Lubhuku_TH_SWZ,ST,Coal,1.0
LubumbashiSolar_REN_DRCSouth,PV,Solar,1.0
Luchenene_HY_ZMB,ReservoirHydro,Water,1.0
LuisCabral_TH_MOZ,OCGT,HFO,1.0
Lunsemfwa+Mulungushi_HY_ZMB,ReservoirHydro,Water,1.0
Lunzua_HY_ZMB,ReservoirHydro,Water,1.0
Lupata_HY_MOZ,ReservoirHydro,Water,1.0
Lurio_HY_MOZ,ReservoirHydro,Water,1.0
Lusiwasi_HY_ZMB,ReservoirHydro,Water,1.0
LusiwasiLower_HY_ZMB,ReservoirHydro,Water,1.0
LusiwasiLowerExts_HY_ZMB,ReservoirHydro,Water,1.0
LusiwasiUpper_HY_ZMB,ReservoirHydro,Water,1.0
MaambaCoalI_TH_ZMB,ST,Coal,1.0
Maguduza_HY_SWZ,ReservoirHydro,Water,1.0
Maguga_HY_SWZ,ReservoirHydro,Water,1.0
MagugaII_HY_SWZ,ReservoirHydro,Water,1.0
MajubaI_TH_ZAF,ST,Coal,1.0
MajubaII_TH_ZAF,ST,Coal,1.0
MambilimbaFallsI_HY_ZMB,ReservoirHydro,Water,1.0
Mapanga_ICE_MWI,ICE,Diesel,1.0
Maragra_biomass_MOZ,ST,Biomass,1.0
Matimba_TH_ZAF,ST,Coal,1.0
Matla_TH_ZAF,ST,Coal,1.0
Mbongozi_HY_MWI,ReservoirHydro,Water,1.0
MCT_Morro_Bento,ICE,Diesel,1.0
Medupi_TH_ZAF,ST,Coal,1.0
MetoroSolarPV_REN_MOZ,PV,Solar,1.0
MkuzeBiomass_BIO_ZAF,ST,Biomass,1.0
MocubaSolarPV_REN_MOZ,PV,Solar,1.0
Monont'sa_HY_LSO,Storage,Water,1.0
MorupuleA_TH_BWA,ST,Coal,1.0
MorupuleB_TH_BWA,ST,Coal,1.0
MorupuleBupgrade_TH_BWA,ST,Coal,1.0
Mota_Engil_C_MWI,ST,Coal,1.0
MozCCCGTNG_TH_MOZ,CCGT,LNG,1.0
MozMGTPEDMSasolGT_TH_MOZ,CCGT,Gas,1.0
Mpatamanga_Opt,ReservoirHydro,Water,1.0
MphandaNkuwa_HY_MOZ,ReservoirHydro,Water,1.0
Muanda_TH_DRC,ICE,HFO,1.0
Muela_HY_LSO,ReservoirHydro,Water,1.0
Muela2_HY_LSO,ReservoirHydro,Water,1.0
Mulanje_Ruo_Ndiza,ReservoirHydro,Water,1.0
MumbotutaFalls_HY_ZMB,ReservoirHydro,Water,1.0
Munyati_TH_ZWE,ST,Coal,1.0
MupataGorgeNorth_HY_ZMB,ReservoirHydro,Water,1.0
MupataGorgeSouth_HY_ZWE,ReservoirHydro,Water,1.0
MusondaFalls_HY_ZMB,ReservoirHydro,Water,1.0
Mwadingusha_HY_DRCSouth,ReservoirHydro,Water,1.0
Mzimba_I_WIND_MWI,OnshoreWind,Wind,1.0
Mzimba_II_WIND_MWI,OnshoreWind,Wind,1.0
Mzuzu_Luwinga_ICE_MWI,ICE,Diesel,1.0
NacalaJICA_TH_MOZ,ICE,HFO,1.0
Namibe_TH_AGO,CCGT,Gas,1.0
NamibiaCCGTNG_TH_NAM,CCGT,LNG,1.0
NamibiaCoal_TH_NAM,ST,Coal,1.0
NamibiaOCGTNG_TH_NAM,OCGT,LNG,1.0
NamPowerWindFarm_2031,OnshoreWind,Wind,1.0
Near_Salima_Nanjoka_LNG_MWI,OCGT,Gas,1.0
New_BESS_AGO,Storage,Battery,1.0
New_BESS_BWA,Storage,Battery,1.0
New_BESS_DRC,Storage,Battery,1.0
New_BESS_DRCSouth,Storage,Battery,1.0
New_BESS_LSO,Storage,Battery,1.0
New_BESS_MOZ,Storage,Battery,1.0
New_BESS_MWI,Storage,Battery,1.0
New_BESS_NAM,Storage,Battery,1.0
New_BESS_SWZ,Storage,Battery,1.0
New_BESS_ZAF,Storage,Battery,1.0
New_BESS_ZMB,Storage,Battery,1.0
New_BESS_ZWE,Storage,Battery,1.0
New_Coal_1_BWA,ST,Coal,1.0
New_Coal_2_BWA,ST,Coal,1.0
New_CSP_AGO,CSPPlant,CSP,1.0
New_CSP_BWA,CSPPlant,CSP,1.0
New_CSP_LSO,CSPPlant,CSP,1.0
New_CSP_SWZ,CSPPlant,CSP,1.0
New_CSP_ZAF,CSPPlant,CSP,1.0
New_CSP_ZAF_2024,CSPPlant,CSP,1.0
New_CSP_ZMB,CSPPlant,CSP,1.0
New_OffshoreWind_AGO,OffshoreWind,Wind,1.0
New_OffshoreWind_MOZ,OffshoreWind,Wind,1.0
New_OffshoreWind_NAM,OffshoreWind,Wind,1.0
New_OffshoreWind_ZAF,OffshoreWind,Wind,1.0
New_OnshoreWind_AGO,OnshoreWind,Wind,1.0
New_OnshoreWind_BWA,OnshoreWind,Wind,1.0
New_OnshoreWind_DRC,OnshoreWind,Wind,1.0
New_OnshoreWind_DRCSouth,OnshoreWind,Wind,1.0
New_OnshoreWind_LSO,OnshoreWind,Wind,1.0
New_OnshoreWind2026_MOZ,OnshoreWind,Wind,1.0
New_OnshoreWind2030_MOZ,OnshoreWind,Wind,1.0
New_OnshoreWind_NAM,OnshoreWind,Wind,1.0
New_OnshoreWind_SWZ,OnshoreWind,Wind,1.0
New_OnshoreWind_ZAF,OnshoreWind,Wind,1.0
New_OnshoreWind_ZMB,OnshoreWind,Wind,1.0
New_OnshoreWind_ZWE,OnshoreWind,Wind,1.0
New_PV_2027_AGO,PV,Solar,1.0
New_PV_2026_MOZ,PV,Solar,1.0
New_PV_2030_AGO,PV,Solar,1.0
New_PV_2030_MOZ,PV,Solar,1.0
New_PV_BWA,PV,Solar,1.0
New_PV_DRC,PV,Solar,1.0
New_PV_DRCSouth,PV,Solar,1.0
New_PV_LSO,PV,Solar,1.0
