z,y,value
South_Africa,2025,37595.12938
South_Africa,2026,38051.75038
South_Africa,2027,38203.95738
South_Africa,2028,38584.47489
South_Africa,2029,38964.99239
South_Africa,2030,39573.8204
South_Africa,2031,40182.6484
South_Africa,2032,40943.68341
South_Africa,2033,41704.71842
South_Africa,2034,42846.27093
South_Africa,2035,43987.82344
South_Africa,2036,45205.47945
South_Africa,2037,46423.13546
South_Africa,2038,47945.20548
South_Africa,2039,49467.27549
South_Africa,2040,50837.13851
Lesotho,2025,187.0
Lesotho,2026,190.0
Lesotho,2027,196.0
Lesotho,2028,195.0
Lesotho,2029,204.0
Lesotho,2030,205.0
Lesotho,2031,205.0
Lesotho,2032,205.0
Lesotho,2033,205.0
Lesotho,2034,207.0
Lesotho,2035,207.0
Lesotho,2036,211.0
Lesotho,2037,215.0
Lesotho,2038,220.0
Lesotho,2039,224.0
Lesotho,2040,229.0
Eswatini,2025,357.3529412
Eswatini,2026,369.1176471
Eswatini,2027,380.8823529
Eswatini,2028,392.6470588
Eswatini,2029,404.4117647
Eswatini,2030,416.1764706
Eswatini,2031,427.9411765
Eswatini,2032,439.7058824
Eswatini,2033,451.4705882
Eswatini,2034,463.2352941
Eswatini,2035,475.0
Eswatini,2036,486.7647059
Eswatini,2037,498.5294118
Eswatini,2038,510.2941176
Eswatini,2039,522.0588235
Eswatini,2040,533.8235294
Mozambique,2025,1091.34268
Mozambique,2026,1175.169822
Mozambique,2027,1259.430554
Mozambique,2028,1345.42564
Mozambique,2029,1425.205955
Mozambique,2030,1509.322156
Mozambique,2031,1560.34109
Mozambique,2032,1612.51626
Mozambique,2033,1665.703136
Mozambique,2034,1720.190779
Mozambique,2035,1775.690129
Mozambique,2036,1832.345715
Mozambique,2037,1890.302067
Mozambique,2038,1949.559185
Mozambique,2039,2009.972539
Mozambique,2040,2069.952305
Zimbabwe,2025,2154.0
Zimbabwe,2026,2288.0
Zimbabwe,2027,2354.0
Zimbabwe,2028,2425.0
Zimbabwe,2029,2494.0
Zimbabwe,2030,2568.0
Zimbabwe,2031,2634.195603
Zimbabwe,2032,2723.754359
Zimbabwe,2033,2794.817286
Zimbabwe,2034,2890.216831
Zimbabwe,2035,2965.173616
Zimbabwe,2036,3055.705838
Zimbabwe,2037,3122.874905
Zimbabwe,2038,3192.964367
Zimbabwe,2039,3263.053829
Zimbabwe,2040,3335.09022
Botswana,2025,870.0
Botswana,2026,941.0
Botswana,2027,957.0
Botswana,2028,984.0
Botswana,2029,1017.0
Botswana,2030,1037.0
Botswana,2031,1074.353654
Botswana,2032,1048.0
Botswana,2033,1085.749883
Botswana,2034,1124.859551
Botswana,2035,1083.0
Botswana,2036,1122.010614
Botswana,2037,1162.426425
Botswana,2038,1147.0
Botswana,2039,1188.31595
Botswana,2040,1173.0
Namibia,2025,773.7239939
Namibia,2026,788.0183965
Namibia,2027,808.8807109
Namibia,2028,816.7778192
Namibia,2029,826.0454717
Namibia,2030,837.9955512
Namibia,2031,847.1338138
Namibia,2032,855.1028608
Namibia,2033,865.5020246
Namibia,2034,875.143126
Namibia,2035,882.6922585
Namibia,2036,891.912093
Namibia,2037,905.1008562
Namibia,2038,912.8797991
Namibia,2039,922.3085358
Namibia,2040,926.9704339
Zambia,2025,2918.0
Zambia,2026,3038.0
Zambia,2027,3508.75
Zambia,2028,3979.5
Zambia,2029,4450.25
Zambia,2030,4921.0
Zambia,2031,5191.3
Zambia,2032,5461.6
Zambia,2033,5731.9
Zambia,2034,6002.2
Zambia,2035,6272.5
Zambia,2036,6542.8
Zambia,2037,6813.1
Zambia,2038,7083.4
Zambia,2039,7353.7
Zambia,2040,7624.0
Angola,2025,3016.9
Angola,2026,3202.1
Angola,2027,3901.3
Angola,2028,4124.6
Angola,2029,4284.3
Angola,2030,4444.1
Angola,2031,4604.0
Angola,2032,4763.6
Angola,2033,4922.9
Angola,2034,5080.2
Angola,2035,5238.8
Angola,2036,5396.0
Angola,2037,7991.9
Angola,2038,8212.3
Angola,2039,8430.7
Angola,2040,8647.0
