z,q,d,t,y,value
South_Africa,Q1,d1,t1,2025,69.53695958749998
South_Africa,Q1,d1,t1,2026,66.8419063656
South_Africa,Q1,d1,t1,2027,63.8240646822
South_Africa,Q1,d1,t1,2028,60.53145705199999
South_Africa,Q1,d1,t1,2029,57.007675989400006
South_Africa,Q1,d1,t1,2030,55.876326672147485
South_Africa,Q1,d1,t1,2031,52.79001974310002
South_Africa,Q1,d1,t1,2032,50.818617733599986
South_Africa,Q1,d1,t1,2033,52.570447451439634
South_Africa,Q1,d1,t1,2034,60.16842303197852
South_Africa,Q1,d1,t1,2035,56.40781857595912
South_Africa,Q1,d1,t1,2036,52.57044745143963
South_Africa,Q1,d1,t1,2037,49.70598646542596
South_Africa,Q1,d1,t1,2038,46.22873722256056
South_Africa,Q1,d1,t1,2039,47.95217824000001
South_Africa,Q1,d1,t1,2040,47.492577728
South_Africa,Q1,d1,t2,2025,69.53695958749998
South_Africa,Q1,d1,t2,2026,66.84190636560001
South_Africa,Q1,d1,t2,2027,63.8240646822
South_Africa,Q1,d1,t2,2028,60.53145705199999
South_Africa,Q1,d1,t2,2029,57.007675989400006
South_Africa,Q1,d1,t2,2030,55.876326672147485
South_Africa,Q1,d1,t2,2031,52.790019743100004
South_Africa,Q1,d1,t2,2032,50.81861773359999
South_Africa,Q1,d1,t2,2033,52.57044745143963
South_Africa,Q1,d1,t2,2034,60.16842303197851
South_Africa,Q1,d1,t2,2035,56.40781857595912
South_Africa,Q1,d1,t2,2036,52.57044745143963
South_Africa,Q1,d1,t2,2037,49.70598646542595
South_Africa,Q1,d1,t2,2038,46.22873722256056
South_Africa,Q1,d1,t2,2039,47.952178239999995
South_Africa,Q1,d1,t2,2040,47.492577728
South_Africa,Q1,d1,t3,2025,69.53695958749998
South_Africa,Q1,d1,t3,2026,66.84190636560001
South_Africa,Q1,d1,t3,2027,63.824064682199996
South_Africa,Q1,d1,t3,2028,60.53145705199999
South_Africa,Q1,d1,t3,2029,57.007675989400006
South_Africa,Q1,d1,t3,2030,55.876326672147485
South_Africa,Q1,d1,t3,2031,52.790019743100004
South_Africa,Q1,d1,t3,2032,50.81861773359999
South_Africa,Q1,d1,t3,2033,52.570447451439634
South_Africa,Q1,d1,t3,2034,60.16842303197852
South_Africa,Q1,d1,t3,2035,56.40781857595912
South_Africa,Q1,d1,t3,2036,52.57044745143963
South_Africa,Q1,d1,t3,2037,49.70598646542596
South_Africa,Q1,d1,t3,2038,46.22873722256056
South_Africa,Q1,d1,t3,2039,47.952178239999995
South_Africa,Q1,d1,t3,2040,47.492577728
South_Africa,Q1,d1,t4,2025,69.5369595875
South_Africa,Q1,d1,t4,2026,66.84190636560001
South_Africa,Q1,d1,t4,2027,63.824064682199996
South_Africa,Q1,d1,t4,2028,60.53145705199999
South_Africa,Q1,d1,t4,2029,57.007675989400006
South_Africa,Q1,d1,t4,2030,55.876326672147485
South_Africa,Q1,d1,t4,2031,52.790019743100004
South_Africa,Q1,d1,t4,2032,50.81861773359999
South_Africa,Q1,d1,t4,2033,52.570447451439634
South_Africa,Q1,d1,t4,2034,60.16842303197852
South_Africa,Q1,d1,t4,2035,56.40781857595912
