z,genCostCmp,y,value
South_Africa,Generation costs: $m,2025,1.0338568037764753
South_Africa,Generation costs: $m,2026,2.877096022611917
South_Africa,Generation costs: $m,2027,4.9115589330832305
South_Africa,Generation costs: $m,2028,7.007199877957994
South_Africa,Generation costs: $m,2029,8.548481983476103
South_Africa,Generation costs: $m,2030,9.54672677670373
South_Africa,Generation costs: $m,2031,10.551035038654382
South_Africa,Generation costs: $m,2032,12.156887337000867
South_Africa,Generation costs: $m,2033,13.80590156757473
South_Africa,Generation costs: $m,2034,14.91058001634567
South_Africa,Generation costs: $m,2035,15.540222836213307
South_Africa,Generation costs: $m,2036,16.041752980718613
South_Africa,Generation costs: $m,2037,16.31729750422348
South_Africa,Generation costs: $m,2038,16.818041455108027
South_Africa,Generation costs: $m,2039,18.210365231931547
South_Africa,Generation costs: $m,2040,19.48557875665607
South_Africa,Fixed O&M: $m,2025,9.369566220985279
South_Africa,Fixed O&M: $m,2026,9.676963097365045
South_Africa,Fixed O&M: $m,2027,10.013490642447996
South_Africa,Fixed O&M: $m,2028,10.407305380160624
South_Africa,Fixed O&M: $m,2029,10.773857239860515
South_Africa,Fixed O&M: $m,2030,10.879504637064738
South_Africa,Fixed O&M: $m,2031,10.567729963474509
South_Africa,Fixed O&M: $m,2032,10.82085604920176
South_Africa,Fixed O&M: $m,2033,10.053963024777675
South_Africa,Fixed O&M: $m,2034,9.76653340388648
South_Africa,Fixed O&M: $m,2035,9.630797320516635
South_Africa,Fixed O&M: $m,2036,9.465684685308327
South_Africa,Fixed O&M: $m,2037,9.447024385655155
South_Africa,Fixed O&M: $m,2038,9.405936462810077
South_Africa,Fixed O&M: $m,2039,9.11846410360053
South_Africa,Fixed O&M: $m,2040,8.762649483591364
South_Africa,Variable Cost: $m,2025,51.02626926612377
South_Africa,Variable Cost: $m,2026,45.340863258902154
South_Africa,Variable Cost: $m,2027,39.871890530262824
South_Africa,Variable Cost: $m,2028,34.97019063247368
South_Africa,Variable Cost: $m,2029,31.125487672374174
South_Africa,Variable Cost: $m,2030,28.494805189654954
South_Africa,Variable Cost: $m,2031,25.942005574784957
South_Africa,Variable Cost: $m,2032,22.542564585476544
South_Africa,Variable Cost: $m,2033,19.868950610494917
South_Africa,Variable Cost: $m,2034,18.18122053393076
South_Africa,Variable Cost: $m,2035,17.119110117236197
South_Africa,Variable Cost: $m,2036,16.201420550402933
South_Africa,Variable Cost: $m,2037,15.392544390616196
South_Africa,Variable Cost: $m,2038,14.397079765675803
South_Africa,Variable Cost: $m,2039,13.847702746888048
South_Africa,Variable Cost: $m,2040,13.981143966349169
Lesotho,Generation costs: $m,2026,5.324100526148605
Lesotho,Generation costs: $m,2027,9.578381487910491
Lesotho,Generation costs: $m,2028,11.32959395730605
Lesotho,Generation costs: $m,2029,12.199603762417889
Lesotho,Generation costs: $m,2030,12.987651199558883
Lesotho,Generation costs: $m,2031,13.591242228214105
Lesotho,Generation costs: $m,2032,14.181341817284924
Lesotho,Generation costs: $m,2033,14.921017995665801
Lesotho,Generation costs: $m,2034,16.25987510167516
Lesotho,Generation costs: $m,2035,16.639214957838895
Lesotho,Generation costs: $m,2036,16.949877443597753
Lesotho,Generation costs: $m,2037,19.097579756090983
Lesotho,Generation costs: $m,2038,19.181308087417595
Lesotho,Generation costs: $m,2039,21.540137637850812
Lesotho,Generation costs: $m,2040,23.285876755401
Lesotho,Fixed O&M: $m,2025,5.879825700812769
Lesotho,Fixed O&M: $m,2026,6.083526368711494
Lesotho,Fixed O&M: $m,2027,6.776010632663498
Lesotho,Fixed O&M: $m,2028,6.799923748288934
Lesotho,Fixed O&M: $m,2029,6.920147916657424
Lesotho,Fixed O&M: $m,2030,6.867092503638499
Lesotho,Fixed O&M: $m,2031,7.390340686390727
Lesotho,Fixed O&M: $m,2032,7.9125320219569755
Lesotho,Fixed O&M: $m,2033,8.30174480247193
Lesotho,Fixed O&M: $m,2034,8.14954263137307
Lesotho,Fixed O&M: $m,2035,8.585006082446903
Lesotho,Fixed O&M: $m,2036,9.001989086150267
Lesotho,Fixed O&M: $m,2037,9.220260814690608
Lesotho,Fixed O&M: $m,2038,9.447657361568512
Lesotho,Fixed O&M: $m,2039,9.437584824508422
Lesotho,Fixed O&M: $m,2040,8.979769409181502
Lesotho,Variable Cost: $m,2025,0.49082058381269605
Lesotho,Variable Cost: $m,2026,0.3810093340510614
Lesotho,Variable Cost: $m,2027,0.3074149939392032
Lesotho,Variable Cost: $m,2028,0.2589557184756501
