uni,value
Generation costs: $m,11.255000386800123
Fixed O&M: $m,8.940971487661754
Variable O&M: $m,1.6008070012960967
Fuel costs: $m,19.310166246161447
Transmission costs: $m,0.37615117213331456
Unmet demand costs: $m,3.5794696416450544
Unmet country spinning reserve costs: $m,0.026256152190357526
Unmet country planning reserve costs: $m,0.07633810157464342
Unmet system planning reserve costs: $m,0.008143746718541523
Import costs with internal zones: $m,16.664556891275513
Export revenues with internal zones: $m,-8.34556614423296
Trade shared benefits: $m,-8.318990747042546
NPV of system cost: $m,45.173303936181526
