uni,value
Generation costs: $m,54769.911989817156
Fixed O&M: $m,43509.21409625317
Variable O&M: $m,7789.964954287954
Fuel costs: $m,93968.55348413614
Transmission costs: $m,1830.4545432774908
Unmet demand costs: $m,17418.678854338057
Unmet country spinning reserve costs: $m,127.76962196675444
Unmet country planning reserve costs: $m,371.48209338281856
Unmet system planning reserve costs: $m,39.62970019663337
Import costs with internal zones: $m,81094.29435070438
Export revenues with internal zones: $m,-40611.80875310389
Trade shared benefits: $m,-40482.485597600455
NPV of system cost: $m,219825.65933765713
