Fuel,Index
Coal,1
Gas,2
Water,3
PV,4
OnshoreWind,5
Import,6
HFO,7
Uranium,8
CSP,9
Battery,10
Diesel,11
Biomass,12
Geothermal,13
LNG,14
OffshoreWind,15
