country,fuel,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Gambia,Coal,4.8337506416,4.6641143136,4.501903164800001,4.346792188,4.1984706,4.0566412208000004,3.9210198784,3.7913348416,3.6673262696,3.5487456984,3.4353555368000004,3.3269285952,3.2232476272,3.1241048960000004,3.0293017584000004,2.9386482640000002,2.85196278,2.76907162,2.6861804608,2.6032893008,2.5203981416000003,2.4375069816000003,2.3546158224,2.2717246624,2.1888335032,2.1059423432,2.023051184,1.940160024
Gambia,HFO,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
