zext,q,d,year,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Bulgaria,Q1,d1,2024,54.976,84.980,63.765,129.198,139.234,157.638,181.007,176.163,149.232,141.567,145.128,144.978,143.657,150.123,158.884,175.854,206.101,227.972,212.417,182.244,174.167,141.567,141.567,141.155
Bulgaria,Q1,d1,2025,52.685,81.487,61.122,123.933,133.566,151.232,173.665,169.015,143.164,135.806,139.224,139.080,137.812,144.018,152.429,168.718,197.753,218.747,203.816,174.852,167.099,135.806,135.806,135.410
Bulgaria,Q1,d1,2026,50.394,77.993,58.479,118.666,127.897,144.825,166.321,161.865,137.094,130.043,133.319,133.181,131.965,137.913,145.971,161.581,189.403,209.520,195.212,167.459,160.029,130.043,130.043,129.664
Bulgaria,Q1,d1,2027,48.103,74.499,55.836,113.399,122.228,138.418,158.977,154.715,131.024,124.281,127.413,127.281,126.119,131.807,139.514,154.443,181.053,200.293,186.609,160.065,152.959,124.281,124.281,123.918
Bulgaria,Q1,d1,2028,45.812,71.005,53.192,108.133,116.559,132.011,151.633,147.565,124.954,118.518,121.508,121.382,120.272,125.701,133.058,147.306,172.703,191.066,178.006,152.672,145.890,118.518,118.518,118.172
Bulgaria,Q1,d1,2029,43.522,67.511,50.549,102.866,110.890,125.604,144.289,140.416,118.884,112.755,115.602,115.482,114.426,119.596,126.600,140.168,164.353,181.839,169.402,145.278,138.820,112.755,112.755,112.426
Bulgaria,Q1,d1,2030,41.230,64.017,47.906,97.599,105.221,119.197,136.945,133.266,112.814,106.993,109.697,109.583,108.579,113.490,120.144,133.031,156.003,172.612,160.799,137.884,131.750,106.993,106.993,106.679
Bulgaria,Q1,d1,2031,38.940,60.523,45.262,92.332,99.551,112.790,129.601,126.116,106.744,101.230,103.791,103.683,102.733,107.384,113.686,125.894,147.653,163.385,152.196,130.491,124.680,101.230,101.230,100.933
Bulgaria,Q1,d1,2032,36.649,57.029,42.619,87.065,93.882,106.383,122.257,118.966,100.674,95.467,97.886,97.784,96.886,101.278,107.230,118.756,139.302,154.158,143.592,123.097,117.611,95.467,95.467,95.187
Bulgaria,Q1,d1,2033,34.358,53.535,39.975,81.799,88.213,99.976,114.913,111.817,94.603,89.704,91.980,91.884,91.040,95.172,100.772,111.619,130.952,144.931,134.989,115.704,110.541,89.704,89.704,89.441
Bulgaria,Q1,d1,2034,32.067,50.042,37.333,76.533,82.545,93.570,107.571,104.669,88.535,83.943,86.076,85.986,85.195,89.068,94.317,104.483,122.604,135.707,126.388,108.312,103.473,83.943,83.943,83.696
Bulgaria,Q1,d1,2035,29.776,46.548,34.690,71.266,76.876,87.163,100.227,97.519,82.465,78.180,80.171,80.087,79.348,82.963,87.860,97.346,114.254,126.480,117.784,100.918,96.403,78.180,78.180,77.950
Bulgaria,Q1,d1,2036,28.093,43.982,32.748,67.398,72.712,82.457,94.833,92.267,78.006,73.948,75.833,75.754,75.054,78.478,83.117,92.103,108.121,119.702,111.465,95.488,91.210,73.948,73.948,73.729
Bulgaria,Q1,d1,2037,26.411,41.416,30.807,63.530,68.549,77.753,89.440,87.017,73.549,69.716,71.497,71.422,70.761,73.995,78.376,86.863,101.990,112.927,105.148,90.059,86.019,69.716,69.716,69.510
Bulgaria,Q1,d1,2038,24.729,38.851,28.866,59.663,64.387,73.048,84.048,81.768,69.092,65.485,67.161,67.090,66.468,69.511,73.635,81.622,95.859,106.152,98.831,84.630,80.828,65.485,65.485,65.291
Bulgaria,Q1,d1,2039,23.047,36.285,26.924,55.795,60.222,68.342,78.653,76.516,64.634,61.252,62.823,62.757,62.174,65.027,68.892,76.380,89.725,99.375,92.512,79.199,75.635,61.252,61.252,61.070
Bulgaria,Q1,d1,2040,21.364,33.719,24.983,51.927,56.060,63.638,73.261,71.266,60.177,57.021,58.487,58.425,57.881,60.544,64.151,71.139,83.594,92.600,86.195,73.770,70.444,57.021,57.021,56.851
Bulgaria,Q1,d1,2041,21.464,33.871,25.099,52.157,56.307,63.917,73.581,71.578,60.441,57.272,58.744,58.682,58.136,60.810,64.433,71.450,83.958,93.002,86.570,74.093,70.752,57.272,57.272,57.101
Bulgaria,Q1,d1,2042,21.565,34.025,25.215,52.388,56.556,64.198,73.903,71.891,60.708,57.525,59.003,58.941,58.392,61.077,64.716,71.763,84.324,93.407,86.947,74.417,71.062,57.525,57.525,57.353
Bulgaria,Q1,d1,2043,21.665,34.178,25.331,52.619,56.804,64.479,74.225,72.205,60.974,57.777,59.262,59.200,58.649,61.345,64.999,72.076,84.690,93.811,87.324,74.741,71.372,57.777,57.777,57.605
