zext,q,d,year,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Bulgaria,Q1,d1,2051,99.785,151.045,114.802,226.590,243.735,275.176,315.102,306.825,260.817,247.721,253.805,253.548,251.291,262.337,277.305,306.297,357.973,395.337,368.763,317.215,303.415,247.721,247.721,247.017
Bulgaria,Q1,d1,2052,99.785,151.045,114.802,226.590,243.735,275.176,315.102,306.825,260.817,247.721,253.805,253.548,251.291,262.337,277.305,306.297,357.973,395.337,368.763,317.215,303.415,247.721,247.721,247.017
Bulgaria,Q1,d1,2053,99.785,151.045,114.802,226.590,243.735,275.176,315.102,306.825,260.817,247.721,253.805,253.548,251.291,262.337,277.305,306.297,357.973,395.337,368.763,317.215,303.415,247.721,247.721,247.017
Bulgaria,Q1,d2,2024,84.528,77.485,74.056,88.991,112.590,183.805,180.434,171.092,176.135,179.748,169.769,165.818,168.320,211.240,293.854,352.163,320.449,308.393,248.770,249.272,185.766,176.038,135.379,137.243
Bulgaria,Q1,d2,2025,93.549,85.735,81.930,98.500,124.685,203.700,199.959,189.595,195.190,199.198,188.126,183.743,186.519,234.140,325.802,390.498,355.310,341.933,275.780,276.337,205.876,195.083,149.969,152.038
Bulgaria,Q1,d2,2026,102.570,93.985,89.804,108.010,136.780,223.595,219.485,208.097,214.244,218.649,206.484,201.667,204.717,257.039,357.750,428.832,390.171,375.474,302.790,303.403,225.985,214.126,164.560,166.833
Bulgaria,Q1,d2,2027,111.591,102.234,97.678,117.520,148.874,243.489,239.010,226.599,233.299,238.099,224.841,219.592,222.916,279.939,389.699,467.167,425.031,409.014,329.800,330.468,246.095,233.171,179.151,181.628
Bulgaria,Q1,d2,2028,120.612,110.485,105.553,127.031,160.970,263.386,258.537,245.103,252.355,257.551,243.200,237.518,241.116,302.841,421.649,505.505,459.896,442.558,356.813,357.536,266.206,252.216,193.743,196.424
Bulgaria,Q1,d2,2029,129.633,118.734,113.427,136.541,173.065,283.281,278.063,263.606,271.410,277.001,261.557,255.443,259.315,325.740,453.598,543.839,494.757,476.098,383.823,384.601,286.315,271.260,208.333,211.219
Bulgaria,Q1,d2,2030,138.655,126.984,121.301,146.050,185.160,303.175,297.588,282.108,290.464,296.452,279.915,273.367,277.513,348.640,485.546,582.174,529.617,509.639,410.834,411.666,306.425,290.304,222.924,226.014
Bulgaria,Q1,d2,2031,138.655,126.984,121.301,146.050,185.160,303.175,297.588,282.108,290.464,296.452,279.915,273.367,277.513,348.640,485.546,582.174,529.617,509.639,410.834,411.666,306.425,290.304,222.924,226.014
Bulgaria,Q1,d2,2032,138.655,126.984,121.301,146.050,185.160,303.175,297.588,282.108,290.464,296.452,279.915,273.367,277.513,348.640,485.546,582.174,529.617,509.639,410.834,411.666,306.425,290.304,222.924,226.014
Bulgaria,Q1,d2,2033,138.655,126.984,121.301,146.050,185.160,303.175,297.588,282.108,290.464,296.452,279.915,273.367,277.513,348.640,485.546,582.174,529.617,509.639,410.834,411.666,306.425,290.304,222.924,226.014
Bulgaria,Q1,d2,2034,138.655,126.984,121.301,146.050,185.160,303.175,297.588,282.108,290.464,296.452,279.915,273.367,277.513,348.640,485.546,582.174,529.617,509.639,410.834,411.666,306.425,290.304,222.924,226.014
Bulgaria,Q1,d2,2035,138.655,126.984,121.301,146.050,185.160,303.175,297.588,282.108,290.464,296.452,279.915,273.367,277.513,348.640,485.546,582.174,529.617,509.639,410.834,411.666,306.425,290.304,222.924,226.014
Bulgaria,Q1,d2,2036,138.655,126.984,121.301,146.050,185.160,303.175,297.588,282.108,290.464,296.452,279.915,273.367,277.513,348.640,485.546,582.174,529.617,509.639,410.834,411.666,306.425,290.304,222.924,226.014
Bulgaria,Q1,d2,2037,138.655,126.984,121.301,146.050,185.160,303.175,297.588,282.108,290.464,296.452,279.915,273.367,277.513,348.640,485.546,582.174,529.617,509.639,410.834,411.666,306.425,290.304,222.924,226.014
Bulgaria,Q1,d2,2038,138.655,126.984,121.301,146.050,185.160,303.175,297.588,282.108,290.464,296.452,279.915,273.367,277.513,348.640,485.546,582.174,529.617,509.639,410.834,411.666,306.425,290.304,222.924,226.014
Bulgaria,Q1,d2,2039,138.655,126.984,121.301,146.050,185.160,303.175,297.588,282.108,290.464,296.452,279.915,273.367,277.513,348.640,485.546,582.174,529.617,509.639,410.834,411.666,306.425,290.304,222.924,226.014
Bulgaria,Q1,d2,2040,138.655,126.984,121.301,146.050,185.160,303.175,297.588,282.108,290.464,296.452,279.915,273.367,277.513,348.640,485.546,582.174,529.617,509.639,410.834,411.666,306.425,290.304,222.924,226.014
Bulgaria,Q1,d2,2041,138.655,126.984,121.301,146.050,185.160,303.175,297.588,282.108,290.464,296.452,279.915,273.367,277.513,348.640,485.546,582.174,529.617,509.639,410.834,411.666,306.425,290.304,222.924,226.014
Bulgaria,Q1,d2,2042,138.655,126.984,121.301,146.050,185.160,303.175,297.588,282.108,290.464,296.452,279.915,273.367,277.513,348.640,485.546,582.174,529.617,509.639,410.834,411.666,306.425,290.304,222.924,226.014
Bulgaria,Q1,d2,2043,138.655,126.984,121.301,146.050,185.160,303.175,297.588,282.108,290.464,296.452,279.915,273.367,277.513,348.640,485.546,582.174,529.617,509.639,410.834,411.666,306.425,290.304,222.924,226.014
Bulgaria,Q1,d2,2044,138.655,126.984,121.301,146.050,185.160,303.175,297.588,282.108,290.464,296.452,279.915,273.367,277.513,348.640,485.546,582.174,529.617,509.639,410.834,411.666,306.425,290.304,222.924,226.014
Bulgaria,Q1,d2,2045,138.655,126.984,121.301,146.050,185.160,303.175,297.588,282.108,290.464,296.452,279.915,273.367,277.513,348.640,485.546,582.174,529.617,509.639,410.834,411.666,306.425,290.304,222.924,226.014
Bulgaria,Q1,d2,2046,138.655,126.984,121.301,146.050,185.160,303.175,297.588,282.108,290.464,296.452,279.915,273.367,277.513,348.640,485.546,582.174,529.617,509.639,410.834,411.666,306.425,290.304,222.924,226.014
Bulgaria,Q1,d2,2047,138.655,126.984,121.301,146.050,185.160,303.175,297.588,282.108,290.464,296.452,279.915,273.367,277.513,348.640,485.546,582.174,529.617,509.639,410.834,411.666,306.425,290.304,222.924,226.014
Bulgaria,Q1,d2,2048,138.655,126.984,121.301,146.050,185.160,303.175,297.588,282.108,290.464,296.452,279.915,273.367,277.513,348.640,485.546,582.174,529.617,509.639,410.834,411.666,306.425,290.304,222.924,226.014
Bulgaria,Q1,d2,2049,138.655,126.984,121.301,146.050,185.160,303.175,297.588,282.108,290.464,296.452,279.915,273.367,277.513,348.640,485.546,582.174,529.617,509.639,410.834,411.666,306.425,290.304,222.924,226.014
Bulgaria,Q1,d2,2050,138.655,126.984,121.301,146.050,185.160,303.175,297.588,282.108,290.464,296.452,279.915,273.367,277.513,348.640,485.546,582.174,529.617,509.639,410.834,411.666,306.425,290.304,222.924,226.014
Bulgaria,Q1,d2,2051,138.655,126.984,121.301,146.050,185.160,303.175,297.588,282.108,290.464,296.452,279.915,273.367,277.513,348.640,485.546,582.174,529.617,509.639,410.834,411.666,306.425,290.304,222.924,226.014
