z,type,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
SaoTome,Energy,113.6387833,120.2129278,130.0574519,137.7786947,147.4154206,156.1363094,165.8322634,175.2238159,181.0277336,186.8461756,193.6281567,199.4759075,206.0206798
Principe,Energy,7.36121673,7.787072243,7.94254808,8.221305346,8.584579369,8.863690597,9.167736574,9.776184063,9.972266444,10.15382436,10.37184332,10.52409248,10.97932022
SaoTome,Peak,20.80952381,22.61904762,24.56246977,27.34819967,29.23361866,31.12841878,33.95008762,35.75806974,37.63137824,37.6731675,39.55680216,40.52562057,41.41358283
Principe,Peak,2.19047619,2.380952381,2.437530227,2.651800329,2.766381343,2.871581217,3.049912376,3.24193026,3.368621758,3.326832499,3.443197839,3.474379434,3.586417175
