z,value
KAZ_N,0.15
KAZ_S,0.15
KGZ_N,0.15
KGZ_S,0.15
NEPS_AFG,0.15
NEPS_TAJ,0.15
NEPS_TKM,0.15
NEPS_UZB,0.15
PAK_KAR,0.15
PAK_N,0.15
PAK_S,0.15
TAJ_N,0.15
TAJ_S,0.15
TUR,0.15
UZB,0.15
NEPS_HERAT,0.15
