Fuel,Index
Coal,1
Gas,2
Water,3
Solar,4
Wind,5
Import,6
HFO,7
LFO,8
Uranium,9
CSP,10
Battery,11
Diesel,12
Biomass,13
Geothermal,14
LNG,15
Coal_Bula,16
Coal_Hara,17
Coal_Hwan,18
Coal_Munya,19
Coal_Zhon,20
Gas_Moz,21
Biogas,22
