zone,type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
South_Africa,Peak,43105.022831999995,44018.264844,42922.374432000004,44383.561644,44748.858444,45114.155256,45662.10045599999,45844.748856,46301.369867999994,46757.990868,47488.58448,48219.17808,49132.42009199999,50045.662103999995,51415.525116,52785.388128,54246.575339999996,55707.76255199999,57534.246576,59360.730588,61004.56621199999,62648.40182399999,64292.237448,65936.07306,67488.584472,69041.095896,70684.931508,72328.76712,73881.278544,75433.789956,77077.62556799999
Lesotho,Peak,222.0,222.0,223.2,229.2,228.0,224.4,228.0,235.2,234.0,244.79999999999998,246.0,246.0,246.0,246.0,248.39999999999998,248.39999999999998,253.2,258.0,264.0,268.8,274.8,280.8,286.8,292.8,298.8,304.8,310.8,316.8,322.8,328.8,334.8
Eswatini,Peak,358.23529415999997,372.35294111999997,386.4705882,400.58823528,414.70588236,428.82352943999996,442.94117652,457.05882348,471.17647056,485.29411763999997,499.41176472,513.5294117999999,527.64705888,541.76470584,555.8823529199999,570.0,584.11764708,598.23529416,612.35294112,626.4705882,640.5882352799999,654.7058823599999,668.82352944,682.94117652,697.05882348,711.17647056,725.2941176400001,739.41176472,753.5294117999999,767.6470588799999,781.7647058399999
Mozambique,Peak,978.2106779999999,1079.350392,1134.04875504,1201.8991848,1315.4941655999999,1309.611216,1410.2037864000001,1511.3166648,1614.5107679999999,1710.247146,1811.1865871999998,1872.4093079999998,1935.019512,1998.8437632,2064.2289348,2130.8281548,2198.8148579999997,2268.3624804,2339.471022,2411.9670468,2483.9427659999997,2557.3059695999996,2632.2300911999996,2708.7151320000003,2786.934528,2866.3679724,3031.9565208,3111.3974172,3190.8383148000003,3270.2792112,3349.7201075999997
Zimbabwe,Peak,2149.2,2209.2,2353.2,2450.4,2541.6,2584.7999999999997,2745.6,2824.7999999999997,2910.0,2992.7999999999997,3081.6,3161.0347236000002,3268.5052308,3353.7807432,3468.2601972,3558.2083392,3666.8470055999996,3747.449886,3831.5572404,3915.6645947999996,4002.108264,4088.5519332,4174.995602399999,4261.439271599999,4347.882941999999,4434.3266112,4520.7702804,4607.2139496,4693.65762,4780.1012892,4866.5449584
Botswana,Peak,693.6,735.6,816.0,891.6,961.1999999999999,1044.0,1129.2,1148.3999999999999,1180.8,1220.3999999999999,1244.3999999999999,1289.2243848,1257.6,1302.8998596,1349.8314612,1299.6,1346.4127368,1394.91171,1376.3999999999999,1425.97914,1407.6,1458.3029915999998,1510.8323508,1565.2538628,1621.6356864000002,1680.0484319999998,1740.5652564,1803.2619504,1868.2170347999997,1935.5118575999998,2005.2306996
Namibia,Peak,771.6,775.1999999999999,793.1999999999999,868.20392652,893.75375172,928.46879268,945.6220758,970.65685308,980.1333830399999,991.25456604,1005.59466144,1016.56057656,1026.12343296,1038.60242952,1050.1717512,1059.2307102,1070.2945116,1086.1210274399998,1095.4557589199999,1106.77024296,1112.36452068,1127.88309768,1133.01386436,1135.2665657999999,,,,,,,
Zambia,Peak,2781.6,2925.6,3069.6,3213.6,3357.6,3501.6,3645.6,4210.5,4775.4,5340.3,5905.2,6229.56,6553.92,6878.28,7202.639999999999,7527.0,7851.36,8175.72,8500.08,8824.439999999999,9148.8,9437.64,9726.48,10015.32,10304.159999999998,10593.0,10881.84,11170.679999999998,11459.52,11748.359999999999,12037.199999999999
Angola,Peak,2677.08,2752.68,2824.7999999999997,2956.2,3100.872,3620.28,3842.5199999999995,4681.56,4949.52,5141.16,5332.92,5524.8,5716.320000000001,5907.48,6096.24,6286.56,6475.2,9590.279999999999,9854.759999999998,10116.84,10376.4,10637.640000000001,10898.52,11159.279999999999,11420.159999999998,11681.04,11941.8,12202.679999999998,12463.44,12724.32,12985.08
Tanzania,Peak,0.0,0.0,1693.56,1882.3199999999997,2357.652,2757.924,3263.484,3763.1879999999996,4342.1759999999995,4700.4,5174.856,5506.572,5716.848,5899.692,6076.584,6254.712,6425.099999999999,6604.44,6775.5,7116.288,7306.9439999999995,7497.3240000000005,7676.268,7871.208,8054.124,8255.496,8444.387999999999,8654.724,8897.387999999999,0.0,0.0
DRC,Peak,1115.43923376,1160.1089405999999,1206.5132976,1254.7738296,1304.9647836000001,1357.1633748000002,1411.4499095999997,1467.9079055999998,1526.6242224,1587.6891911999999,1651.1967588,1717.2446291999997,1785.9344148,1857.3717911999997,1931.6666627999998,2008.9333296,2089.2906623999997,2172.8622888,2259.7767804,2350.167852,2444.1745656,2541.9415476,2643.6192096,2749.3639788,2859.338538,2973.7120787999997,3092.6605619999996,3216.3669852,3345.0216635999996,3478.8225312,3617.9754324
Malawi,Peak,408.0,432.0,441.59999999999997,480.0,532.8,604.8,692.4,734.4,789.6,862.8,922.8,993.5999999999999,1072.8,1164.0,1250.3999999999999,1348.8,1449.6,1560.0,1680.0,1812.0,1954.8,2113.2,2287.2,2402.6666664,2546.8266672,2699.6362667999997,2861.6144424,3033.3113087999996,3215.309988,3408.2285868,3612.7223028000003
DRC_South,Peak,2240.677014,2280.7328364,2321.4691212,2363.3299272,2406.3551856,2450.5863744,2496.066582,2542.8405635999998,2590.9548191999997,2640.4576512,2691.3992424000003,2743.8317291999997,2797.809282,2853.3881796,2910.626898,2969.586198,3030.3292104,3092.9215403999997,3157.4313552,3223.929492,3292.4895623999996,3363.1880651999995,3436.1044968,3511.3214747999996,3588.9248604,3669.0038855999996,3751.6512935999995,3836.9634695999994,3925.0405944,4015.9867896,4109.9102784
Mozal,Peak,1203.0,1206.0,1209.0,1212.0,1215.0,1218.0,1221.0,1224.0,1227.0,1230.0,1233.0,1236.0,1239.0,1242.0,1245.0,1248.0,1251.0,1254.0,1257.0,1260.0,1263.0,1266.0,1269.0,1272.0,1275.0,1278.0,1281.0,1284.0,1287.0,1290.0,1293.0
South_Africa,Energy,283200.0,289200.0,282000.0,291600.0,294000.0,296400.0,300000.0,301200.0,304200.0,307200.0,312000.0,316800.0,322800.0,328800.0,337800.0,346800.0,356400.0,366000.0,378000.0,390000.0,400800.0,411600.0,422400.0,433200.0,443400.0,453600.0,464400.0,475200.0,485400.0,495600.0,506400.0
Lesotho,Energy,1021.1999999999999,1048.8,1082.3999999999999,1124.3999999999999,1154.3999999999999,1174.8,1213.2,1263.6,1288.8,1352.3999999999999,1393.2,1434.0,1477.2,1525.2,1573.2,1621.2,1653.6,1686.0,1719.6,1754.3999999999999,1789.2,1824.0,1858.8,1893.6,1928.3999999999999,1963.1999999999998,1998.0,2032.8,2067.6,2102.4,2137.2
Eswatini,Energy,1969.4117652,2054.1176471999997,2138.8235292,2223.5294112,2308.2352944,2392.9411764,2477.6470584000003,2562.3529415999997,2647.0588236,2731.7647056,2816.4705888000003,2901.1764707999996,2985.8823528,3070.5882347999996,3155.294118,3240.0,3324.705882,3409.4117652,3494.1176471999997,3578.8235292,3663.5294111999997,3748.2352943999995,3832.9411763999997,3917.6470584,4002.3529415999997,4087.0588236,4171.7647056,4256.4705888,4341.1764708,4425.8823528,4510.5882348
Mozambique,Energy,6769.2,7468.799999999999,7849.2,8316.0,9104.4,9061.199999999999,9757.199999999999,10456.8,11170.8,11833.199999999999,12531.6,12955.199999999999,13388.4,13830.0,14282.4,14743.199999999999,15213.599999999999,15694.8,16186.8,16688.399999999998,17186.399999999998,17694.0,18212.399999999998,18741.6,19282.8,19832.399999999998,,,,,
Zimbabwe,Energy,12465.6,12825.6,13693.199999999999,14283.6,14834.4,15511.199999999999,16485.6,16964.399999999998,17474.399999999998,17974.8,18507.6,18988.917924,19635.303227999997,20144.389499999997,20835.512676000002,21373.909979999997,22024.923336,22512.412008,23012.242164,23519.785752,24039.670812,24559.555883999998,25079.440956,25599.326028,26119.211099999997,26639.096172,27158.981244,27678.866316,28198.751388,28718.636459999998,29238.521532
Botswana,Energy,4255.2,4479.599999999999,4791.599999999999,5241.599999999999,5527.2,5535.599999999999,5986.8,6444.0,6572.4,6714.0,6648.0,6682.8,6746.4,6727.2,6787.2,6885.599999999999,7044.0,7240.6857132,7231.2,7433.1127956,7381.2,7587.3011627999995,7799.157173999999,8016.9287244,8240.780988,8470.883755199999,8707.411554,8950.543788,9200.464869599999,9457.364357999999,9721.4371092
Namibia,Energy,4848.0,4831.2,4915.2,4923.786666,5103.5797776,5287.2861912,5429.1208560000005,5564.8839947999995,5634.56145,5732.5470096,5812.576722,5894.4959976,5967.063493199999,6057.3535919999995,6143.491753199999,6235.5203208,6303.4989672,6417.9216036,6494.093064,6584.496427200001,6668.8718004,6778.8960468000005,6872.1779736,6963.6053496,,,,,,,
Zambia,Energy,18570.0,19532.399999999998,20494.8,21457.2,22419.6,23382.0,24344.399999999998,29521.8,34699.2,39876.6,45054.0,46658.28,48262.560000000005,49866.84,51471.119999999995,53075.4,54679.68,56283.96,57888.24,59492.52,61096.799999999996,63025.92,64955.03999999999,66884.16,68813.28,70742.4,72671.51999999999,74600.64,76529.76,78458.88,80388.0
Angola,Energy,15299.117495999999,15670.224,16987.055999999997,17613.408,19563.48,20724.768,22003.908,26963.208,28699.2,29808.359999999997,30918.359999999997,32031.035999999996,33142.008,34251.948,35349.54,36449.988,37539.396,55292.435999999994,56813.784,58321.764,59815.044,61318.115999999995,62818.75199999999,64319.376000000004,65820.0,67320.636,68821.26,70321.88399999999,71822.50799999999,73323.144,74823.768
Tanzania,Energy,0.0,0.0,11568.804,12809.076,14766.9,17258.28,20403.311999999998,23506.068,27097.908,29306.627999999997,32235.396,34270.38,35546.52,36647.532,37714.056,38784.024,39803.952,40877.388,41897.568,43964.364,45100.583999999995,46233.024,47292.78,48449.00399999999,49528.98,50720.364,51832.799999999996,53074.583999999995,54558.78,0.0,0.0
DRC,Energy,6755.099999999999,7025.619744,7306.644533999999,7598.9103156,7902.8667276,8218.9813968,8547.740653199999,8889.6502788,9245.23629,9615.0457416,9999.6475716,10399.633473599999,10815.6188136,11248.243566,11698.1733084,12166.100244,12652.744248,13158.854016,13685.20818,14232.616511999999,14801.921172,15393.998015999998,16009.75794,16650.148248,17316.154187999997,18008.800356,18729.152363999998,19478.31846,20257.451196,21067.749239999997,21910.459211999998
