Internal zone,External zone,Seasons,Import-Export,2025,2040
DRC,Angola,q1,Import,,500.0
DRC,Congo,q1,Import,80.0,315.0
DRC,Congo,q1,Export,80.0,315.0
DRC,Angola,q1,Export,,500.0
DRC_South,SAPP,Q1,Import,374.0,374.0
DRC_South,SAPP,Q2,Import,374.0,374.0
