zext,q,d,y,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Eswatini,Q1,d1,2024,66.86682318080001,66.86682318080001,66.8668231808,66.86682318080001,66.86682318080001,66.86682318080001,66.86682318080001,66.86682318080001,66.8668231808,68.23145222530611,68.23145222530611,68.23145222530611,68.23145222530611,68.23145222530611,68.23145222530611,68.23145222530611,68.23145222530611,68.23145222530611,68.23145222530611,66.8668231808,66.86682318080001,66.86682318080001,66.86682318080001,66.86682318080001
Eswatini,Q1,d1,2025,64.2714448,64.2714448,64.2714448,64.2714448,64.2714448,64.2714448,64.2714448,64.2714448,64.2714448,65.58310693877552,65.58310693877552,65.58310693877552,65.58310693877552,65.58310693877552,65.58310693877552,65.58310693877552,65.58310693877552,65.58310693877552,65.58310693877552,65.58310693877552,64.2714448,64.2714448,64.2714448,64.2714448
Eswatini,Q1,d1,2028,55.551258852916874,55.551258852916874,55.551258852916874,55.551258852916874,55.551258852916874,55.551258852916874,55.551258852916874,55.551258852916874,55.551258852916874,56.15523122295918,55.551258852916874,55.551258852916874,56.15523122295918,55.551258852916874,55.551258852916874,55.551258852916874,56.15523122295918,57.811460431591,57.811460431591,56.15523122295918,55.551258852916874,55.551258852916874,55.55125885291688,55.551258852916874
Eswatini,Q1,d1,2030,49.0037304078,49.0037304078,49.0037304078,49.0037304078,49.0037304078,49.0037304078,49.00373040780001,49.003730407799985,49.003730407799985,49.003730407799985,49.003730407799985,49.003730407799985,49.003730407799985,49.003730407799985,49.003730407799985,49.003730407799985,50.367346938775526,51.99289899826531,51.534496467930026,50.584495904825815,49.003730407799985,49.003730407799985,49.003730407799985,49.0037304078
Eswatini,Q1,d2,2024,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,68.23145222530613,66.8668231808,68.23145222530613,68.23145222530613,68.23145222530613,68.23145222530613,66.86682318080001,68.23145222530613,68.23145222530613,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808
Eswatini,Q1,d2,2025,64.2714448,64.2714448,64.2714448,64.2714448,64.2714448,64.2714448,64.2714448,64.2714448,64.2714448,65.58310693877552,65.58310693877552,65.58310693877552,65.58310693877552,65.58310693877552,65.58310693877552,64.2714448,65.58310693877552,65.58310693877552,64.2714448,64.2714448,64.2714448,64.2714448,64.2714448,64.2714448
Eswatini,Q1,d2,2028,55.55125885291687,55.55125885291687,55.551258852916874,55.55125885291687,55.551258852916874,55.55125885291687,55.55125885291687,55.551258852916874,55.55125885291685,55.551258852916874,55.551258852916874,55.551258852916874,55.551258852916874,55.551258852916874,55.551258852916874,55.551258852916874,56.15523122295918,56.15523122295918,55.551258852916874,55.551258852916874,55.551258852916874,55.551258852916874,55.551258852916874,55.55125885291687
Eswatini,Q1,d2,2030,49.003730407799985,49.0037304078,49.003730407799985,49.003730407800006,49.003730407799985,49.0037304078,49.003730407800006,49.003730407799985,49.003730407799985,49.003730407799985,49.0037304078,49.0037304078,49.003730407799985,49.0037304078,49.003730407799985,49.003730407799985,50.003806538571425,50.36734693877551,50.36734693877551,49.0037304078,49.003730407799985,49.003730407799985,49.003730407799985,49.003730407799985
Eswatini,Q1,d3,2024,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808,66.8668231808
Eswatini,Q1,d3,2025,64.27144480000001,64.2714448,64.2714448,64.27144480000001,64.2714448,64.2714448,64.2714448,64.2714448,64.27144480000001,64.27144480000001,64.27144479999998,64.27144480000001,64.27144480000001,64.27144479999998,64.27144479999998,64.27144479999998,64.27144479999998,64.27144479999998,64.27144480000001,64.27144480000001,64.27144480000001,64.27144479999998,64.2714448,64.2714448
Eswatini,Q1,d3,2028,55.55125885291687,55.55125885291687,55.55125885291687,55.55125885291687,55.55125885291687,55.55125885291687,55.55125885291687,55.55125885291687,55.55125885291687,55.55125885291687,55.55125885291687,55.55125885291687,55.55125885291687,55.55125885291687,55.55125885291687,55.55125885291687,55.55125885291687,55.55125885291687,55.55125885291685,55.55125885291687,55.551258852916874,55.55125885291687,55.55125885291687,55.55125885291687
Eswatini,Q1,d3,2030,49.0037304078,49.003730407800006,49.0037304078,49.003730407800006,49.0037304078,49.0037304078,49.0037304078,49.0037304078,49.0037304078,49.003730407800006,49.003730407799985,49.0037304078,49.0037304078,49.0037304078,49.0037304078,49.0037304078,49.0037304078,49.003730407799985,49.0037304078,49.0037304078,49.0037304078,49.0037304078,49.003730407799985,49.0037304078
