g,q,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
SolarPV_Cand_North,Q1,d1,0,0,0,0,0,0,0,0.04,0.23,0.42,0.52,0.57,0.59,0.6,0.59,0.56,0.47,0.3,0,0,0,0,0,0
Cruz Grande,Q1,d1,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Almeirim,Q1,d1,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Santa Luisa,Q1,d1,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Santa Clara,Q1,d1,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Mato Cana,Q1,d1,0.3,0.3,0.225,0.225,0.3,0.3,0.225,0.225,0.3,0.3,0.225,0.225,0.3,0.3,0.3,0.3,0.375,0.375,0.375,0.375,0.375,0.225,0.225,0.225
Claudino Faro,Q1,d1,0.3,0.3,0.225,0.225,0.3,0.3,0.225,0.225,0.3,0.3,0.225,0.225,0.3,0.3,0.3,0.3,0.375,0.375,0.375,0.375,0.375,0.225,0.225,0.225
Bombaim,Q1,d1,0.3,0.3,0.225,0.225,0.3,0.3,0.225,0.225,0.3,0.3,0.225,0.225,0.3,0.3,0.3,0.3,0.375,0.375,0.375,0.375,0.375,0.225,0.225,0.225
Dona Eugenia,Q1,d1,0.3,0.3,0.225,0.225,0.3,0.3,0.225,0.225,0.3,0.3,0.225,0.225,0.3,0.3,0.3,0.3,0.375,0.375,0.375,0.375,0.375,0.225,0.225,0.225
Mateus Sampaio,Q1,d1,0.3,0.3,0.225,0.225,0.3,0.3,0.225,0.225,0.3,0.3,0.225,0.225,0.3,0.3,0.3,0.3,0.375,0.375,0.375,0.375,0.375,0.225,0.225,0.225
Neves,Q1,d1,0.3,0.3,0.225,0.225,0.3,0.3,0.225,0.225,0.3,0.3,0.225,0.225,0.3,0.3,0.3,0.3,0.375,0.375,0.375,0.375,0.375,0.225,0.225,0.225
Sao Joao,Q1,d1,0.3,0.3,0.225,0.225,0.3,0.3,0.225,0.225,0.3,0.3,0.225,0.225,0.3,0.3,0.3,0.3,0.375,0.375,0.375,0.375,0.375,0.225,0.225,0.225
Santa Irene,Q1,d1,0.2,0.2,0.15,0.15,0.2,0.2,0.15,0.15,0.2,0.2,0.15,0.15,0.2,0.2,0.2,0.2,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15
Monte Verde,Q1,d1,0.2,0.2,0.15,0.15,0.2,0.2,0.15,0.15,0.2,0.2,0.15,0.15,0.2,0.2,0.2,0.2,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15
Monte Rosa,Q1,d1,0.2,0.2,0.15,0.15,0.2,0.2,0.15,0.15,0.2,0.2,0.15,0.15,0.2,0.2,0.2,0.2,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15
Guegue,Q1,d1,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Agostinho Neto,Q1,d1,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Papagaio 1,Q1,d1,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Banzu 1,Q1,d1,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
