z,tech,f,Life,StorageDuration,UnitSize,BuildLimitperYear,DescreteCap,Efficiency,Capex,FOMperMW,VOM,ReserveCost,CapexMWh,FixedOMMWh,VOMMWh,MinGenShareAllHours,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,MinGenCommitment
SaoTome,Storage,Battery,15,,,,,0.85,0.1,40000,0,0,180,0,0,,,1,1,,0.5,,,,,,,
Principe,Storage,Battery,15,,,,,0.85,0.1,40000,0,0,180,0,0,,,1,1,,0.5,,,,,,,
