z,tech,fuel,Q1
SaoTome,ST,Coal,0.65
SaoTome,ST,Lignite,0.65
SaoTome,OCGT,Gas,0.85
SaoTome,CCGT,Gas,0.85
SaoTome,OCGT,Diesel,0.85
SaoTome,OCGT,HFO,0.85
SaoTome,BiomassPlant,Biomass,0.85
SaoTome,PV,Solar,1
SaoTome,CSPPlant,CSP,1
SaoTome,OnshoreWind,Wind,1
SaoTome,OffshoreWind,Wind,1
SaoTome,PVwSTO,Solar,1
SaoTome,Storage,Battery,1
SaoTome,Storage,Water,0.85
SaoTome,ReservoirHydro,Water,0.85
SaoTome,ROR,Water,1
SaoTome,ICE,Diesel,0.85
SaoTome,ICE,HFO,0.85
SaoTome,ICE,Gas,0.85
SaoTome,OCE,Ocean,0.85
SaoTome,INT,DSM-PB,1
Principe,ST,Coal,0.65
Principe,ST,Lignite,0.65
Principe,OCGT,Gas,0.85
Principe,CCGT,Gas,0.85
Principe,OCGT,Diesel,0.85
Principe,OCGT,HFO,0.85
Principe,BiomassPlant,Biomass,0.85
Principe,PV,Solar,1
Principe,CSPPlant,CSP,1
Principe,OnshoreWind,Wind,1
Principe,OffshoreWind,Wind,1
Principe,PVwSTO,Solar,1
Principe,Storage,Battery,1
Principe,Storage,Water,0.85
Principe,ReservoirHydro,Water,0.85
Principe,ROR,Water,1
Principe,ICE,Diesel,0.85
Principe,ICE,HFO,0.85
Principe,ICE,Gas,0.85
Principe,OCE,Ocean,0.85
Principe,INT,DSM-HH,1
