c,fuel,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
KGZ,Gas,2.29805,4.5961,4.5961,37.2059078715,37.2059078715,37.2059078715,37.2059078715,37.2059078715,37.2059078715,37.2059078715,37.2059078715,37.2059078715,37.2059078715,37.2059078715
PAK,Gas,558.625,483.8,408.975,334.15,259.325,221.9125,184.5,648.415,648.415,648.415,648.415,648.415,648.415,648.415
PAK,LNG,486.3625,486.3625,486.3625,486.3625,486.3625,486.3625,636.0125,636.0125,636.0125,636.0125,636.0125,636.0125,636.0125,636.0125
TAJ,Gas,0.2,0.2,0.2,100.24634422,100.24634422,100.24634422,100.24634422,100.24634422,100.24634422,100.24634422,100.24634422,100.24634422,100.24634422,100.24634422
UZB,Coal,127.21261822,158.4976453541,189.7826724881,221.0676996221,252.3527267561,283.6377538902,314.9227810242,346.2078081582,377.4928352922,390.8161118319,404.1393883717,417.4626649114,430.7859414511,444.1092179908
