z,fuel,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
KAZ_N,Gas,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
PAK_N,Coal,10.9848971191,10.9848971191,10.9848971191,10.9848971191,10.9848971191,10.9848971191,10.9848971191,10.9848971191,10.9848971191,10.9848971191,10.9848971191,10.9848971191,10.9848971191,10.9848971191
PAK_S,Coal,52.72750617168,168.06892592223,10.9848971191,269.12997941795,269.12997941795,554.7373045145499,828.2612427801402,828.2612427801402,828.2612427801402,828.2612427801402,828.2612427801402,828.2612427801402,828.2612427801402,828.2612427801402
UZB,Gas,500.7317211,522.0646957835,544.3065320184,567.49595058,580.2614285168,593.3140581536,606.6602987941,620.3067550401,634.26018006,640.8003281037,647.4079146178,654.0836349915,660.8281917843,667.6422948
