zone1,zone2,value
KAZ_S,KGZ_N,1
KAZ_S,UZB,1
KGZ_N,KAZ_S,1
KGZ_S,TAJ_N,1
KGZ_S,UZB,1
NEPS_UZB,UZB,1
TAJ_N,KGZ_S,1
TAJ_N,UZB,1
TAJ_S,NEPS_TAJ,1
TAJ_S,UZB,1
TUR,NEPS_TKM,1
TUR,UZB,1
UZB,KAZ_S,1
UZB,KGZ_S,1
UZB,NEPS_UZB,1
UZB,TAJ_N,1
UZB,TAJ_S,1
UZB,TUR,1
