c,z,attribute,uni,y,value
Angola,Angola_Central,Interchange,Angola_South,2045,1161.0905591243334
Angola,Angola_Central,Interchange,Angola_North,2050,1380.142426321976
Angola,Angola_Central,Interchange,Angola_South,2050,1061.699151375993
Angola,Angola_Central,InterconUtilization,Angola_North,2027,0.0002683961055831
Angola,Angola_Central,InterconUtilization,Angola_North,2028,0.0003813003748316
Angola,Angola_Central,InterconUtilization,Angola_South,2029,0.8735830466591725
Angola,Angola_Central,InterconUtilization,Angola_South,2030,0.8613241810913376
Angola,Angola_Central,InterconUtilization,Angola_South,2031,0.8538638627030855
Angola,Angola_Central,InterconUtilization,Angola_South,2032,0.8494068653793563
Angola,Angola_Central,InterconUtilization,Angola_North,2033,1.2506862251166948e-05
Angola,Angola_Central,InterconUtilization,Angola_South,2033,0.6299956679546203
Angola,Angola_Central,InterconUtilization,Angola_North,2034,0.0118550959036172
Angola,Angola_Central,InterconUtilization,Angola_South,2034,0.5916620126456511
Angola,Angola_Central,InterconUtilization,Angola_North,2035,0.011375418880417
Angola,Angola_Central,InterconUtilization,Angola_South,2035,0.4038947141804349
Angola,Angola_Central,InterconUtilization,Angola_North,2040,0.0843481725217662
Angola,Angola_Central,InterconUtilization,Angola_South,2040,0.2869328177141284
Angola,Angola_Central,InterconUtilization,Angola_North,2045,0.1866184102653271
Angola,Angola_Central,InterconUtilization,Angola_South,2045,0.2209076406248731
Angola,Angola_Central,InterconUtilization,Angola_North,2050,0.196938131609871
Angola,Angola_Central,InterconUtilization,Angola_South,2050,0.2019975554368328
Angola,Angola_Central,NetImport,Angola_North,2027,-0.0018809199079268
Angola,Angola_Central,NetImport,Angola_North,2028,-0.00267215302682
Angola,Angola_Central,NetImport,Angola_South,2029,-4.591552493240611
Angola,Angola_Central,NetImport,Angola_South,2030,-4.52711989581607
Angola,Angola_Central,NetImport,Angola_South,2031,-4.487908462367417
Angola,Angola_Central,NetImport,Angola_South,2032,-4.464482484433898
Angola,Angola_Central,NetImport,Angola_North,2033,-8.764809065617797e-05
Angola,Angola_Central,NetImport,Angola_South,2033,-3.311257230769484
Angola,Angola_Central,NetImport,Angola_North,2034,-0.0830805120925496
Angola,Angola_Central,NetImport,Angola_South,2034,-3.1097755384655423
Angola,Angola_Central,NetImport,Angola_North,2035,-0.0797189355139627
Angola,Angola_Central,NetImport,Angola_South,2035,-2.122870617732365
Angola,Angola_Central,NetImport,Angola_North,2040,-0.5911119930325377
Angola,Angola_Central,NetImport,Angola_South,2040,-1.5081188899054587
Angola,Angola_Central,NetImport,Angola_North,2045,-1.3078218191394124
Angola,Angola_Central,NetImport,Angola_South,2045,-1.1610905591243337
Angola,Angola_Central,NetImport,Angola_North,2050,-1.380142426321976
Angola,Angola_Central,NetImport,Angola_South,2050,-1.061699151375993
Angola,Angola_Central,NewTransmissionCapacity,Angola_South,2029,600.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2025,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2026,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2027,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2028,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2029,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2029,600.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2030,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2030,600.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2031,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2031,600.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2032,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2032,600.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2033,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2033,600.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2034,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2034,600.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2035,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2035,600.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2040,800.0
