uni_0,uni_1
Benin,Burkina
Benin,Niger
Benin,Nigeria
Benin,Togo
Burkina,Benin
Burkina,Ghana
Burkina,IvoryCoast
Burkina,Mali
Burkina,Niger
Burkina,Togo
Gambia,Senegal
Ghana,Burkina
Ghana,IvoryCoast
Ghana,Togo
Guinea,GuineaBissau
Guinea,IvoryCoast
Guinea,Liberia
Guinea,Mali
Guinea,Senegal
Guinea,SierraLeone
GuineaBissau,Guinea
GuineaBissau,Senegal
IvoryCoast,Burkina
IvoryCoast,Ghana
IvoryCoast,Guinea
IvoryCoast,Liberia
IvoryCoast,Mali
Liberia,Guinea
Liberia,IvoryCoast
Liberia,SierraLeone
Mali,Burkina
Mali,Guinea
Mali,IvoryCoast
Mali,Niger
Mali,Senegal
Mali,Mauritania_grid
Niger,Benin
Niger,Burkina
Niger,Mali
Niger,Nigeria
Nigeria,Benin
Nigeria,Niger
Senegal,Gambia
Senegal,Guinea
Senegal,GuineaBissau
Senegal,Mali
Senegal,Mauritania_grid
SierraLeone,Guinea
SierraLeone,Liberia
Togo,Benin
Togo,Burkina
Togo,Ghana
Mauritania_grid,Mali
Mauritania_grid,Senegal
Mauritania_grid,Mauritania_Nema
Mauritania_Nema,Mauritania_grid
