uni_0,uni_1,value
Coal,Coal,1.0
Gas,Gas,2.0
Gas,LNG,12.0
Hydro,Water,3.0
Solar,PV,4.0
Solar,CSP,9.0
Solar,Rooftop,15.0
Wind,Wind,5.0
Wind,Offshore,14.0
Import,Import,6.0
HFO,HFO,7.0
CustomFuel,Uranium,8.0
Battery,Battery,10.0
Battery,BESS1h,17.0
Battery,BESS2h,18.0
Battery,BESS3h,19.0
Diesel,Diesel,11.0
Biomass,Biomas,13.0
Hydrogen,Hydrogen,16.0
