uni,value
Benin,1.0
Burkina,2.0
Gambia,3.0
Ghana,4.0
Guinea,5.0
GuineaBissau,6.0
IvoryCoast,7.0
Liberia,8.0
Mali,9.0
Niger,10.0
Nigeria,11.0
Senegal,12.0
SierraLeone,13.0
Togo,14.0
Mauritania_grid,15.0
Mauritania_Nema,16.0
