uni_0,uni_1,uni_2,uni_3,uni_4,value
Benin,PV,dry,1,t07,0.071
Benin,PV,dry,1,t08,0.342
Benin,PV,dry,1,t09,0.5640000000000001
Benin,PV,dry,1,t10,0.707
Benin,PV,dry,1,t11,0.791
Benin,PV,dry,1,t12,0.8250000000000001
Benin,PV,dry,1,t13,0.798
Benin,PV,dry,1,t14,0.736
Benin,PV,dry,1,t15,0.62
Benin,PV,dry,1,t16,0.435
Benin,PV,dry,1,t17,0.199
Benin,PV,dry,1,t18,0.012
Benin,PV,dry,2,t07,0.069
Benin,PV,dry,2,t08,0.301
Benin,PV,dry,2,t09,0.519
Benin,PV,dry,2,t10,0.619
Benin,PV,dry,2,t11,0.7000000000000001
Benin,PV,dry,2,t12,0.729
Benin,PV,dry,2,t13,0.739
Benin,PV,dry,2,t14,0.6930000000000001
Benin,PV,dry,2,t15,0.578
Benin,PV,dry,2,t16,0.393
Benin,PV,dry,2,t17,0.169
Benin,PV,dry,2,t18,0.013
Benin,PV,dry,3,t07,0.023
Benin,PV,dry,3,t08,0.115
Benin,PV,dry,3,t09,0.231
Benin,PV,dry,3,t10,0.331
Benin,PV,dry,3,t11,0.372
Benin,PV,dry,3,t12,0.408
Benin,PV,dry,3,t13,0.395
Benin,PV,dry,3,t14,0.36
Benin,PV,dry,3,t15,0.27
Benin,PV,dry,3,t16,0.17
Benin,PV,dry,3,t17,0.073
Benin,PV,dry,3,t18,0.008
Benin,PV,dry,4,t07,0.063
Benin,PV,dry,4,t08,0.325
Benin,PV,dry,4,t09,0.5660000000000001
Benin,PV,dry,4,t10,0.706
Benin,PV,dry,4,t11,0.797
Benin,PV,dry,4,t12,0.8260000000000001
Benin,PV,dry,4,t13,0.785
Benin,PV,dry,4,t14,0.686
Benin,PV,dry,4,t15,0.545
Benin,PV,dry,4,t16,0.358
Benin,PV,dry,4,t17,0.158
Benin,PV,dry,4,t18,0.01
Benin,PV,wet,1,t07,0.071
Benin,PV,wet,1,t08,0.223
Benin,PV,wet,1,t09,0.373
Benin,PV,wet,1,t10,0.516
Benin,PV,wet,1,t11,0.599
Benin,PV,wet,1,t12,0.636
Benin,PV,wet,1,t13,0.607
Benin,PV,wet,1,t14,0.391
Benin,PV,wet,1,t15,0.254
Benin,PV,wet,1,t16,0.167
Benin,PV,wet,1,t17,0.096
Benin,PV,wet,1,t18,0.02
Benin,PV,wet,2,t07,0.058
Benin,PV,wet,2,t08,0.18
Benin,PV,wet,2,t09,0.306
Benin,PV,wet,2,t10,0.397
Benin,PV,wet,2,t11,0.474
Benin,PV,wet,2,t12,0.516
Benin,PV,wet,2,t13,0.52
Benin,PV,wet,2,t14,0.482
Benin,PV,wet,2,t15,0.397
Benin,PV,wet,2,t16,0.286
Benin,PV,wet,2,t17,0.145
Benin,PV,wet,2,t18,0.033
Benin,PV,wet,3,t07,0.067
Benin,PV,wet,3,t08,0.194
Benin,PV,wet,3,t09,0.323
Benin,PV,wet,3,t10,0.444
Benin,PV,wet,3,t11,0.503
Benin,PV,wet,3,t12,0.516
Benin,PV,wet,3,t13,0.498
Benin,PV,wet,3,t14,0.462
Benin,PV,wet,3,t15,0.393
Benin,PV,wet,3,t16,0.288
Benin,PV,wet,3,t17,0.155
Benin,PV,wet,3,t18,0.039
Benin,PV,wet,4,t07,0.029
Benin,PV,wet,4,t08,0.128
Benin,PV,wet,4,t09,0.217
Benin,PV,wet,4,t10,0.305
Benin,PV,wet,4,t11,0.421
Benin,PV,wet,4,t12,0.496
Benin,PV,wet,4,t13,0.47
Benin,PV,wet,4,t14,0.393
Benin,PV,wet,4,t15,0.322
Benin,PV,wet,4,t16,0.187
Benin,PV,wet,4,t17,0.058
Benin,PV,wet,4,t18,0.003
Benin,Wind,dry,1,t01,0.47
Benin,Wind,dry,1,t02,0.525
Benin,Wind,dry,1,t03,0.5650000000000001
Benin,Wind,dry,1,t04,0.582
Benin,Wind,dry,1,t05,0.605
Benin,Wind,dry,1,t06,0.638
Benin,Wind,dry,1,t07,0.608
Benin,Wind,dry,1,t08,0.337
Benin,Wind,dry,1,t09,0.312
Benin,Wind,dry,1,t10,0.708
Benin,Wind,dry,1,t11,0.639
Benin,Wind,dry,1,t12,0.494
Benin,Wind,dry,1,t13,0.376
Benin,Wind,dry,1,t14,0.309
Benin,Wind,dry,1,t15,0.272
Benin,Wind,dry,1,t16,0.256
Benin,Wind,dry,1,t17,0.27
Benin,Wind,dry,1,t18,0.361
Benin,Wind,dry,1,t19,0.41
Benin,Wind,dry,1,t20,0.414
Benin,Wind,dry,1,t21,0.395
Benin,Wind,dry,1,t22,0.366
Benin,Wind,dry,1,t23,0.357
Benin,Wind,dry,1,t24,0.377
Benin,Wind,dry,2,t01,0.5630000000000001
Benin,Wind,dry,2,t02,0.525
Benin,Wind,dry,2,t03,0.513
Benin,Wind,dry,2,t04,0.538
Benin,Wind,dry,2,t05,0.5710000000000001
Benin,Wind,dry,2,t06,0.595
Benin,Wind,dry,2,t07,0.501
Benin,Wind,dry,2,t08,0.2
Benin,Wind,dry,2,t09,0.22
Benin,Wind,dry,2,t10,0.466
Benin,Wind,dry,2,t11,0.266
Benin,Wind,dry,2,t12,0.131
Benin,Wind,dry,2,t13,0.07
Benin,Wind,dry,2,t14,0.045
Benin,Wind,dry,2,t15,0.037
Benin,Wind,dry,2,t16,0.039
Benin,Wind,dry,2,t17,0.094
Benin,Wind,dry,2,t18,0.308
Benin,Wind,dry,2,t19,0.51
