uni,value
WACC,0.1
DR,0.06
VOLL,1000.0
ReserveVoLL,70000.0
SpinReserveVoLL,100.0
CO2backstop,300.0
H2UnservedCost,10000.0
includeCSP,1.0
includeStorage,1.0
interconMode,1.0
altDemand,1.0
Captraj,1.0
IncludeH2,1.0
fuel_constraints,1.0
planning_reserve_constraints,1.0
system_reserve_margin,0.1
ramp_constraints,1.0
zonal_spinning_reserve_constraints,1.0
VREForecastError,0.2
VRECapacityCredits,1.0
Systemresultreporting,1.0
IncludeDecomCom,1.0
FuelPriceScenario,1.0
CapCreditSolar,0.05
CapCreditWind,0.1
MaxLoadFractionCCCalc,0.1
