uni_0,uni_1,uni_2,value
Benin,Gas,2025,2.0
Benin,Gas,2026,2.0
Benin,Gas,2027,2.0
Benin,Gas,2028,2.0
Benin,Gas,2029,2.0
Benin,Gas,2030,2.0
Benin,Gas,2031,2.0
Benin,Gas,2032,2.0
Benin,Gas,2033,2.0
Benin,Gas,2034,2.0
Benin,Gas,2035,2.0
Benin,Gas,2036,2.0
Benin,Gas,2037,2.0
Benin,Gas,2038,2.0
Benin,Gas,2039,2.0
Benin,Gas,2040,2.0
Benin,Gas,2041,2.0
Benin,Gas,2042,2.0
Benin,Gas,2043,2.0
Benin,Gas,2044,2.0
Benin,Gas,2045,2.0
Benin,Gas,2046,2.0
Benin,Gas,2047,2.0
Benin,Gas,2048,2.0
Benin,Gas,2049,2.0
Benin,Gas,2050,2.0
Benin,LNG,2025,1e-09
Benin,LNG,2026,1e-09
Benin,LNG,2027,1e-09
Benin,LNG,2028,1e-09
Benin,LNG,2029,1e-09
Benin,LNG,2030,1e-09
Benin,LNG,2031,1e-09
Benin,LNG,2032,1e-09
Benin,LNG,2033,1e-09
Benin,LNG,2034,1e-09
Benin,LNG,2035,1e-09
Benin,LNG,2036,1e-09
Benin,LNG,2037,1e-09
Benin,LNG,2038,1e-09
Benin,LNG,2039,1e-09
Benin,LNG,2040,1e-09
Benin,LNG,2041,1e-09
Benin,LNG,2042,1e-09
Benin,LNG,2043,1e-09
Benin,LNG,2044,1e-09
Benin,LNG,2045,1e-09
Benin,LNG,2046,1e-09
Benin,LNG,2047,1e-09
Benin,LNG,2048,1e-09
Benin,LNG,2049,1e-09
Benin,LNG,2050,1e-09
Ghana,Gas,2025,132.0
Ghana,Gas,2026,138.0
Ghana,Gas,2027,144.0
Ghana,Gas,2028,148.0
Ghana,Gas,2029,150.0
Ghana,Gas,2030,155.0
Ghana,Gas,2031,159.0
Ghana,Gas,2032,164.0
Ghana,Gas,2033,167.0
Ghana,Gas,2034,155.0
Ghana,Gas,2035,142.0
Ghana,Gas,2036,127.0
Ghana,Gas,2037,118.0
Ghana,Gas,2038,111.0
Ghana,Gas,2039,104.0
Ghana,Gas,2040,100.0
Ghana,Gas,2041,100.0
Ghana,Gas,2042,100.0
Ghana,Gas,2043,100.0
Ghana,Gas,2044,100.0
Ghana,Gas,2045,100.0
Ghana,Gas,2046,100.0
Ghana,Gas,2047,100.0
Ghana,Gas,2048,100.0
Ghana,Gas,2049,100.0
Ghana,Gas,2050,100.0
Ghana,LNG,2025,1.0000000000000001e-07
Ghana,LNG,2026,1.0000000000000001e-07
Ghana,LNG,2027,1.0000000000000001e-07
Ghana,LNG,2028,1.0000000000000001e-07
Ghana,LNG,2029,1.0000000000000001e-07
Ghana,LNG,2030,1.0000000000000001e-07
Ghana,LNG,2031,1.0000000000000001e-07
Ghana,LNG,2032,1.0000000000000001e-07
Ghana,LNG,2033,1.0000000000000001e-07
Ghana,LNG,2034,1.0000000000000001e-07
Ghana,LNG,2035,1.0000000000000001e-07
Ghana,LNG,2036,1.0000000000000001e-07
Ghana,LNG,2037,1.0000000000000001e-07
Ghana,LNG,2038,1.0000000000000001e-07
Ghana,LNG,2039,1.0000000000000001e-07
Ghana,LNG,2040,1.0000000000000001e-07
Ghana,LNG,2041,1.0000000000000001e-07
Ghana,LNG,2042,1.0000000000000001e-07
Ghana,LNG,2043,1.0000000000000001e-07
Ghana,LNG,2044,1.0000000000000001e-07
Ghana,LNG,2045,1.0000000000000001e-07
Ghana,LNG,2046,1.0000000000000001e-07
Ghana,LNG,2047,1.0000000000000001e-07
Ghana,LNG,2048,1.0000000000000001e-07
Ghana,LNG,2049,1.0000000000000001e-07
Ghana,LNG,2050,1.0000000000000001e-07
Guinea,LNG,2025,25.0
Guinea,LNG,2026,25.0
Guinea,LNG,2027,25.0
Guinea,LNG,2028,25.0
Guinea,LNG,2029,25.0
Guinea,LNG,2030,25.0
Guinea,LNG,2031,25.0
Guinea,LNG,2032,25.0
Guinea,LNG,2033,25.0
Guinea,LNG,2034,25.0
Guinea,LNG,2035,25.0
Guinea,LNG,2036,25.0
Guinea,LNG,2037,25.0
Guinea,LNG,2038,25.0
Guinea,LNG,2039,25.0
Guinea,LNG,2040,25.0
Guinea,LNG,2041,25.0
Guinea,LNG,2042,25.0
Guinea,LNG,2043,25.0
Guinea,LNG,2044,25.0
Guinea,LNG,2045,25.0
Guinea,LNG,2046,25.0
Guinea,LNG,2047,25.0
Guinea,LNG,2048,25.0
Guinea,LNG,2049,25.0
Guinea,LNG,2050,25.0
GuineaBissau,LNG,2025,25.0
GuineaBissau,LNG,2026,25.0
GuineaBissau,LNG,2027,25.0
GuineaBissau,LNG,2028,25.0
GuineaBissau,LNG,2029,25.0
GuineaBissau,LNG,2030,25.0
GuineaBissau,LNG,2031,25.0
GuineaBissau,LNG,2032,25.0
GuineaBissau,LNG,2033,25.0
GuineaBissau,LNG,2034,25.0
GuineaBissau,LNG,2035,25.0
GuineaBissau,LNG,2036,25.0
GuineaBissau,LNG,2037,25.0
GuineaBissau,LNG,2038,25.0
GuineaBissau,LNG,2039,25.0
GuineaBissau,LNG,2040,25.0
GuineaBissau,LNG,2041,25.0
GuineaBissau,LNG,2042,25.0
GuineaBissau,LNG,2043,25.0
GuineaBissau,LNG,2044,25.0
GuineaBissau,LNG,2045,25.0
GuineaBissau,LNG,2046,25.0
GuineaBissau,LNG,2047,25.0
GuineaBissau,LNG,2048,25.0
GuineaBissau,LNG,2049,25.0
GuineaBissau,LNG,2050,25.0
IvoryCoast,Gas,2025,112.79449
IvoryCoast,Gas,2026,113.172995
IvoryCoast,Gas,2027,113.5515
IvoryCoast,Gas,2028,113.930005
IvoryCoast,Gas,2029,114.30851
IvoryCoast,Gas,2030,114.687015
IvoryCoast,Gas,2031,115.06552
IvoryCoast,Gas,2032,115.444025
IvoryCoast,Gas,2033,115.82253
IvoryCoast,Gas,2034,116.201035
IvoryCoast,Gas,2035,116.57954
IvoryCoast,Gas,2036,116.958045
IvoryCoast,Gas,2037,117.33655
IvoryCoast,Gas,2038,117.715055
IvoryCoast,Gas,2039,118.09356
IvoryCoast,Gas,2040,118.472065
IvoryCoast,Gas,2041,118.472065
IvoryCoast,Gas,2042,118.472065
IvoryCoast,Gas,2043,118.472065
IvoryCoast,Gas,2044,118.472065
IvoryCoast,Gas,2045,118.472065
IvoryCoast,Gas,2046,118.472065
IvoryCoast,Gas,2047,118.472065
IvoryCoast,Gas,2048,118.472065
IvoryCoast,Gas,2049,118.472065
IvoryCoast,Gas,2050,118.472065
Liberia,LNG,2025,25.0
Liberia,LNG,2026,25.0
Liberia,LNG,2027,25.0
Liberia,LNG,2028,25.0
Liberia,LNG,2029,25.0
Liberia,LNG,2030,25.0
Liberia,LNG,2031,25.0
Liberia,LNG,2032,25.0
Liberia,LNG,2033,25.0
Liberia,LNG,2034,25.0
Liberia,LNG,2035,25.0
Liberia,LNG,2036,25.0
Liberia,LNG,2037,25.0
Liberia,LNG,2038,25.0
Liberia,LNG,2039,25.0
Liberia,LNG,2040,25.0
Liberia,LNG,2041,25.0
Liberia,LNG,2042,25.0
Liberia,LNG,2043,25.0
Liberia,LNG,2044,25.0
Liberia,LNG,2045,25.0
Liberia,LNG,2046,25.0
Liberia,LNG,2047,25.0
Liberia,LNG,2048,25.0
Liberia,LNG,2049,25.0
Liberia,LNG,2050,25.0
Senegal,LNG,2025,60.0
Senegal,LNG,2026,60.0
Senegal,LNG,2027,60.0
Senegal,LNG,2028,60.0
Senegal,LNG,2029,60.0
Senegal,LNG,2030,60.0
Senegal,LNG,2031,60.0
Senegal,LNG,2032,60.0
Senegal,LNG,2033,60.0
Senegal,LNG,2034,60.0
Senegal,LNG,2035,60.0
Senegal,LNG,2036,60.0
Senegal,LNG,2037,60.0
Senegal,LNG,2038,60.0
Senegal,LNG,2039,60.0
Senegal,LNG,2040,60.0
Senegal,LNG,2041,60.0
Senegal,LNG,2042,60.0
Senegal,LNG,2043,60.0
Senegal,LNG,2044,60.0
Senegal,LNG,2045,60.0
Senegal,LNG,2046,60.0
Senegal,LNG,2047,60.0
Senegal,LNG,2048,60.0
Senegal,LNG,2049,60.0
Senegal,LNG,2050,60.0
SierraLeone,LNG,2025,25.0
SierraLeone,LNG,2026,25.0
SierraLeone,LNG,2027,25.0
SierraLeone,LNG,2028,25.0
SierraLeone,LNG,2029,25.0
SierraLeone,LNG,2030,25.0
SierraLeone,LNG,2031,25.0
SierraLeone,LNG,2032,25.0
SierraLeone,LNG,2033,25.0
SierraLeone,LNG,2034,25.0
SierraLeone,LNG,2035,25.0
SierraLeone,LNG,2036,25.0
SierraLeone,LNG,2037,25.0
SierraLeone,LNG,2038,25.0
SierraLeone,LNG,2039,25.0
SierraLeone,LNG,2040,25.0
SierraLeone,LNG,2041,25.0
SierraLeone,LNG,2042,25.0
SierraLeone,LNG,2043,25.0
SierraLeone,LNG,2044,25.0
SierraLeone,LNG,2045,25.0
SierraLeone,LNG,2046,25.0
SierraLeone,LNG,2047,25.0
SierraLeone,LNG,2048,25.0
SierraLeone,LNG,2049,25.0
SierraLeone,LNG,2050,25.0
Togo,Gas,2025,2.0
Togo,Gas,2026,2.0
Togo,Gas,2027,2.0
Togo,Gas,2028,2.0
Togo,Gas,2029,2.0
Togo,Gas,2030,2.0
Togo,Gas,2031,2.0
Togo,Gas,2032,2.0
Togo,Gas,2033,2.0
Togo,Gas,2034,2.0
Togo,Gas,2035,2.0
Togo,Gas,2036,2.0
Togo,Gas,2037,2.0
Togo,Gas,2038,2.0
Togo,Gas,2039,2.0
Togo,Gas,2040,2.0
Togo,Gas,2041,2.0
Togo,Gas,2042,2.0
Togo,Gas,2043,2.0
Togo,Gas,2044,2.0
Togo,Gas,2045,2.0
Togo,Gas,2046,2.0
Togo,Gas,2047,2.0
Togo,Gas,2048,2.0
Togo,Gas,2049,2.0
Togo,Gas,2050,2.0
Togo,LNG,2025,1e-09
Togo,LNG,2026,1e-09
Togo,LNG,2027,1e-09
Togo,LNG,2028,1e-09
Togo,LNG,2029,1e-09
Togo,LNG,2030,1e-09
Togo,LNG,2031,1e-09
Togo,LNG,2032,1e-09
Togo,LNG,2033,1e-09
Togo,LNG,2034,1e-09
Togo,LNG,2035,1e-09
Togo,LNG,2036,1e-09
Togo,LNG,2037,1e-09
Togo,LNG,2038,1e-09
Togo,LNG,2039,1e-09
Togo,LNG,2040,1e-09
Togo,LNG,2041,1e-09
Togo,LNG,2042,1e-09
Togo,LNG,2043,1e-09
Togo,LNG,2044,1e-09
Togo,LNG,2045,1e-09
Togo,LNG,2046,1e-09
Togo,LNG,2047,1e-09
Togo,LNG,2048,1e-09
Togo,LNG,2049,1e-09
Togo,LNG,2050,1e-09
Mauritania,Gas,2025,25.0
Mauritania,Gas,2026,25.0
Mauritania,Gas,2027,25.0
Mauritania,Gas,2028,25.0
Mauritania,Gas,2029,25.0
Mauritania,Gas,2030,25.0
Mauritania,Gas,2031,25.0
Mauritania,Gas,2032,25.0
Mauritania,Gas,2033,25.0
Mauritania,Gas,2034,25.0
Mauritania,Gas,2035,25.0
Mauritania,Gas,2036,25.0
Mauritania,Gas,2037,25.0
Mauritania,Gas,2038,25.0
Mauritania,Gas,2039,25.0
Mauritania,Gas,2040,25.0
Mauritania,Gas,2041,25.0
Mauritania,Gas,2042,25.0
Mauritania,Gas,2043,25.0
Mauritania,Gas,2044,25.0
Mauritania,Gas,2045,25.0
Mauritania,Gas,2046,25.0
Mauritania,Gas,2047,25.0
