Scenarios,1987-9,1987-9,1987-9,1987-9,1987-9,1987-9,1987-9,1987-9,1987-9,1987-9,1987-9,1987-9,2001-39,2001-39,2001-39,2001-39,2001-39,2001-39,2001-39,2001-39,2001-39,2001-39,2001-39,2001-39,2011-17,2011-17,2011-17,2011-17,2011-17,2011-17,2011-17,2011-17,2011-17,2011-17,2011-17,2011-17,2011-58,2011-58,2011-58,2011-58,2011-58,2011-58,2011-58,2011-58,2011-58,2011-58,2011-58,2011-58,2014-41,2014-41,2014-41,2014-41,2014-41,2014-41,2014-41,2014-41,2014-41,2014-41,2014-41,2014-41
Month,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Fello Sounga,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.227,0.174,0.107,0.207,0.207,0.351,0.351,0.351,0.351,0.351,0.351,0.397,0.318,0.206,0.111,0.367,0.367,0.276,0.276,0.276,0.276,0.276,0.276,0.32,0.32,0.25,0.653,0.311,0.311,0.341,0.341,0.341,0.341,0.341,0.341,0.394,0.394,0.309,0.806,0.384,0.384,0.296,0.296,0.296,0.296,0.296,0.296,0.274,0.274,0.209,0.209,0.189,0.189
Farankonedou,0.168,0.168,0.168,0.168,0.168,0.168,0.253,0.253,0.505,0.715,0.142,0.142,0.184,0.184,0.184,0.184,0.184,0.184,0.5,0.5,0.925,0.925,0.175,0.175,0.202,0.202,0.202,0.202,0.202,0.202,0.306,0.284,0.81,0.831,0.186,0.186,0.25,0.25,0.25,0.25,0.25,0.25,0.378,0.351,0.999,1.026,0.229,0.229,0.14,0.14,0.14,0.14,0.14,0.14,0.102,0.279,0.558,0.914,0.14,0.14
Baneah,0.358,0.358,0.358,0.358,0.358,0.358,0.337,0.337,0.673,0.842,0.337,0.337,0.525,0.525,0.525,0.525,0.525,0.525,0.6,0.6,0.8,1,0.425,0.425,0.481,0.481,0.481,0.481,0.481,0.481,0.525,0.35,0.7,0.875,0.372,0.372,0.594,0.594,0.594,0.594,0.594,0.594,0.648,0.432,0.864,1.08,0.459,0.459,0.457,0.457,0.457,0.457,0.457,0.457,0.203,0.406,0.812,1.015,0.508,0.508
Poudalde,0.238,0.238,0.238,0.238,0.238,0.238,0.206,0.262,0.29,0.692,0.226,0.226,0.406,0.406,0.406,0.406,0.406,0.406,0.5,0.367,0.467,0.845,0.41,0.41,0.276,0.276,0.276,0.276,0.276,0.276,0.408,0.379,0.797,0.836,0.311,0.311,0.34,0.34,0.34,0.34,0.34,0.34,0.504,0.468,0.984,1.032,0.384,0.384,0.286,0.286,0.286,0.286,0.286,0.286,0.417,0.361,0.372,0.564,0.312,0.312
Nzebela,0.32,0.32,0.32,0.32,0.32,0.32,0.427,0.369,0.236,0.513,0.32,0.32,0.426,0.426,0.426,0.426,0.426,0.426,0.374,0.327,0.212,0.694,0.385,0.385,0.333,0.333,0.333,0.333,0.333,0.333,0.444,0.384,0.246,0.534,0.333,0.333,0.411,0.411,0.411,0.411,0.411,0.411,0.548,0.474,0.303,0.658,0.411,0.411,0.386,0.386,0.386,0.386,0.386,0.386,0.515,0.446,0.285,0.619,0.177,0.177
Tiopo,0.331,0.331,0.331,0.331,0.331,0.331,0.208,0.208,0.176,0.016,0.39,0.39,0.627,0.627,0.627,0.627,0.627,0.627,0.457,0.267,0.21,0.019,0.687,0.687,0.558,0.558,0.558,0.558,0.558,0.558,0.383,0.25,0.183,0,0.66,0.66,0.689,0.689,0.689,0.689,0.689,0.689,0.473,0.309,0.226,0,0.814,0.814,0.691,0.691,0.691,0.691,0.691,0.691,0.387,0.261,0.213,0.106,0.491,0.491
Niagara,0.202,0.202,0.202,0.202,0.202,0.202,0.219,0.306,0.361,0.109,0.201,0.201,0.265,0.265,0.265,0.265,0.265,0.265,0.182,0.338,0.649,0.455,0.273,0.273,0.277,0.277,0.277,0.277,0.277,0.277,0.261,0.273,0.341,0.614,0.223,0.223,0.342,0.342,0.342,0.342,0.342,0.342,0.323,0.337,0.421,0.757,0.275,0.275,0.252,0.252,0.252,0.252,0.252,0.252,0.145,0.303,0.409,0.87,0.274,0.274
Digan,0.176,0.176,0.176,0.176,0.176,0.176,0.231,0.312,0.747,0.122,0.178,0.178,0.234,0.234,0.234,0.234,0.234,0.234,0.194,0.355,0.92,0.484,0.246,0.246,0.254,0.254,0.254,0.254,0.254,0.254,0.268,0.282,0.734,0.663,0.196,0.196,0.314,0.314,0.314,0.314,0.314,0.314,0.331,0.348,0.906,0.819,0.242,0.242,0.225,0.225,0.225,0.225,0.225,0.225,0.164,0.311,0.868,0.933,0.244,0.244
Bonkon-Diaria,0.152,0.152,0.152,0.152,0.152,0.152,0.179,0.216,0.534,0.534,0.139,0.139,0.275,0.275,0.275,0.275,0.275,0.275,0.372,0.312,0.765,0.656,0.277,0.277,0.178,0.178,0.178,0.178,0.178,0.178,0.311,0.43,0.808,0.679,0.206,0.206,0.22,0.22,0.22,0.22,0.22,0.22,0.384,0.531,0.997,0.838,0.255,0.255,0.178,0.178,0.178,0.178,0.178,0.178,0.316,0.305,0.688,0.433,0.2,0.2
