Scenarios,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,high,high,high,high,high,high,high,high,high,high,high,high
Month,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Fello Sounga,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.256,0.196,0.121,0.234,0.234,0.32,0.32,0.32,0.32,0.32,0.32,0.362,0.29,0.188,0.101,0.335,0.335,0.328,0.328,0.328,0.328,0.328,0.328,0.379,0.379,0.297,0.775,0.369,0.369
Farankonedou,0.19,0.19,0.19,0.19,0.19,0.19,0.285,0.285,0.57,0.807,0.16,0.16,0.168,0.168,0.168,0.168,0.168,0.168,0.456,0.456,0.844,0.844,0.16,0.16,0.24,0.24,0.24,0.24,0.24,0.24,0.363,0.338,0.961,0.987,0.221,0.221
Baneah,0.403,0.403,0.403,0.403,0.403,0.403,0.38,0.38,0.76,0.949,0.38,0.38,0.479,0.479,0.479,0.479,0.479,0.479,0.547,0.547,0.73,0.912,0.388,0.388,0.571,0.571,0.571,0.571,0.571,0.571,0.623,0.415,0.831,1.038,0.441,0.441
Poudalde,0.269,0.269,0.269,0.269,0.269,0.269,0.232,0.295,0.327,0.781,0.254,0.254,0.37,0.37,0.37,0.37,0.37,0.37,0.456,0.334,0.426,0.77,0.374,0.374,0.327,0.327,0.327,0.327,0.327,0.327,0.485,0.45,0.946,0.992,0.369,0.369
Nzebela,0.361,0.361,0.361,0.361,0.361,0.361,0.481,0.417,0.266,0.579,0.361,0.361,0.388,0.388,0.388,0.388,0.388,0.388,0.341,0.298,0.193,0.633,0.351,0.351,0.395,0.395,0.395,0.395,0.395,0.395,0.526,0.456,0.291,0.633,0.395,0.395
Tiopo,0.373,0.373,0.373,0.373,0.373,0.373,0.235,0.235,0.199,0.018,0.44,0.44,0.572,0.572,0.572,0.572,0.572,0.572,0.417,0.243,0.191,0.017,0.627,0.627,0.663,0.663,0.663,0.663,0.663,0.663,0.455,0.297,0.218,0,0.783,0.783
Niagara,0.228,0.228,0.228,0.228,0.228,0.228,0.247,0.345,0.407,0.123,0.227,0.227,0.241,0.241,0.241,0.241,0.241,0.241,0.166,0.308,0.592,0.415,0.249,0.249,0.329,0.329,0.329,0.329,0.329,0.329,0.31,0.324,0.405,0.728,0.265,0.265
Digan,0.199,0.199,0.199,0.199,0.199,0.199,0.26,0.352,0.842,0.138,0.201,0.201,0.213,0.213,0.213,0.213,0.213,0.213,0.177,0.324,0.839,0.441,0.224,0.224,0.301,0.301,0.301,0.301,0.301,0.301,0.318,0.335,0.871,0.787,0.232,0.232
Bonkon-Diaria,0.171,0.171,0.171,0.171,0.171,0.171,0.202,0.244,0.602,0.602,0.157,0.157,0.251,0.251,0.251,0.251,0.251,0.251,0.339,0.284,0.698,0.598,0.253,0.253,0.211,0.211,0.211,0.211,0.211,0.211,0.369,0.511,0.959,0.806,0.245,0.245
Grand Chutes,0.534,0.534,0.534,0.534,0.534,0.534,0.848,0.848,0.848,0.848,0.572,0.572,0.59,0.59,0.59,0.59,0.59,0.59,0.814,0.814,0.814,0.814,0.55,0.55,0.709,0.709,0.709,0.709,0.709,0.709,0.927,0.927,0.927,0.927,0.682,0.682
Diallol,0.243,0.243,0.243,0.243,0.243,0.243,0.207,0.273,0.197,0.329,0.261,0.261,0.361,0.361,0.361,0.361,0.361,0.361,0.397,0.307,0.19,0.434,0.361,0.361,0.329,0.329,0.329,0.329,0.329,0.329,0.432,0.411,0.699,0.895,0.364,0.364
Amaria,0.312,0.312,0.312,0.312,0.312,0.312,0.223,0.223,0.504,0.454,0.331,0.331,0.463,0.463,0.463,0.463,0.463,0.463,0.388,0.354,0.487,0.547,0.47,0.47,0.424,0.424,0.424,0.424,0.424,0.424,0.423,0.601,0.839,0.987,0.472,0.472
Fetore,0.125,0.125,0.125,0.125,0.125,0.125,0.198,0.267,0.702,0.534,0.111,0.111,0.201,0.201,0.201,0.201,0.201,0.201,0.361,0.295,0.751,0.523,0.202,0.202,0.172,0.172,0.172,0.172,0.172,0.172,0.4,0.649,0.984,0.703,0.214,0.214
Kaleta,0.383,0.383,0.383,0.383,0.383,0.383,0.289,0.344,0.281,0.265,0.419,0.419,0.553,0.553,0.553,0.553,0.553,0.553,0.54,0.391,0.251,0.399,0.561,0.561,0.567,0.567,0.567,0.567,0.567,0.567,0.588,0.537,0.705,0.987,0.544,0.544
Koukoutamba,0.248,0.248,0.248,0.248,0.248,0.248,0.251,0.353,0.312,0.132,0.247,0.247,0.262,0.262,0.262,0.262,0.262,0.262,0.176,0.316,0.505,0.424,0.269,0.269,0.353,0.353,0.353,0.353,0.353,0.353,0.312,0.334,0.297,0.76,0.286,0.286
Donkea,0.578,0.578,0.578,0.578,0.578,0.578,0.886,0.886,0.886,0.886,0.617,0.617,0.654,0.654,0.654,0.654,0.654,0.654,0.851,0.851,0.851,0.851,0.601,0.601,0.788,0.788,0.788,0.788,0.788,0.788,0.969,0.969,0.969,0.969,0.753,0.753
Fomi,0.403,0.403,0.403,0.403,0.403,0.403,0.338,0.327,0.2,0.19,0.381,0.381,0.375,0.375,0.375,0.375,0.375,0.375,0.568,0.416,0.831,0.872,0.366,0.366,0.506,0.506,0.506,0.506,0.506,0.506,0.45,0.392,0.219,0.992,0.454,0.454
Garafiri,0.283,0.283,0.283,0.283,0.283,0.283,0.228,0.291,0.203,0.076,0.332,0.332,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.328,0.195,0.073,0.461,0.461,0.457,0.457,0.457,0.457,0.457,0.457,0.471,0.429,0.277,0.942,0.453,0.453
Guozoguezia,0.516,0.516,0.516,0.516,0.516,0.516,0.563,0.399,0.281,0.633,0.516,0.516,0.529,0.529,0.529,0.529,0.529,0.529,0.372,0.282,0.191,0.709,0.483,0.483,0.564,0.564,0.564,0.564,0.564,0.564,0.615,0.436,0.308,0.692,0.564,0.564
Hakkunde-Mitti,0.201,0.201,0.201,0.201,0.201,0.201,0.214,0.276,0.199,0.475,0.199,0.199,0.294,0.294,0.294,0.294,0.294,0.294,0.383,0.309,0.191,0.559,0.294,0.294,0.27,0.27,0.27,0.27,0.27,0.27,0.419,0.402,0.871,0.754,0.316,0.316
Korafindi,0.294,0.294,0.294,0.294,0.294,0.294,0.225,0.253,0.197,0.113,0.344,0.344,0.45,0.45,0.45,0.45,0.45,0.45,0.399,0.27,0.189,0.277,0.465,0.465,0.433,0.433,0.433,0.433,0.433,0.433,0.438,0.354,0.554,0.985,0.473,0.473
Souapiti,0.366,0.366,0.366,0.366,0.366,0.366,0.256,0.288,0.202,0.236,0.404,0.404,0.528,0.528,0.528,0.528,0.528,0.528,0.47,0.317,0.194,0.378,0.537,0.537,0.543,0.543,0.543,0.543,0.543,0.543,0.512,0.424,0.623,0.986,0.523,0.523
Kogebedou,0.357,0.357,0.357,0.357,0.357,0.357,0.185,0.197,0.197,0.208,0.35,0.35,0.435,0.435,0.435,0.435,0.435,0.435,0.178,0.189,0.834,0.868,0.423,0.423,0.475,0.475,0.475,0.475,0.475,0.475,0.203,0.215,0.215,0.342,0.524,0.524
Diareguela,0.302,0.302,0.302,0.302,0.302,0.302,0.123,0.259,0.197,0,0.33,0.33,0.477,0.477,0.477,0.477,0.477,0.477,0.261,0.32,0.19,0.19,0.447,0.447,0.521,0.521,0.521,0.521,0.521,0.521,0.189,0.297,0.216,0,0.383,0.383
Kouravel,0.178,0.178,0.178,0.178,0.178,0.178,0.199,0.275,0.37,0.56,0.165,0.165,0.258,0.258,0.258,0.258,0.258,0.258,0.374,0.301,0.447,0.556,0.259,0.259,0.219,0.219,0.219,0.219,0.219,0.219,0.405,0.395,0.976,0.748,0.253,0.253
Kassa,0.195,0.195,0.195,0.195,0.195,0.195,0.115,0.253,0.199,0.054,0.208,0.208,0.409,0.409,0.409,0.409,0.409,0.409,0.383,0.272,0.191,0.412,0.419,0.419,0.38,0.38,0.38,0.38,0.38,0.38,0.335,0.301,0.218,0.184,0.425,0.425
Morisanako,0.239,0.239,0.239,0.239,0.239,0.239,0.188,0.316,0.198,0.9,0.325,0.325,0.359,0.359,0.359,0.359,0.359,0.359,0.456,0.333,0.504,0.865,0.428,0.428,0.362,0.362,0.362,0.362,0.362,0.362,0.346,0.368,0.617,0.984,0.418,0.418
Grand Kinkon,0.087,0.087,0.087,0.087,0.087,0.087,0.212,0.362,0.905,0.552,0.073,0.073,0.165,0.165,0.165,0.165,0.165,0.165,0.386,0.704,0.798,0.543,0.167,0.167,0.119,0.119,0.119,0.119,0.119,0.119,0.415,0.99,0.99,0.729,0.15,0.15
Boureya,0.295,0.295,0.295,0.295,0.295,0.295,0.302,0.411,0.72,0.169,0.295,0.295,0.315,0.315,0.315,0.315,0.315,0.315,0.209,0.366,0.837,0.558,0.325,0.325,0.432,0.432,0.432,0.432,0.432,0.432,0.384,0.384,0.721,0.986,0.343,0.343
