Scenarios,2011-38,2011-38,2011-38,2011-38,2011-38,2011-38,2011-38,2011-38,2011-38,2011-38,2011-38,2011-38,2014-38,2014-38,2014-38,2014-38,2014-38,2014-38,2014-38,2014-38,2014-38,2014-38,2014-38,2014-38,min,min,min,min,min,min,min,min,min,min,min,min,max,max,max,max,max,max,max,max,max,max,max,max
Month,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Fello Sounga,0.315,0.315,0.315,0.315,0.315,0.315,0.364,0.364,0.285,0.744,0.354,0.354,0.291,0.291,0.291,0.291,0.291,0.291,0.269,0.269,0.206,0.206,0.186,0.186,0.167,0.167,0.167,0.167,0.167,0.167,0.189,0.208,0.148,0.175,0.169,0.169,0.389,0.389,0.389,0.389,0.389,0.389,0.448,0.456,0.543,0.837,0.399,0.399
Farankonedou,0.231,0.231,0.231,0.231,0.231,0.231,0.349,0.324,0.922,0.947,0.212,0.212,0.137,0.137,0.137,0.137,0.137,0.137,0.1,0.274,0.548,0.897,0.137,0.137,0.114,0.114,0.114,0.114,0.114,0.114,0.167,0.206,0.391,0.463,0.119,0.119,0.237,0.237,0.237,0.237,0.237,0.237,0.388,0.397,0.898,0.92,0.213,0.213
Baneah,0.548,0.548,0.548,0.548,0.548,0.548,0.598,0.399,0.798,0.997,0.424,0.424,0.449,0.449,0.449,0.449,0.449,0.449,0.199,0.399,0.798,0.997,0.499,0.499,0.281,0.281,0.281,0.281,0.281,0.281,0.279,0.333,0.397,0.578,0.288,0.288,0.567,0.567,0.567,0.567,0.567,0.567,0.717,0.754,0.96,1.19,0.567,0.567
Poudalde,0.314,0.314,0.314,0.314,0.314,0.314,0.465,0.432,0.909,0.953,0.355,0.355,0.281,0.281,0.281,0.281,0.281,0.281,0.41,0.355,0.366,0.554,0.306,0.306,0.197,0.197,0.197,0.197,0.197,0.197,0.23,0.236,0.308,0.388,0.2,0.2,0.416,0.416,0.416,0.416,0.416,0.416,0.57,0.508,1.019,1.098,0.415,0.415
Nzebela,0.379,0.379,0.379,0.379,0.379,0.379,0.506,0.438,0.28,0.608,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.506,0.438,0.28,0.608,0.174,0.174,0.247,0.247,0.247,0.247,0.247,0.247,0.3,0.251,0.188,0.375,0.247,0.247,0.468,0.468,0.468,0.468,0.468,0.468,0.567,0.476,0.325,0.762,0.456,0.456
Tiopo,0.636,0.636,0.636,0.636,0.636,0.636,0.437,0.285,0.209,0.0,0.751,0.751,0.679,0.679,0.679,0.679,0.679,0.679,0.38,0.256,0.209,0.104,0.482,0.482,0.349,0.349,0.349,0.349,0.349,0.349,0.222,0.171,0.136,0.06,0.336,0.336,0.782,0.782,0.782,0.782,0.782,0.782,0.534,0.341,0.254,0.023,0.879,0.879
Niagara,0.316,0.316,0.316,0.316,0.316,0.316,0.298,0.311,0.389,0.699,0.254,0.254,0.248,0.248,0.248,0.248,0.248,0.248,0.142,0.298,0.401,0.855,0.269,0.269,0.137,0.137,0.137,0.137,0.137,0.137,0.18,0.205,0.275,0.278,0.151,0.151,0.315,0.315,0.315,0.315,0.315,0.315,0.363,0.424,0.774,0.895,0.316,0.316
Digan,0.29,0.29,0.29,0.29,0.29,0.29,0.306,0.322,0.836,0.756,0.223,0.223,0.221,0.221,0.221,0.221,0.221,0.221,0.161,0.306,0.852,0.917,0.239,0.239,0.128,0.128,0.128,0.128,0.128,0.128,0.19,0.213,0.386,0.358,0.138,0.138,0.281,0.281,0.281,0.281,0.281,0.281,0.385,0.442,1.039,0.94,0.284,0.284
Bonkon-Diaria,0.203,0.203,0.203,0.203,0.203,0.203,0.354,0.49,0.921,0.774,0.235,0.235,0.175,0.175,0.175,0.175,0.175,0.175,0.311,0.3,0.676,0.425,0.196,0.196,0.126,0.126,0.126,0.126,0.126,0.126,0.183,0.211,0.409,0.354,0.129,0.129,0.273,0.273,0.273,0.273,0.273,0.273,0.44,0.56,1.078,0.918,0.272,0.272
Grand Chutes,0.681,0.681,0.681,0.681,0.681,0.681,0.89,0.89,0.89,0.89,0.654,0.654,0.641,0.641,0.641,0.641,0.641,0.641,0.89,0.89,0.89,0.89,0.659,0.659,0.382,0.382,0.382,0.382,0.382,0.382,0.548,0.579,0.579,0.576,0.392,0.392,0.781,0.781,0.781,0.781,0.781,0.781,1.069,1.083,1.083,1.083,0.782,0.782
Diallol,0.316,0.316,0.316,0.316,0.316,0.316,0.415,0.395,0.671,0.859,0.349,0.349,0.286,0.286,0.286,0.286,0.286,0.286,0.355,0.336,0.207,0.158,0.307,0.307,0.193,0.193,0.193,0.193,0.193,0.193,0.205,0.218,0.189,0.251,0.192,0.192,0.411,0.411,0.411,0.411,0.411,0.411,0.504,0.465,0.757,0.943,0.411,0.411
Amaria,0.407,0.407,0.407,0.407,0.407,0.407,0.406,0.577,0.805,0.947,0.453,0.453,0.367,0.367,0.367,0.367,0.367,0.367,0.357,0.33,0.529,0.301,0.384,0.384,0.246,0.246,0.246,0.246,0.246,0.246,0.209,0.226,0.352,0.337,0.246,0.246,0.528,0.528,0.528,0.528,0.528,0.528,0.516,0.632,0.906,1.072,0.53,0.53
Fetore,0.165,0.165,0.165,0.165,0.165,0.165,0.384,0.623,0.945,0.675,0.205,0.205,0.143,0.143,0.143,0.143,0.143,0.143,0.28,0.27,0.291,0.27,0.158,0.158,0.092,0.092,0.092,0.092,0.092,0.092,0.194,0.25,0.469,0.297,0.097,0.097,0.221,0.221,0.221,0.221,0.221,0.221,0.461,0.758,1.116,0.892,0.218,0.218
Kaleta,0.545,0.545,0.545,0.545,0.545,0.545,0.565,0.515,0.677,0.947,0.523,0.523,0.493,0.493,0.493,0.493,0.493,0.493,0.494,0.287,0.266,0.104,0.42,0.42,0.295,0.295,0.295,0.295,0.295,0.295,0.281,0.274,0.217,0.245,0.297,0.297,0.641,0.641,0.641,0.641,0.641,0.641,0.669,0.63,0.819,1.004,0.652,0.652
Koukoutamba,0.339,0.339,0.339,0.339,0.339,0.339,0.299,0.321,0.285,0.73,0.274,0.274,0.27,0.27,0.27,0.27,0.27,0.27,0.15,0.296,0.306,0.887,0.292,0.292,0.148,0.148,0.148,0.148,0.148,0.148,0.185,0.208,0.252,0.266,0.163,0.163,0.34,0.34,0.34,0.34,0.34,0.34,0.373,0.431,0.692,0.906,0.343,0.343
Donkea,0.756,0.756,0.756,0.756,0.756,0.756,0.931,0.931,0.931,0.931,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.931,0.931,0.931,0.931,0.723,0.723,0.42,0.42,0.42,0.42,0.42,0.42,0.574,0.605,0.605,0.603,0.429,0.429,0.86,0.86,0.86,0.86,0.86,0.86,1.117,1.133,1.133,1.133,0.863,0.863
Fomi,0.486,0.486,0.486,0.486,0.486,0.486,0.432,0.377,0.211,0.953,0.436,0.436,0.366,0.366,0.366,0.366,0.366,0.366,0.122,0.31,0.211,0.177,0.35,0.35,0.248,0.248,0.248,0.248,0.248,0.248,0.2,0.228,0.174,0.223,0.246,0.246,0.495,0.495,0.495,0.495,0.495,0.495,0.477,0.431,0.357,0.838,0.443,0.443
Garafiri,0.439,0.439,0.439,0.439,0.439,0.439,0.452,0.412,0.266,0.904,0.435,0.435,0.419,0.419,0.419,0.419,0.419,0.419,0.293,0.386,0.213,0.066,0.389,0.389,0.241,0.241,0.241,0.241,0.241,0.241,0.219,0.228,0.149,0.155,0.227,0.227,0.515,0.515,0.515,0.515,0.515,0.515,0.517,0.499,0.474,0.793,0.533,0.533
Guozoguezia,0.542,0.542,0.542,0.542,0.542,0.542,0.591,0.419,0.295,0.665,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.591,0.419,0.295,0.665,0.416,0.416,0.35,0.35,0.35,0.35,0.35,0.35,0.342,0.239,0.197,0.407,0.349,0.349,0.664,0.664,0.664,0.664,0.664,0.664,0.642,0.447,0.337,0.827,0.647,0.647
Hakkunde-Mitti,0.259,0.259,0.259,0.259,0.259,0.259,0.402,0.386,0.836,0.724,0.304,0.304,0.237,0.237,0.237,0.237,0.237,0.237,0.29,0.273,0.209,0.193,0.193,0.193,0.151,0.151,0.151,0.151,0.151,0.151,0.204,0.216,0.237,0.258,0.155,0.155,0.339,0.339,0.339,0.339,0.339,0.339,0.485,0.528,0.939,0.919,0.336,0.336
