Scenarios,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,high,high,high,high,high,high,high,high,high,high,high,high
Grand Chutes,0.598,0.598,0.598,0.598,0.598,0.598,0.893,0.893,0.893,0.893,0.674,0.674,0.643,0.643,0.643,0.643,0.643,0.643,0.893,0.893,0.893,0.893,0.661,0.661,0.594,0.594,0.594,0.594,0.594,0.594,0.893,0.893,0.893,0.893,0.585,0.585
Diallol,0.307,0.307,0.307,0.307,0.307,0.307,0.297,0.347,0.337,0.614,0.292,0.292,0.287,0.287,0.287,0.287,0.287,0.287,0.356,0.337,0.208,0.158,0.308,0.308,0.358,0.358,0.358,0.358,0.358,0.358,0.307,0.396,0.861,0.861,0.332,0.332
Amaria,0.393,0.393,0.393,0.393,0.393,0.393,0.299,0.334,0.715,0.749,0.374,0.374,0.368,0.368,0.368,0.368,0.368,0.368,0.358,0.331,0.531,0.301,0.385,0.385,0.453,0.453,0.453,0.453,0.453,0.453,0.308,0.512,0.808,0.95,0.427,0.427
Fetore,0.16,0.16,0.16,0.16,0.16,0.16,0.323,0.542,0.948,0.417,0.158,0.158,0.143,0.143,0.143,0.143,0.143,0.143,0.281,0.271,0.292,0.271,0.159,0.159,0.194,0.194,0.194,0.194,0.194,0.194,0.281,0.562,0.948,0.677,0.168,0.168
Kaleta,0.51,0.51,0.51,0.51,0.51,0.51,0.471,0.379,0.296,0.579,0.459,0.459,0.494,0.494,0.494,0.494,0.494,0.494,0.496,0.288,0.267,0.104,0.421,0.421,0.544,0.544,0.544,0.544,0.544,0.544,0.417,0.517,0.925,0.95,0.502,0.502
Koukoutamba,0.203,0.203,0.203,0.203,0.203,0.203,0.25,0.318,0.211,0.668,0.278,0.278,0.271,0.271,0.271,0.271,0.271,0.271,0.15,0.296,0.307,0.889,0.292,0.292,0.273,0.273,0.273,0.273,0.273,0.273,0.314,0.332,0.275,0.764,0.263,0.263
Donkea,0.65,0.65,0.65,0.65,0.65,0.65,0.933,0.933,0.933,0.933,0.742,0.742,0.725,0.725,0.725,0.725,0.725,0.725,0.933,0.933,0.933,0.933,0.725,0.725,0.658,0.658,0.658,0.658,0.658,0.658,0.933,0.933,0.933,0.933,0.65,0.65
Fomi,0.438,0.438,0.438,0.438,0.438,0.438,0.233,0.344,0.211,0.556,0.414,0.414,0.367,0.367,0.367,0.367,0.367,0.367,0.122,0.311,0.211,0.178,0.351,0.351,0.41,0.41,0.41,0.41,0.41,0.41,0.433,0.389,0.211,0.733,0.385,0.385
Garafiri,0.418,0.418,0.418,0.418,0.418,0.418,0.44,0.347,0.213,0.547,0.382,0.382,0.42,0.42,0.42,0.42,0.42,0.42,0.293,0.387,0.213,0.067,0.39,0.39,0.412,0.412,0.412,0.412,0.412,0.412,0.333,0.413,0.467,0.907,0.43,0.43
Guozoguezia,0.585,0.585,0.585,0.585,0.585,0.585,0.519,0.296,0.21,0.642,0.647,0.647,0.543,0.543,0.543,0.543,0.543,0.543,0.593,0.42,0.296,0.667,0.417,0.417,0.605,0.605,0.605,0.605,0.605,0.605,0.506,0.321,0.21,0.951,0.619,0.619
Hakkunde-Mitti,0.256,0.256,0.256,0.256,0.256,0.256,0.339,0.371,0.758,0.452,0.25,0.25,0.238,0.238,0.238,0.238,0.238,0.238,0.29,0.274,0.21,0.194,0.194,0.194,0.296,0.296,0.296,0.296,0.296,0.296,0.29,0.387,0.935,0.726,0.266,0.266
Korafindi,0.402,0.402,0.402,0.402,0.402,0.402,0.304,0.304,0.207,0.578,0.387,0.387,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.296,0.207,0.178,0.375,0.375,0.43,0.43,0.43,0.43,0.43,0.43,0.311,0.341,0.726,0.948,0.432,0.432
Souapiti,0.491,0.491,0.491,0.491,0.491,0.491,0.411,0.314,0.213,0.56,0.443,0.443,0.477,0.477,0.477,0.477,0.477,0.477,0.432,0.251,0.213,0.051,0.404,0.404,0.518,0.518,0.518,0.518,0.518,0.518,0.364,0.408,0.832,0.949,0.485,0.485
Kogebedou,0.5,0.5,0.5,0.5,0.5,0.5,0.195,0.207,0.207,0.22,0.409,0.409,0.418,0.418,0.418,0.418,0.418,0.418,0.098,0.207,0.207,0.22,0.3,0.3,0.473,0.473,0.473,0.473,0.473,0.473,0.195,0.207,0.207,0.22,0.436,0.436
