Scenarios,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,high,high,high,high,high,high,high,high,high,high,high,high
Korafindi,0.225,0.225,0.225,0.225,0.225,0.225,0.422,0.304,0.763,0.437,0.229,0.229,0.269,0.269,0.269,0.269,0.269,0.269,0.407,0.304,0.911,0.904,0.236,0.236,0.242,0.242,0.242,0.242,0.242,0.242,0.422,0.644,0.911,0.948,0.29,0.29
Souapiti,0.492,0.492,0.492,0.492,0.492,0.492,0.495,0.356,0.213,0.166,0.394,0.394,0.458,0.458,0.458,0.458,0.458,0.458,0.48,0.352,0.213,0.526,0.491,0.491,0.523,0.523,0.523,0.523,0.523,0.523,0.493,0.408,0.6,0.949,0.504,0.504
Kogebedou,0.283,0.283,0.283,0.283,0.283,0.283,0.195,0.207,0.378,0.585,0.291,0.291,0.218,0.218,0.218,0.218,0.218,0.218,0.195,0.439,0.915,0.89,0.268,0.268,0.329,0.329,0.329,0.329,0.329,0.329,0.195,0.207,0.915,0.951,0.273,0.273
Diareguela,0.165,0.165,0.165,0.165,0.165,0.165,0.156,0.286,0.442,0.948,0.385,0.385,0.229,0.229,0.229,0.229,0.229,0.229,0.156,0.351,0.39,0.948,0.302,0.302,0.323,0.323,0.323,0.323,0.323,0.323,0.182,0.286,0.208,0.948,0.222,0.222
Kouravel,0.108,0.108,0.108,0.108,0.108,0.108,0.39,0.55,0.61,0.32,0.121,0.121,0.15,0.15,0.15,0.15,0.15,0.15,0.38,0.52,0.92,0.66,0.126,0.126,0.13,0.13,0.13,0.13,0.13,0.13,0.39,0.86,0.94,0.72,0.166,0.166
Kassa,0.183,0.183,0.183,0.183,0.183,0.183,0.25,0.306,0.532,0.71,0.316,0.316,0.226,0.226,0.226,0.226,0.226,0.226,0.282,0.298,0.21,0.871,0.264,0.264,0.226,0.226,0.226,0.226,0.226,0.226,0.323,0.29,0.524,0.952,0.249,0.249
Morisanako,0.205,0.205,0.205,0.205,0.205,0.205,0.323,0.333,0.677,0.573,0.234,0.234,0.199,0.199,0.199,0.199,0.199,0.199,0.104,0.344,0.917,0.948,0.22,0.22,0.191,0.191,0.191,0.191,0.191,0.191,0.333,0.354,0.917,0.948,0.258,0.258
Grand Kinkon,0.056,0.056,0.056,0.056,0.056,0.056,0.46,0.907,0.609,0.312,0.077,0.077,0.105,0.105,0.105,0.105,0.105,0.105,0.442,0.888,0.907,0.642,0.08,0.08,0.087,0.087,0.087,0.087,0.087,0.087,0.456,0.953,0.953,0.702,0.122,0.122
Boureya,0.12,0.12,0.12,0.12,0.12,0.12,0.287,0.261,0.713,0.637,0.356,0.356,0.275,0.275,0.275,0.275,0.275,0.275,0.223,0.229,0.21,0.185,0.271,0.271,0.411,0.411,0.411,0.411,0.411,0.411,0.306,0.261,0.675,0.936,0.326,0.326
DIESEL_HFO,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
New_HFO,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
PV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Karpowership_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kipe_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
GDE_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum5,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum3_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum1_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum2_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Te_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
BESS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
