Scenarios,1987-4,1987-4,1987-4,1987-4,1987-4,1987-4,1987-4,1987-4,1987-4,1987-4,1987-4,1987-4,1992-57,1992-57,1992-57,1992-57,1992-57,1992-57,1992-57,1992-57,1992-57,1992-57,1992-57,1992-57,1994-83,1994-83,1994-83,1994-83,1994-83,1994-83,1994-83,1994-83,1994-83,1994-83,1994-83,1994-83,2001-58,2001-58,2001-58,2001-58,2001-58,2001-58,2001-58,2001-58,2001-58,2001-58,2001-58,2001-58,2007-72,2007-72,2007-72,2007-72,2007-72,2007-72,2007-72,2007-72,2007-72,2007-72,2007-72,2007-72,2008-10,2008-10,2008-10,2008-10,2008-10,2008-10,2008-10,2008-10,2008-10,2008-10,2008-10,2008-10,2011-20,2011-20,2011-20,2011-20,2011-20,2011-20,2011-20,2011-20,2011-20,2011-20,2011-20,2011-20,2011-42,2011-42,2011-42,2011-42,2011-42,2011-42,2011-42,2011-42,2011-42,2011-42,2011-42,2011-42,2014-20,2014-20,2014-20,2014-20,2014-20,2014-20,2014-20,2014-20,2014-20,2014-20,2014-20,2014-20,2014-45,2014-45,2014-45,2014-45,2014-45,2014-45,2014-45,2014-45,2014-45,2014-45,2014-45,2014-45
Month,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Fello Sounga,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.19,0.145,0.089,0.173,0.173,0.312,0.312,0.312,0.312,0.312,0.312,0.479,0.359,0.222,0.581,0.323,0.323,0.33,0.33,0.33,0.33,0.33,0.33,0.364,0.401,0.437,1.093,0.319,0.319,0.379,0.379,0.379,0.379,0.379,0.379,0.429,0.343,0.223,0.12,0.396,0.396,0.349,0.349,0.349,0.349,0.349,0.349,0.316,0.387,0.228,0.193,0.303,0.303,0.234,0.234,0.234,0.234,0.234,0.234,0.271,0.339,0.311,0.596,0.3,0.3,0.279,0.279,0.279,0.279,0.279,0.279,0.323,0.323,0.253,0.66,0.314,0.314,0.324,0.324,0.324,0.324,0.324,0.324,0.375,0.375,0.294,0.767,0.365,0.365,0.258,0.258,0.258,0.258,0.258,0.258,0.239,0.239,0.183,0.183,0.165,0.165,0.304,0.304,0.304,0.304,0.304,0.304,0.281,0.281,0.215,0.215,0.194,0.194
Farankonedou,0.14,0.14,0.14,0.14,0.14,0.14,0.211,0.211,0.421,0.597,0.119,0.119,0.205,0.205,0.205,0.205,0.205,0.205,0.377,0.35,0.727,0.538,0.195,0.195,0.229,0.229,0.229,0.229,0.229,0.229,0.258,0.287,0.918,1.09,0.312,0.312,0.199,0.199,0.199,0.199,0.199,0.199,0.54,0.54,0.999,0.999,0.189,0.189,0.218,0.218,0.218,0.218,0.218,0.218,0.028,0.36,0.664,0.803,0.235,0.235,0.181,0.181,0.181,0.181,0.181,0.181,0.149,0.341,0.789,0.811,0.131,0.131,0.205,0.205,0.205,0.205,0.205,0.205,0.31,0.288,0.818,0.84,0.188,0.188,0.238,0.238,0.238,0.238,0.238,0.238,0.36,0.334,0.951,0.977,0.218,0.218,0.122,0.122,0.122,0.122,0.122,0.122,0.088,0.243,0.487,0.796,0.122,0.122,0.143,0.143,0.143,0.143,0.143,0.143,0.104,0.286,0.573,0.937,0.143,0.143
Baneah,0.298,0.298,0.298,0.298,0.298,0.298,0.281,0.281,0.562,0.702,0.281,0.281,0.431,0.431,0.431,0.431,0.431,0.431,0.646,0.431,0.861,1.077,0.431,0.431,0.43,0.43,0.43,0.43,0.43,0.43,0.688,0.688,0.918,1.147,0.545,0.545,0.567,0.567,0.567,0.567,0.567,0.567,0.648,0.648,0.864,1.08,0.459,0.459,0.553,0.553,0.553,0.553,0.553,0.553,0.443,0.664,0.886,1.107,0.498,0.498,0.384,0.384,0.384,0.384,0.384,0.384,0.683,0.683,0.683,0.853,0.405,0.405,0.487,0.487,0.487,0.487,0.487,0.487,0.531,0.354,0.708,0.885,0.376,0.376,0.566,0.566,0.566,0.566,0.566,0.566,0.617,0.411,0.823,1.028,0.437,0.437,0.398,0.398,0.398,0.398,0.398,0.398,0.177,0.354,0.708,0.885,0.442,0.442,0.469,0.469,0.469,0.469,0.469,0.469,0.208,0.417,0.833,1.042,0.521,0.521
Poudalde,0.199,0.199,0.199,0.199,0.199,0.199,0.172,0.218,0.242,0.577,0.188,0.188,0.33,0.33,0.33,0.33,0.33,0.33,0.598,0.407,0.981,0.957,0.333,0.333,0.387,0.387,0.387,0.387,0.387,0.387,0.561,0.472,1.045,1.058,0.373,0.373,0.438,0.438,0.438,0.438,0.438,0.438,0.54,0.396,0.504,0.912,0.442,0.442,0.383,0.383,0.383,0.383,0.383,0.383,0.406,0.418,0.234,0.64,0.323,0.323,0.249,0.249,0.249,0.249,0.249,0.249,0.322,0.332,0.55,0.711,0.282,0.282,0.279,0.279,0.279,0.279,0.279,0.279,0.413,0.383,0.806,0.845,0.315,0.315,0.324,0.324,0.324,0.324,0.324,0.324,0.48,0.446,0.937,0.983,0.366,0.366,0.249,0.249,0.249,0.249,0.249,0.249,0.364,0.315,0.324,0.492,0.272,0.272,0.294,0.294,0.294,0.294,0.294,0.294,0.428,0.37,0.382,0.579,0.32,0.32
Nzebela,0.267,0.267,0.267,0.267,0.267,0.267,0.356,0.308,0.197,0.428,0.267,0.267,0.41,0.41,0.41,0.41,0.41,0.41,0.546,0.472,0.302,0.656,0.41,0.41,0.437,0.437,0.437,0.437,0.437,0.437,0.582,0.504,0.322,0.7,0.158,0.158,0.46,0.46,0.46,0.46,0.46,0.46,0.404,0.353,0.229,0.749,0.416,0.416,0.421,0.421,0.421,0.421,0.421,0.421,0.625,0.449,0.855,1.052,0.416,0.416,0.321,0.321,0.321,0.321,0.321,0.321,0.433,0.374,0.239,0.52,0.325,0.325,0.337,0.337,0.337,0.337,0.337,0.337,0.449,0.388,0.248,0.539,0.337,0.337,0.391,0.391,0.391,0.391,0.391,0.391,0.521,0.451,0.288,0.627,0.391,0.391,0.337,0.337,0.337,0.337,0.337,0.337,0.449,0.388,0.248,0.539,0.154,0.154,0.396,0.396,0.396,0.396,0.396,0.396,0.528,0.457,0.292,0.635,0.182,0.182
Tiopo,0.276,0.276,0.276,0.276,0.276,0.276,0.174,0.174,0.147,0.013,0.325,0.325,0.61,0.61,0.61,0.61,0.61,0.61,0.543,0.287,0.226,0,0.709,0.709,0.628,0.628,0.628,0.628,0.628,0.628,0.525,0.317,0.24,0,0.837,0.837,0.678,0.678,0.678,0.678,0.678,0.678,0.494,0.288,0.226,0.021,0.742,0.742,0.899,0.899,0.899,0.899,0.899,0.899,0.39,0.295,0.232,0.105,0.498,0.498,0.384,0.384,0.384,0.384,0.384,0.384,0.309,0.236,0.179,0.016,0.52,0.52,0.565,0.565,0.565,0.565,0.565,0.565,0.388,0.253,0.185,0,0.667,0.667,0.656,0.656,0.656,0.656,0.656,0.656,0.45,0.294,0.215,0,0.775,0.775,0.602,0.602,0.602,0.602,0.602,0.602,0.337,0.228,0.185,0.093,0.428,0.428,0.709,0.709,0.709,0.709,0.709,0.709,0.397,0.268,0.218,0.109,0.503,0.503
Niagara,0.169,0.169,0.169,0.169,0.169,0.169,0.182,0.255,0.301,0.091,0.168,0.168,0.114,0.114,0.114,0.114,0.114,0.114,0.168,0.294,0.224,0.056,0.252,0.252,0.244,0.244,0.244,0.244,0.244,0.244,0.298,0.402,0.969,1.088,0.309,0.309,0.286,0.286,0.286,0.286,0.286,0.286,0.196,0.365,0.701,0.491,0.295,0.295,0.264,0.264,0.264,0.264,0.264,0.264,0.23,0.388,0.618,0.618,0.288,0.288,0.222,0.222,0.222,0.222,0.222,0.222,0.532,0.344,0.576,0.51,0.229,0.229,0.28,0.28,0.28,0.28,0.28,0.28,0.264,0.276,0.345,0.62,0.225,0.225,0.325,0.325,0.325,0.325,0.325,0.325,0.307,0.32,0.401,0.721,0.262,0.262,0.22,0.22,0.22,0.22,0.22,0.22,0.126,0.264,0.356,0.758,0.238,0.238,0.259,0.259,0.259,0.259,0.259,0.259,0.149,0.311,0.419,0.893,0.281,0.281
Digan,0.147,0.147,0.147,0.147,0.147,0.147,0.193,0.261,0.623,0.102,0.149,0.149,0.135,0.135,0.135,0.135,0.135,0.135,0.174,0.295,0.226,0.295,0.247,0.247,0.204,0.204,0.204,0.204,0.204,0.204,0.315,0.407,1.055,1.092,0.28,0.28,0.253,0.253,0.253,0.253,0.253,0.253,0.209,0.383,0.993,0.523,0.266,0.266,0.237,0.237,0.237,0.237,0.237,0.237,0.25,0.411,1.018,0.661,0.259,0.259,0.2,0.2,0.2,0.2,0.2,0.2,0.564,0.509,0.784,0.55,0.203,0.203,0.257,0.257,0.257,0.257,0.257,0.257,0.271,0.285,0.742,0.671,0.198,0.198,0.299,0.299,0.299,0.299,0.299,0.299,0.315,0.332,0.862,0.779,0.23,0.23,0.196,0.196,0.196,0.196,0.196,0.196,0.143,0.271,0.756,0.813,0.212,0.212,0.231,0.231,0.231,0.231,0.231,0.231,0.168,0.319,0.89,0.958,0.25,0.25
Bonkon-Diaria,0.127,0.127,0.127,0.127,0.127,0.127,0.15,0.18,0.445,0.445,0.116,0.116,0.212,0.212,0.212,0.212,0.212,0.212,0.453,0.347,0.994,0.741,0.213,0.213,0.255,0.255,0.255,0.255,0.255,0.255,0.42,0.451,1.06,0.821,0.238,0.238,0.297,0.297,0.297,0.297,0.297,0.297,0.401,0.336,0.826,0.708,0.3,0.3,0.251,0.251,0.251,0.251,0.251,0.251,0.321,0.345,0.46,0.653,0.203,0.203,0.157,0.157,0.157,0.157,0.157,0.157,0.252,0.28,0.755,0.55,0.184,0.184,0.18,0.18,0.18,0.18,0.18,0.18,0.314,0.435,0.817,0.687,0.208,0.208,0.209,0.209,0.209,0.209,0.209,0.209,0.365,0.506,0.95,0.798,0.242,0.242,0.155,0.155,0.155,0.155,0.155,0.155,0.276,0.266,0.599,0.377,0.174,0.174,0.183,0.183,0.183,0.183,0.183,0.183,0.324,0.313,0.706,0.444,0.205,0.205
Grand Chutes,0.395,0.395,0.395,0.395,0.395,0.395,0.627,0.627,0.627,0.627,0.423,0.423,0.606,0.606,0.606,0.606,0.606,0.606,0.961,0.961,0.961,0.961,0.606,0.606,0.697,0.697,0.697,0.697,0.697,0.697,1.024,1.024,1.024,1.024,0.773,0.773,0.699,0.699,0.699,0.699,0.699,0.699,0.964,0.964,0.964,0.964,0.651,0.651,0.702,0.702,0.702,0.702,0.702,0.702,0.988,0.988,0.988,0.988,0.741,0.741,0.571,0.571,0.571,0.571,0.571,0.571,0.762,0.762,0.762,0.762,0.548,0.548,0.604,0.604,0.604,0.604,0.604,0.604,0.79,0.79,0.79,0.79,0.581,0.581,0.702,0.702,0.702,0.702,0.702,0.702,0.918,0.918,0.918,0.918,0.675,0.675,0.569,0.569,0.569,0.569,0.569,0.569,0.79,0.79,0.79,0.79,0.585,0.585,0.67,0.67,0.67,0.67,0.67,0.67,0.93,0.93,0.93,0.93,0.688,0.688
Diallol,0.18,0.18,0.18,0.18,0.18,0.18,0.153,0.202,0.146,0.243,0.193,0.193,0.333,0.333,0.333,0.333,0.333,0.333,0.522,0.373,0.48,0.821,0.336,0.336,0.385,0.385,0.385,0.385,0.385,0.385,0.5,0.432,0.841,0.909,0.369,0.369,0.428,0.428,0.428,0.428,0.428,0.428,0.47,0.364,0.225,0.513,0.428,0.428,0.382,0.382,0.382,0.382,0.382,0.382,0.362,0.384,0.23,0.121,0.318,0.318,0.245,0.245,0.245,0.245,0.245,0.245,0.287,0.313,0.177,0.524,0.283,0.283,0.28,0.28,0.28,0.28,0.28,0.28,0.368,0.35,0.596,0.762,0.31,0.31,0.326,0.326,0.326,0.326,0.326,0.326,0.428,0.407,0.692,0.886,0.36,0.36,0.254,0.254,0.254,0.254,0.254,0.254,0.315,0.298,0.184,0.14,0.273,0.273,0.299,0.299,0.299,0.299,0.299,0.299,0.371,0.351,0.217,0.165,0.321,0.321
Amaria,0.231,0.231,0.231,0.231,0.231,0.231,0.165,0.165,0.373,0.336,0.245,0.245,0.428,0.428,0.428,0.428,0.428,0.428,0.525,0.488,0.832,1.023,0.43,0.43,0.492,0.492,0.492,0.492,0.492,0.492,0.484,0.603,0.927,1.09,0.476,0.476,0.548,0.548,0.548,0.548,0.548,0.548,0.46,0.419,0.577,0.648,0.556,0.556,0.49,0.49,0.49,0.49,0.49,0.49,0.365,0.399,0.429,0.396,0.398,0.398,0.306,0.306,0.306,0.306,0.306,0.306,0.286,0.355,0.48,0.609,0.364,0.364,0.361,0.361,0.361,0.361,0.361,0.361,0.36,0.512,0.714,0.84,0.402,0.402,0.42,0.42,0.42,0.42,0.42,0.42,0.419,0.595,0.83,0.977,0.467,0.467,0.325,0.325,0.325,0.325,0.325,0.325,0.317,0.293,0.47,0.267,0.34,0.34,0.383,0.383,0.383,0.383,0.383,0.383,0.373,0.344,0.553,0.314,0.401,0.401
Fetore,0.092,0.092,0.092,0.092,0.092,0.092,0.146,0.198,0.519,0.395,0.082,0.082,0.157,0.157,0.157,0.157,0.157,0.157,0.482,0.449,1.021,0.65,0.16,0.16,0.187,0.187,0.187,0.187,0.187,0.187,0.382,0.526,1.088,1.088,0.148,0.148,0.238,0.238,0.238,0.238,0.238,0.238,0.427,0.349,0.889,0.619,0.239,0.239,0.182,0.182,0.182,0.182,0.182,0.182,0.323,0.519,0.876,0.381,0.172,0.172,0.132,0.132,0.132,0.132,0.132,0.132,0.276,0.613,0.809,0.533,0.169,0.169,0.146,0.146,0.146,0.146,0.146,0.146,0.341,0.553,0.839,0.599,0.182,0.182,0.17,0.17,0.17,0.17,0.17,0.17,0.396,0.643,0.975,0.696,0.212,0.212,0.127,0.127,0.127,0.127,0.127,0.127,0.249,0.24,0.258,0.24,0.141,0.141,0.149,0.149,0.149,0.149,0.149,0.149,0.293,0.282,0.304,0.282,0.165,0.165
Kaleta,0.283,0.283,0.283,0.283,0.283,0.283,0.214,0.255,0.208,0.196,0.31,0.31,0.534,0.534,0.534,0.534,0.534,0.534,0.713,0.484,0.484,1.018,0.534,0.534,0.591,0.591,0.591,0.591,0.591,0.591,0.66,0.641,1.09,1.09,0.567,0.567,0.655,0.655,0.655,0.655,0.655,0.655,0.639,0.463,0.297,0.472,0.664,0.664,0.586,0.586,0.586,0.586,0.586,0.586,0.494,0.383,0.291,0.111,0.54,0.54,0.416,0.416,0.416,0.416,0.416,0.416,0.324,0.412,0.242,0.455,0.419,0.419,0.483,0.483,0.483,0.483,0.483,0.483,0.501,0.457,0.601,0.84,0.464,0.464,0.562,0.562,0.562,0.562,0.562,0.562,0.583,0.531,0.698,0.977,0.539,0.539,0.437,0.437,0.437,0.437,0.437,0.437,0.439,0.254,0.236,0.092,0.373,0.373,0.515,0.515,0.515,0.515,0.515,0.515,0.516,0.299,0.278,0.108,0.439,0.439
Koukoutamba,0.183,0.183,0.183,0.183,0.183,0.183,0.186,0.261,0.231,0.098,0.183,0.183,0.121,0.121,0.121,0.121,0.121,0.121,0.169,0.296,0.227,0.046,0.262,0.262,0.265,0.265,0.265,0.265,0.265,0.265,0.303,0.402,0.877,1.09,0.336,0.336,0.31,0.31,0.31,0.31,0.31,0.31,0.208,0.374,0.598,0.501,0.318,0.318,0.292,0.292,0.292,0.292,0.292,0.292,0.241,0.399,0.51,0.64,0.313,0.313,0.241,0.241,0.241,0.241,0.241,0.241,0.548,0.35,0.506,0.527,0.248,0.248,0.301,0.301,0.301,0.301,0.301,0.301,0.265,0.284,0.253,0.648,0.243,0.243,0.349,0.349,0.349,0.349,0.349,0.349,0.308,0.33,0.294,0.753,0.283,0.283,0.24,0.24,0.24,0.24,0.24,0.24,0.133,0.262,0.272,0.787,0.259,0.259,0.282,0.282,0.282,0.282,0.282,0.282,0.156,0.309,0.32,0.926,0.305,0.305
Donkea,0.427,0.427,0.427,0.427,0.427,0.427,0.655,0.655,0.655,0.655,0.456,0.456,0.655,0.655,0.655,0.655,0.655,0.655,1.005,1.005,1.005,1.005,0.673,0.673,0.775,0.775,0.775,0.775,0.775,0.775,1.071,1.071,1.071,1.071,0.851,0.851,0.774,0.774,0.774,0.774,0.774,0.774,1.008,1.008,1.008,1.008,0.711,0.711,0.766,0.766,0.766,0.766,0.766,0.766,1.033,1.033,1.033,1.033,0.821,0.821,0.633,0.633,0.633,0.633,0.633,0.633,0.796,0.796,0.796,0.796,0.59,0.59,0.671,0.671,0.671,0.671,0.671,0.671,0.826,0.826,0.826,0.826,0.641,0.641,0.78,0.78,0.78,0.78,0.78,0.78,0.96,0.96,0.96,0.96,0.745,0.745,0.641,0.641,0.641,0.641,0.641,0.641,0.826,0.826,0.826,0.826,0.641,0.641,0.755,0.755,0.755,0.755,0.755,0.755,0.972,0.972,0.972,0.972,0.755,0.755
Fomi,0.298,0.298,0.298,0.298,0.298,0.298,0.25,0.242,0.148,0.14,0.282,0.282,0.422,0.422,0.422,0.422,0.422,0.422,0.467,0.407,0.227,0.12,0.405,0.405,0.486,0.486,0.486,0.486,0.486,0.486,0.306,0.319,0.242,1.096,0.575,0.575,0.444,0.444,0.444,0.444,0.444,0.444,0.672,0.492,0.984,1.032,0.433,0.433,0.47,0.47,0.47,0.47,0.47,0.47,0.049,0.381,0.234,0.049,0.494,0.494,0.38,0.38,0.38,0.38,0.38,0.38,0.18,0.389,0.607,0.815,0.319,0.319,0.431,0.431,0.431,0.431,0.431,0.431,0.383,0.334,0.187,0.845,0.387,0.387,0.501,0.501,0.501,0.501,0.501,0.501,0.446,0.388,0.217,0.983,0.45,0.45,0.324,0.324,0.324,0.324,0.324,0.324,0.108,0.275,0.187,0.157,0.311,0.311,0.382,0.382,0.382,0.382,0.382,0.382,0.127,0.324,0.22,0.185,0.366,0.366
