Scenarios,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,min,min,min,min,min,min,min,min,min,min,min,min,max,max,max,max,max,max,max,max,max,max,max,max
Month,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Fello Sounga,0.292,0.292,0.292,0.292,0.292,0.292,0.365,0.333,0.222,0.571,0.308,0.308,0.292,0.292,0.292,0.292,0.292,0.292,0.27,0.27,0.206,0.206,0.187,0.187,0.187,0.187,0.187,0.187,0.187,0.187,0.23,0.317,0.206,0.087,0.216,0.216,0.335,0.335,0.335,0.335,0.335,0.335,0.429,0.413,0.603,0.849,0.365,0.365
Farankonedou,0.325,0.325,0.325,0.325,0.325,0.325,0.425,0.325,0.925,0.775,0.178,0.178,0.138,0.138,0.138,0.138,0.138,0.138,0.1,0.275,0.55,0.9,0.138,0.138,0.159,0.159,0.159,0.159,0.159,0.159,0.238,0.288,0.45,0.488,0.186,0.186,0.222,0.222,0.222,0.222,0.222,0.222,0.3,0.275,0.562,0.55,0.15,0.15
Baneah,0.55,0.55,0.55,0.55,0.55,0.55,0.6,0.6,0.8,0.6,0.5,0.5,0.45,0.45,0.45,0.45,0.45,0.45,0.2,0.4,0.8,1.0,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,1.0,0.438,0.438,0.488,0.488,0.488,0.488,0.488,0.488,0.6,0.5,0.8,1.0,0.45,0.45
Poudalde,0.303,0.303,0.303,0.303,0.303,0.303,0.467,0.378,0.911,0.767,0.317,0.317,0.282,0.282,0.282,0.282,0.282,0.282,0.411,0.356,0.367,0.556,0.307,0.307,0.28,0.28,0.28,0.28,0.28,0.28,0.278,0.333,0.211,0.278,0.304,0.304,0.335,0.335,0.335,0.335,0.335,0.335,0.539,0.433,0.911,0.956,0.358,0.358
Nzebela,0.395,0.395,0.395,0.395,0.395,0.395,0.507,0.439,0.281,0.61,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.507,0.439,0.281,0.61,0.174,0.174,0.379,0.379,0.379,0.379,0.379,0.379,0.405,0.352,0.246,0.344,0.375,0.375,0.38,0.38,0.38,0.38,0.38,0.38,0.507,0.439,0.281,0.61,0.38,0.38
Tiopo,0.614,0.614,0.614,0.614,0.614,0.614,0.438,0.267,0.21,0.038,0.668,0.668,0.681,0.681,0.681,0.681,0.681,0.681,0.381,0.257,0.21,0.105,0.483,0.483,0.418,0.418,0.418,0.418,0.418,0.418,0.281,0.252,0.21,0.186,0.399,0.399,0.696,0.696,0.696,0.696,0.696,0.696,0.5,0.286,0.21,0.0,0.772,0.772
Niagara,0.269,0.269,0.269,0.269,0.269,0.269,0.299,0.338,0.208,0.675,0.247,0.247,0.248,0.248,0.248,0.248,0.248,0.248,0.143,0.299,0.403,0.857,0.269,0.269,0.158,0.158,0.158,0.158,0.158,0.158,0.292,0.318,0.409,0.364,0.246,0.246,0.286,0.286,0.286,0.286,0.286,0.286,0.305,0.331,0.558,0.825,0.261,0.261
Digan,0.246,0.246,0.246,0.246,0.246,0.246,0.306,0.355,0.581,0.806,0.218,0.218,0.222,0.222,0.222,0.222,0.222,0.222,0.161,0.306,0.855,0.919,0.24,0.24,0.151,0.151,0.151,0.151,0.151,0.151,0.306,0.323,0.565,0.605,0.217,0.217,0.257,0.257,0.257,0.257,0.257,0.257,0.323,0.339,0.879,0.855,0.232,0.232
Bonkon-Diaria,0.193,0.193,0.193,0.193,0.193,0.193,0.355,0.322,0.923,0.59,0.205,0.205,0.176,0.176,0.176,0.176,0.176,0.176,0.311,0.301,0.678,0.426,0.197,0.197,0.175,0.175,0.175,0.175,0.175,0.175,0.235,0.279,0.391,0.355,0.196,0.196,0.22,0.22,0.22,0.22,0.22,0.22,0.41,0.533,0.923,0.773,0.237,0.237
Grand Chutes,0.661,0.661,0.661,0.661,0.661,0.661,0.893,0.893,0.893,0.893,0.607,0.607,0.643,0.643,0.643,0.643,0.643,0.643,0.893,0.893,0.893,0.893,0.661,0.661,0.538,0.538,0.538,0.538,0.538,0.538,0.893,0.893,0.893,0.893,0.58,0.58,0.67,0.67,0.67,0.67,0.67,0.67,0.893,0.893,0.893,0.893,0.663,0.663
Diallol,0.304,0.304,0.304,0.304,0.304,0.304,0.416,0.347,0.614,0.653,0.319,0.319,0.287,0.287,0.287,0.287,0.287,0.287,0.356,0.337,0.208,0.158,0.308,0.308,0.272,0.272,0.272,0.272,0.272,0.272,0.252,0.312,0.208,0.178,0.261,0.261,0.334,0.334,0.334,0.334,0.334,0.334,0.475,0.396,0.752,0.856,0.352,0.352
Amaria,0.392,0.392,0.392,0.392,0.392,0.392,0.407,0.422,0.808,0.864,0.41,0.41,0.368,0.368,0.368,0.368,0.368,0.368,0.358,0.331,0.531,0.301,0.385,0.385,0.34,0.34,0.34,0.34,0.34,0.34,0.26,0.247,0.44,0.276,0.342,0.342,0.431,0.431,0.431,0.431,0.431,0.431,0.485,0.593,0.808,0.95,0.456,0.456
Fetore,0.145,0.145,0.145,0.145,0.145,0.145,0.385,0.365,0.948,0.521,0.156,0.156,0.143,0.143,0.143,0.143,0.143,0.143,0.281,0.271,0.292,0.271,0.159,0.159,0.104,0.104,0.104,0.104,0.104,0.104,0.24,0.318,0.651,0.172,0.142,0.142,0.186,0.186,0.186,0.186,0.186,0.186,0.443,0.781,0.948,0.812,0.212,0.212
Kaleta,0.493,0.493,0.493,0.493,0.493,0.493,0.567,0.45,0.608,0.85,0.492,0.492,0.494,0.494,0.494,0.494,0.494,0.494,0.496,0.288,0.267,0.104,0.421,0.421,0.369,0.369,0.369,0.369,0.369,0.369,0.348,0.406,0.267,0.152,0.409,0.409,0.535,0.535,0.535,0.535,0.535,0.535,0.671,0.573,0.815,0.902,0.567,0.567
Koukoutamba,0.294,0.294,0.294,0.294,0.294,0.294,0.3,0.346,0.211,0.6,0.269,0.269,0.271,0.271,0.271,0.271,0.271,0.271,0.15,0.296,0.307,0.889,0.292,0.292,0.171,0.171,0.171,0.171,0.171,0.171,0.302,0.321,0.366,0.32,0.267,0.267,0.307,0.307,0.307,0.307,0.307,0.307,0.312,0.336,0.462,0.841,0.283,0.283
Donkea,0.725,0.725,0.725,0.725,0.725,0.725,0.933,0.933,0.933,0.933,0.658,0.658,0.725,0.725,0.725,0.725,0.725,0.725,0.933,0.933,0.933,0.933,0.725,0.725,0.588,0.588,0.588,0.588,0.588,0.588,0.933,0.933,0.933,0.933,0.633,0.633,0.742,0.742,0.742,0.742,0.742,0.742,0.933,0.933,0.933,0.933,0.738,0.738
Fomi,0.558,0.558,0.558,0.558,0.558,0.558,0.511,0.378,0.211,0.589,0.403,0.403,0.367,0.367,0.367,0.367,0.367,0.367,0.122,0.311,0.211,0.178,0.351,0.351,0.362,0.362,0.362,0.362,0.362,0.362,0.278,0.328,0.211,0.139,0.342,0.342,0.462,0.462,0.462,0.462,0.462,0.462,0.372,0.311,0.211,0.539,0.286,0.286
Garafiri,0.402,0.402,0.402,0.402,0.402,0.402,0.453,0.373,0.213,0.707,0.418,0.418,0.42,0.42,0.42,0.42,0.42,0.42,0.293,0.387,0.213,0.067,0.39,0.39,0.328,0.328,0.328,0.328,0.328,0.328,0.253,0.313,0.213,0.073,0.239,0.239,0.438,0.438,0.438,0.438,0.438,0.438,0.487,0.42,0.507,0.867,0.457,0.457
Guozoguezia,0.56,0.56,0.56,0.56,0.56,0.56,0.593,0.42,0.296,0.667,0.543,0.543,0.543,0.543,0.543,0.543,0.543,0.543,0.593,0.42,0.296,0.667,0.417,0.417,0.531,0.531,0.531,0.531,0.531,0.531,0.463,0.34,0.253,0.401,0.516,0.516,0.543,0.543,0.543,0.543,0.543,0.543,0.593,0.42,0.296,0.667,0.543,0.543
Hakkunde-Mitti,0.238,0.238,0.238,0.238,0.238,0.238,0.403,0.339,0.79,0.548,0.252,0.252,0.238,0.238,0.238,0.238,0.238,0.238,0.29,0.274,0.21,0.194,0.194,0.194,0.191,0.191,0.191,0.191,0.191,0.191,0.25,0.323,0.21,0.089,0.226,0.226,0.282,0.282,0.282,0.282,0.282,0.282,0.468,0.556,0.887,0.839,0.31,0.31
Korafindi,0.404,0.404,0.404,0.404,0.404,0.404,0.422,0.311,0.437,0.756,0.419,0.419,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.296,0.207,0.178,0.375,0.375,0.328,0.328,0.328,0.328,0.328,0.328,0.267,0.281,0.207,0.193,0.318,0.318,0.436,0.436,0.436,0.436,0.436,0.436,0.481,0.341,0.641,0.948,0.458,0.458
Souapiti,0.471,0.471,0.471,0.471,0.471,0.471,0.493,0.362,0.512,0.855,0.474,0.474,0.477,0.477,0.477,0.477,0.477,0.477,0.432,0.251,0.213,0.051,0.404,0.404,0.356,0.356,0.356,0.356,0.356,0.356,0.306,0.332,0.213,0.121,0.392,0.392,0.513,0.513,0.513,0.513,0.513,0.513,0.581,0.447,0.757,0.904,0.545,0.545
Kogebedou,0.623,0.623,0.623,0.623,0.623,0.623,0.195,0.207,0.207,0.22,0.444,0.444,0.418,0.418,0.418,0.418,0.418,0.418,0.098,0.207,0.207,0.22,0.3,0.3,0.367,0.367,0.367,0.367,0.367,0.367,0.195,0.207,0.207,0.22,0.298,0.298,0.481,0.481,0.481,0.481,0.481,0.481,0.195,0.207,0.207,0.262,0.3,0.3
Diareguela,0.481,0.481,0.481,0.481,0.481,0.481,0.221,0.26,0.208,0.065,0.468,0.468,0.429,0.429,0.429,0.429,0.429,0.429,0.26,0.286,0.208,0.675,0.429,0.429,0.317,0.317,0.317,0.317,0.317,0.317,0.13,0.312,0.208,0.24,0.412,0.412,0.435,0.435,0.435,0.435,0.435,0.435,0.214,0.305,0.208,0.214,0.433,0.433
Kouravel,0.202,0.202,0.202,0.202,0.202,0.202,0.39,0.34,0.94,0.55,0.212,0.212,0.186,0.186,0.186,0.186,0.186,0.186,0.34,0.32,0.41,0.4,0.205,0.205,0.182,0.182,0.182,0.182,0.182,0.182,0.24,0.31,0.22,0.275,0.203,0.203,0.228,0.228,0.228,0.228,0.228,0.228,0.445,0.38,0.94,0.72,0.244,0.244
Kassa,0.381,0.381,0.381,0.381,0.381,0.381,0.185,0.226,0.21,0.0,0.358,0.358,0.377,0.377,0.377,0.377,0.377,0.377,0.266,0.226,0.21,0.185,0.119,0.119,0.248,0.248,0.248,0.248,0.248,0.248,0.331,0.246,0.21,0.157,0.211,0.211,0.388,0.388,0.388,0.388,0.388,0.388,0.161,0.25,0.21,0.198,0.273,0.273
Morisanako,0.44,0.44,0.44,0.44,0.44,0.44,0.271,0.365,0.385,0.948,0.365,0.365,0.379,0.379,0.379,0.379,0.379,0.379,0.167,0.271,0.208,0.0,0.326,0.326,0.247,0.247,0.247,0.247,0.247,0.247,0.125,0.286,0.208,0.042,0.283,0.283,0.376,0.376,0.376,0.376,0.376,0.376,0.25,0.302,0.401,0.557,0.242,0.242
Grand Kinkon,0.105,0.105,0.105,0.105,0.105,0.105,0.4,0.847,0.953,0.54,0.113,0.113,0.087,0.087,0.087,0.087,0.087,0.087,0.353,0.712,0.87,0.391,0.106,0.106,0.087,0.087,0.087,0.087,0.087,0.087,0.249,0.528,0.793,0.326,0.107,0.107,0.129,0.129,0.129,0.129,0.129,0.129,0.491,0.953,0.953,0.702,0.144,0.144
Boureya,0.354,0.354,0.354,0.354,0.354,0.354,0.369,0.401,0.357,0.949,0.322,0.322,0.325,0.325,0.325,0.325,0.325,0.325,0.191,0.338,0.701,0.949,0.354,0.354,0.217,0.217,0.217,0.217,0.217,0.217,0.373,0.369,0.564,0.611,0.32,0.32,0.373,0.373,0.373,0.373,0.373,0.373,0.385,0.389,0.806,0.949,0.341,0.341
DIESEL_HFO,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
New_HFO,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
PV,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Karpowership_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kipe_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
GDE_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
