gen,zone,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize,Unnamed: 26
AnixasII_TH_NAM,Namibia,ICE,HFO,2024,2061,54.0,2,,6.87,,,,,63250.0,8.8,,0.933810376,,,0.0,,0.0,0.0,0.0,0.0,
Ankerlig(Atlantis)_TH_ZAF,South_Africa,OCGT,HFO,2007,2057,1327.0,1,,9.39286647,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,
Arnot1_TH_ZAF,South_Africa,ST,Coal,1975,2033,1050.0,1,0.3,13.3,,,,,,,,0.0,,,0.0,,0.0,0.05,0.0,372.0,
Arnot2_TH_ZAF,South_Africa,ST,Coal,1975,2033,1050.0,1,0.3,13.3,,,,,,,,0.0,,,0.0,,0.0,0.05,0.0,372.0,
Athlone_TH_ZAF,South_Africa,ST,Coal,1962,2019,180.0,1,,10.10657267,,,,,,,,0.0,,,0.0,,0.0,0.05,0.0,180.0,
Avon_TH_ZAF,South_Africa,OCGT,HFO,2015,2065,837.0,1,,13.62107811,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,
Bagasse_co-generation_BM_MWI,Malawi,ST,Biomass,2030,2060,60.0,3,,10.0,0.9,0.9,,,,10.0,,4.26,,60.0,0.0,,0.0,0.0,0.0,0.0,
BatokaGorgeNorth_HY_ZMB,Zambia,ReservoirHydro,Water,2038,2115,1200.0,3,,,,,,0.278070484,,,0.0,1.699534884,50.0,400.0,0.0,,0.0,0.0,0.0,0.0,
BatokaGorgeSouth_HY_ZWE,Zimbabwe,ReservoirHydro,Water,2035,2112,1200.0,2,,,,,,0.275342466,,,0.0,1.699534884,50.0,1200.0,0.0,,0.0,0.0,0.0,0.0,
Baynes(Angola)_HY_AGO,Angola,ReservoirHydro,Water,2035,2112,439.0,2,,,,,,0.121826136,,,0.0,3.115813953,50.0,430.0,0.0,,0.0,0.0,0.0,0.0,
Baynes(Namibia)_HY_NAM,Namibia,ReservoirHydro,Water,2035,2112,430.0,2,,,,,,0.175,30250.0,4.4,0.0,3.115813953,50.0,430.0,0.0,,0.0,0.0,0.0,0.0,
Bloemfontein_TH_ZAF,South_Africa,ST,Coal,1965,2015,103.0,1,,14.0,,,,,,,,0.0,,,0.0,,0.0,0.05,0.0,103.0,
Bulawayo_TH_ZWE,Zimbabwe,ST,Coal,1999,2055,90.0,1,,,,,,,,,,0.0,,,0.0,,0.0,0.1,0.0,90.0,
Busanga_HY_DRC,DRC_South,ReservoirHydro,Water,2022,2060,240.0,1,,,,,,0.193435172,,,0.0,0.0,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,
CaculoCabaca_HY_AGO,Angola,ReservoirHydro,Water,2030,2107,2172.0,2,,,,,,0.24,,,0.0,4.5,50.0,2172.0,0.0,,0.0,0.0,0.0,0.0,
CahoraBassa1_HY_MOZ,Mozambique,ReservoirHydro,Water,2000,2060,700.0,1,,,,,,0.4,,,0.0,0.0,50.0,,0.0,,0.0,0.0,0.0,0.0,
Camden_TH_ZAF,South_Africa,ST,Coal,1967,2030,1484.0,1,0.3,13.6,,,,,,,,0.0,,,0.0,,0.0,0.05,0.0,185.125,
CandidateHydro_HY_ZMB,Zambia,ReservoirHydro,Water,2029,2109,315.0,3,,,,,,0.278070484,,,0.0,4.248837209,50.0,315.0,0.0,,0.0,0.0,0.0,0.0,
Cedar_Muloza,Malawi,ROR,Water,2022,2102,3.3,1,,,,,,0.325077306,,,0.0,0.0,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,
CF_Bafia_Farta,Angola,PV,Solar,2022,2052,76.0,1,,0.0,,,,,,,,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,
CF_Biopio,Angola,PV,Solar,2022,2052,145.0,1,,0.0,,,,,,,,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,
Chasombo_HY_MWI,Malawi,ReservoirHydro,Water,2055,2060,40.0,3,,,,,,0.325077306,,,,3.445,,41.0,0.0,,0.0,0.0,0.0,0.0,
ChishimbaFalls_HY_ZMB,Zambia,ROR,Water,2004,2060,6.0,1,,,,,,0.107375,,,0.0,0.0,50.0,,0.0,,0.0,0.0,0.0,0.0,
ChishimbaFallsExt_HY_ZMB,Zambia,ROR,Water,2026,2106,9.0,2,,,,,,0.107375,,,0.0,4.251,50.0,,0.0,,0.0,0.0,0.0,0.0,
Chisumbanje_BIO_ZWE,Zimbabwe,ST,Biomass,2024,2074,4.0,3,,10.0,0.33,0.33,,0.8,48000.0,,,2.723613596,,4.0,0.0,,0.0,0.0,0.0,4.0,
Chitipa_WIND_MWI,Malawi,OnshoreWind,Wind,2027,2057,0.0,3,,0.0,1.0,1.0,,,,,,,,0.0,0.0,,0.0,0.0,1.0,0.0,
Chiweta_GT_MWI,Malawi,ST,Geothermal,2055,2060,12.0,3,,0.0,1.0,1.0,0.0,0.2,15000.0,2.538071066,0.0,9.95,30.0,12.0,0.0,,0.0,0.0,0.0,0.0,
Chizuma_HY_MWI,Malawi,ROR,Water,2055,2060,40.0,3,,,,,,0.325077306,,,,3.445,,41.0,0.0,,0.0,0.0,0.0,0.0,
CIF_TH_AGO,Angola,OCGT,Gas,2000,2019,50.0,1,,13.1746563,,,,,,,,0.0,,,0.0,7.0,13.8746563,0.25,0.0,0.0,
Committed_PV1-1_BWA,Botswana,PV,Solar,2026,2056,100.0,2,,0.0,,,,,,,,,,60.0,0.0,,0.0,0.0,1.0,0.0,
Committed_PV1-2_BWA,Botswana,PV,Solar,2026,2056,300.0,3,,0.0,,,,,,,,,,200.0,0.0,,0.0,0.0,1.0,0.0,
Committed_PV1-3_BWA,Botswana,PV,Solar,2035,2060,0.0,3,,0.0,,,,,,,,,,0.0,0.0,,0.0,0.0,1.0,0.0,
Committed_Wind1-1_BWA,Botswana,OnshoreWind,Wind,2027,2057,0.0,2,,0.0,1.0,1.0,,,,,,,,0.0,0.0,,0.0,0.0,1.0,0.0,
Committed_Wind1-2_BWA,Botswana,OnshoreWind,Wind,2025,2055,0.0,2,,0.0,1.0,1.0,,,,,,,,0.0,0.0,,0.0,0.0,1.0,0.0,
Committed_Wind1-3_BWA,Botswana,OnshoreWind,Wind,2028,2058,0.0,2,,0.0,1.0,1.0,,,,,,,,50.0,0.0,,0.0,0.0,1.0,0.0,
Committed_Wind1-4_BWA,Botswana,OnshoreWind,Wind,2031,2061,0.0,2,,0.0,1.0,1.0,,,,,,,,0.0,0.0,,0.0,0.0,1.0,0.0,
Committed_Wind1-5_BWA,Botswana,OnshoreWind,Wind,2035,2065,0.0,2,,0.0,1.0,1.0,,,,,,,,50.0,0.0,,0.0,0.0,1.0,0.0,
Committed1_PV_AGO,Angola,PV,Solar,2025,2055,192.0,2,,0.0,,,,,,,,,,400.0,0.0,,0.0,0.0,1.0,0.0,
Committed2_PV_AGO,Angola,PV,Solar,2027,2057,12.0,2,,0.0,,,,,,,,,,400.0,0.0,,0.0,0.0,1.0,0.0,
Committed3_PV_AGO,Angola,PV,Solar,2026,2056,60.0,2,,0.0,,,,,,,,,,400.0,0.0,,0.0,0.0,1.0,0.0,
CommittedSolar_REN_DRC,DRC,PV,Solar,2025,2060,200.0,2,,0.0,,,,,,,,,,200.0,0.0,,0.0,0.0,1.0,0.0,
CommittedWind1-5_NAM,Namibia,OnshoreWind,Wind,2036,2066,0.0,2,,0.0,1.0,1.0,,,,,,,,0.0,0.0,,0.0,0.0,1.0,0.0,
CT_Biocom,Angola,ST,Biomass,2009,2051,20.0,1,,10.8998955,,,,0.8,48000.0,,,0.0,,,0.0,,0.0,0.0,0.0,20.0,
CT_Malembo,Angola,OCGT,Gas,2012,2055,105.0,1,,11.49838981,,,,,,,,0.0,,,0.0,7.0,12.19838981,0.25,0.0,0.0,
CT_OffGrid_Diesel,Angola,ICE,Diesel,2013,2063,372.0,1,,10.42,1.0,1.0,0.0,0.4,8000.0,6.4,0.0,0.0,30.0,0.0,0.0,,0.0,0.0,0.0,0.0,
CT_OnGrid_Diesel,Angola,ICE,Diesel,2000,2050,344.0,1,,13.62,1.0,1.0,0.0,0.4,8000.0,6.4,0.0,0.0,30.0,0.0,0.0,,0.0,0.0,0.0,0.0,
CT_PV_Diesel_Hybrid,Angola,PV,Solar,2017,2051,30.0,1,,0.0,,,,,,,,0.0,,,0.0,12.0,10.42,0.0,1.0,30.0,
CT_Soyo,Angola,CCGT,Gas,2017,2073,750.0,1,,9.0,,,,,,,0.0,0.0,,0.0,0.0,12.0,9.7,0.05,0.0,0.0,
CTMJICA1_TH_MOZ,Mozambique,OCGT,Gas,2018,2068,106.0,1,,10.425987,,,,,,,,0.0,,0.0,0.0,7.0,11.125987,0.5,0.0,0.0,
CTMJICA2_TH_MOZ,Mozambique,OCGT,Gas,2026,2076,29.0,3,,,,,,,,,,1.016815742,,29.0,0.0,7.0,9.7,0.05,0.0,0.0,
